id,catalog_number,additional_description
2925934,G 9/16,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925926,G 11/16,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925930,G 3/8,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925931,G 5/8,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925927,G 13/16,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925932,G 7/16,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925929,G 3/4,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925925,G 1/2,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
2925933,G 7/8,"
                    MST® Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations.
                "
258943,12A46,"
                    Metric A Plates are flat sprockets with no hub extension on either side. They can be altered for your application with bolt holes, custom bores, hardened teeth or special hubs welded to them.
                "
250966,HM627,"
                    Martin Stock Miter Gears are manufactured from .40 carbon steel.  The “M” Series is furnished unhardened with plain bore.  The “HM” Series is furnished hardened teeth with plain bore. The “HMK” Series is furnished hardened teeth with keyway and setscrew for installation on the shaft.  Hardened Miter Gears have approximately 50% more horsepower capacity and provide greater gear wear than untreated gears.  All Martin Miter Gears are cut with the 20° pressure angle system. 
                "
