id,catalog_number,attributes
2793467,L 5400,Part Number:L 5400|Series:L5000|Weight (lbs):25|Cord Ending:Bare Reel|AWG:12|Cord/Cable Length (ft):35|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:No|Type:SJEOOW |Warehouse: |UPC:699567002246
2793419,CA32122 L,"Part Number:CA32122 L |Series:30000|Weight (lbs):65|Hose I.D. (in):1/2""|Hose O.D. (in):.750|Hose Length (ft):400|Pressure (psi):1000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:CA|UPC:699567002130"
2207996,SD13000 OVP,"Part Number:SD13000 OVP |Series:SD |Weight (lbs):85|Hose I.D. (in):3/4""|Hose O.D. (in):1.260 |Hose Length (ft):35|Pressure (psi):300|Hose End (in): |Inlet (in):1 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567008729"
2208012,UR7915 OLB,"Part Number:UR7915 OLB|Series:7000|Weight (lbs):48 |Hose I.D. (in):3/4""|Hose O.D. (in):1.13 |Hose Length (ft):15|Pressure (psi):300|Hose End (in):3/4 NPT(M)|Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:Yes|Max Temperature (F):150 |Warehouse: |UPC:699567012184"
2207980,B5835 OLP,"Part Number:B5835 OLP |Series:5005|Weight (lbs):39|Hose I.D. (in):1/2""|Hose O.D. (in):.750|Hose Length (ft):35|Pressure (psi):300|Hose End (in):1/2 NPT(M)|Inlet (in):3/8 NPT(F)|Reel Outlet (in):3/8 NPT(F)|Hose Included:Yes|Max Temperature (F):150 |Warehouse: |UPC:699567009245"
5056270,7650 OLP-HTH,"Part Number:7650 OLP-HTH|Series:7000|Weight (lbs):43|Hose I.D. (in):3/8""|Hose O.D. (in):.630|Hose Length (ft):50|Pressure (psi):300|Hose End (in):1/4 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):212 |Warehouse: |UPC:699567021742"
2208052,5405 OHP,"Part Number:5405 OHP|Series:5005 |Weight (lbs):33|Hose I.D. (in):1/4""|Hose O.D. (in):.580|Hose Length (ft):35|Pressure (psi):5000|Hose End (in): |Inlet (in):1/4 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567001164"
2793471,L 4035 163 1,Part Number:L 4035 163 1|Series:L4000|Weight (lbs):27|Cord Ending:Incandescent Light|AWG:16|Cord/Cable Length (ft):35|Volts:125|Amps:10|Conductors:3|Cord/Cable Included:Yes|Type:SJTOW|Warehouse: |UPC:699567000433
2793475,L 4035 A 163 5,Part Number:L 4035 A 163 5|Series:L4000|Weight (lbs):25|Cord Ending:Incandescent Light|AWG:16|Cord/Cable Length (ft):35|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:Yes|Type:SJEOOW |Warehouse: |UPC:699567002314
2208068,7600 OHP,"Part Number:7600 OHP|Series:7000 |Weight (lbs):46|Hose I.D. (in):3/8""|Hose O.D. (in):.730|Hose Length (ft):50|Pressure (psi):5000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):3/8 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse:CA|UPC:699567001362"
2793483,S601026-2,Part Number:S601026-2|Hose Type:Air/Water |Weight (lbs):1.5 |Hose I.D. (in):3/4|Hose O.D. (in):1.075 |Hose Length (ft):2|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2793503,S601022-35,Part Number:S601022-35|Hose Type:Air/Water |Weight (lbs):6.5 |Hose I.D. (in):1/2|Hose O.D. (in):0.750 |Hose Length (ft):35|Pressure (psi):300|End Fitting:1/2 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):150 
2793421,CA33106 L,"Part Number:CA33106 L |Series:30000|Weight (lbs):41|Hose I.D. (in):3/4""|Hose O.D. (in):1.075 |Hose Length (ft):50|Pressure (psi):1000|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:IN, CA, CN|UPC:699567002154"
2793433,EA32106 L12D,"Part Number:EA32106 L12D|Series:30000|Weight (lbs):60|Hose I.D. (in):1/2""|Hose O.D. (in):.750|Hose Length (ft):100|Pressure (psi):1000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567003007"
2793425,CA33118 L,"Part Number:CA33118 L |Series:30000|Weight (lbs):50|Hose I.D. (in):3/4""|Hose O.D. (in):1.075 |Hose Length (ft):175|Pressure (psi):1000|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:IN, CA|UPC:699567000952"
2793413,CA32106 L,"Part Number:CA32106 L |Series:30000|Weight (lbs):40|Hose I.D. (in):1/2""|Hose O.D. (in):.750|Hose Length (ft):100|Pressure (psi):1000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:IN, CA, CN|UPC:699567002093"
2793507,S601026-20,Part Number:S601026-20|Hose Type:Air/Water |Weight (lbs):5.9 |Hose I.D. (in):3/4|Hose O.D. (in):1.075 |Hose Length (ft):20|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2793511,S601026-50,Part Number:S601026-50|Hose Type:Air/Water |Weight (lbs):15|Hose I.D. (in):3/4|Hose O.D. (in):1.075 |Hose Length (ft):50|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2793515,S601026-200,Part Number:S601026-200|Hose Type:Air/Water |Weight (lbs):58|Hose I.D. (in):3/4|Hose O.D. (in):1.075 |Hose Length (ft):200|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2793499,S601015-100,Part Number:S601015-100|Hose Type:Air/Water |Weight (lbs):14|Hose I.D. (in):3/8|Hose O.D. (in):0.600 |Hose Length (ft):100|Pressure (psi):300|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):150 
