id,catalog_number,attributes
2793467,L 5400,<table><tr><td><font><b>Part Number</b></font></td><td><font>L 5400</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L5000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>25</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Bare Reel</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>12</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>13 </font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJEOOW </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002246</font></td></tr></table>
2793419,CA32122 L,"<table><tr><td><font><b>Part Number</b></font></td><td><font>CA32122 L </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>65</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>400</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>CA</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002130</font></td></tr></table>"
2207996,SD13000 OVP,"<table><tr><td><font><b>Part Number</b></font></td><td><font>SD13000 OVP </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>SD </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>85</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.260 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>210 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567008729</font></td></tr></table>"
2208012,UR7915 OLB,"<table><tr><td><font><b>Part Number</b></font></td><td><font>UR7915 OLB</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>7000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>48 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.13 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>15</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>3/4 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567012184</font></td></tr></table>"
2207980,B5835 OLP,"<table><tr><td><font><b>Part Number</b></font></td><td><font>B5835 OLP </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>5005</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>39</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>1/2 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/8 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/8 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567009245</font></td></tr></table>"
5056270,7650 OLP-HTH,"<table><tr><td><font><b>Part Number</b></font></td><td><font>7650 OLP-HTH</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>7000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>43</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/8""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.630</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>1/4 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>212 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567021742</font></td></tr></table>"
2208052,5405 OHP,"<table><tr><td><font><b>Part Number</b></font></td><td><font>5405 OHP</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>5005 </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>33</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.580</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>5000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>210 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567001164</font></td></tr></table>"
2793471,L 4035 163 1,<table><tr><td><font><b>Part Number</b></font></td><td><font>L 4035 163 1</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L4000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>27</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Incandescent Light</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>16</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>10</font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJTOW</font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567000433</font></td></tr></table>
2793475,L 4035 A 163 5,<table><tr><td><font><b>Part Number</b></font></td><td><font>L 4035 A 163 5</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L4000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>25</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Incandescent Light</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>16</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>13 </font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJEOOW </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002314</font></td></tr></table>
2208068,7600 OHP,"<table><tr><td><font><b>Part Number</b></font></td><td><font>7600 OHP</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>7000 </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>46</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/8""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.730</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>5000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/8 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>210 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>CA</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567001362</font></td></tr></table>"
