dxf,pdf,igs,catalog_number,ids
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4035 163 1,2793471
https://www.reelcraft.com/images/drawings/L5000DXF.zip,https://www.reelcraft.com/images/drawings/L5000PDF.pdf,https://www.reelcraft.com/images/drawings/L5000IGS.zip,L 5400,2793467
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4035 A 163 5,2793475
https://www.reelcraft.com/images/drawings/3X122DXF.zip,https://www.reelcraft.com/images/drawings/3X122PDF.pdf,https://www.reelcraft.com/images/drawings/3X122IGS.zip,CA32122 L,2793419
https://www.reelcraft.com/images/drawings/7000OXP1.zip,https://www.reelcraft.com/images/drawings/7000OXP2.zip,https://www.reelcraft.com/images/drawings/7000OXP3.zip,7650 OLP-HTH,5056270
https://www.reelcraft.com/images/drawings/A5005DXF.zip,https://www.reelcraft.com/images/drawings/A5005PDF.pdf,https://www.reelcraft.com/images/drawings/A5005IGS.zip,B5835 OLP,2207980
https://www.reelcraft.com/images/drawings/SD130001.zip,https://www.reelcraft.com/images/drawings/SD130002.pdf,https://www.reelcraft.com/images/drawings/SD130003.zip,SD13000 OVP,2207996
https://www.reelcraft.com/images/drawings/7000OHP1.zip,https://www.reelcraft.com/images/drawings/7000OHP2.zip,https://www.reelcraft.com/images/drawings/7000OHP3.zip,7600 OHP,2208068
https://www.reelcraft.com/images/drawings/5005-DXF.zip,https://www.reelcraft.com/images/drawings/5005-PDF.pdf,https://www.reelcraft.com/images/drawings/5005-IGS.zip,5405 OHP,2208052
https://www.reelcraft.com/images/drawings/7000OXP1.zip,https://www.reelcraft.com/images/drawings/7000OXP2.zip,https://www.reelcraft.com/images/drawings/7000OXP3.zip,UR7915 OLB,2208012
