id,catalog_number,additional_description
2935504,14MPCC441068,14MPCC-4410-68
2935532,14MPCC99468,14MPCC-994-68
2935548,14MPCC432668,14MPCC-4326-68
2935564,8MPCC200021,8MPCC-2000-21
2935584,8MPCC144062,8MPCC-1440-62
2935596,14MPCC313668,14MPCC-3136-68
2935600,14MPCC119090,14MPCC-1190-90
2935628,8MPCC120021,8MPCC-1200-21
2935644,8MPCC144012,8MPCC-1440-12
2935680,8MPCC360036,8MPCC-3600-36
2935688,8MPCC128062,8MPCC-1280-62
2935712,8MPCC112012,8MPCC-1120-12
2935716,14MPCC280037,14MPCC-2800-37
2935724,14MPCC1190125,14MPCC-1190-125
2935764,14MPCC252037,14MPCC-2520-37
2935780,14MPCC140068,14MPCC-1400-68
2935788,SS07514NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935812,14MPCC385020,14MPCC-3850-20
2935836,14MPCC224020,14MPCC-2240-20
2935852,14MPCC1960125,14MPCC-1960-125
2935940,8MPCC200062,8MPCC-2000-62
2935936,14MPCC112068,14MPCC-1120-68
2935944,14MPCC140090,14MPCC-1400-90
2935992,14MPCC196090,14MPCC-1960-90
2936024,14MPCC1568125,14MPCC-1568-125
2936028,8MPCC260012,8MPCC-2600-12
2936048,8MPCC179262,8MPCC-1792-62
2936060,14MPCC280090,14MPCC-2800-90
2936064,14MPCC280068,14MPCC-2800-68
2936076,L09916MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936084,14MPCC112090,14MPCC-1120-90
2936100,8MPCC252012,8MPCC-2520-12
2936132,L09915MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936140,L22550MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936144,8MPCC122462,8MPCC-1224-62
2936148,14MPCC189090,14MPCC-1890-90
2936160,8MPCC328062,8MPCC-3280-62
2936196,8MPCC260036,8MPCC-2600-36
2936208,14MPCC196068,14MPCC-1960-68
2936216,L19045MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936224,8MPCC252062,8MPCC-2520-62
2936232,L07010MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936244,14MPCC392068,14MPCC-3920-68
2936252,L19028MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936268,14MPCC2240125,14MPCC-2240-125
2936332,14MPCC259037,14MPCC-2590-37
2936352,14MPCC156868,14MPCC-1568-68
2936376,14MPCC175068,14MPCC-1750-68
2936380,14MPCC238090,14MPCC-2380-90
2936420,14MPCC385068,14MPCC-3850-68
2936416,14MPCC196037,14MPCC-1960-37
2936436,8MPCC284012,8MPCC-2840-12
2936460,8MPCC104036,8MPCC-1040-36
2936468,SS07558,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936472,14MPCC392037,14MPCC-3920-37
834605,14MPCC313637,14MPCC-3136-37
2936504,SS150158,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936604,14MPCC126090,14MPCC-1260-90
2936660,14MPCC156837,14MPCC-1568-37
2936692,8MPCC64062,8MPCC-640-62
2936712,SS09512,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936700,14MPCC1610125,14MPCC-1610-125
2936704,SS1101,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936760,8MPCC80012,8MPCC-800-12
2936796,8MPCC120036,8MPCC-1200-36
2936800,14MPCC210037,14MPCC-2100-37
2936844,8MPCC144021,8MPCC-1440-21
2936828,L0509MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936872,14MPCC259090,14MPCC-2590-90
2936864,8MPCC440012,8MPCC-4400-12
2936904,8MPCC96062,8MPCC-960-62
2936928,14MPCC252020,14MPCC-2520-20
2936956,14MPCC350020,14MPCC-3500-20
2936948,14MPCC210020,14MPCC-2100-20
2936976,14MPCC350090,14MPCC-3500-90
2936964,8MPCC240036,8MPCC-2400-36
2936972,8MPCC104062,8MPCC-1040-62
