id,catalog_number,attributes
2935504,14MPCC441068,"UPC:698672913195|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:315|Pitch Length (Metric):4,410|Pitch:14M|Weight:5.0"
2935532,14MPCC99468,UPC:698672913249|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:71|Pitch Length (Metric):994|Pitch:14M|Weight:1.1
2935548,14MPCC432668,"UPC:698672913140|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:309|Pitch Length (Metric):4,326|Pitch:14M|Weight:4.9"
2935564,8MPCC200021,"UPC:698672913676|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):21|Number Of Teeth:250|Pitch Length (Metric):2,000|Pitch:8M|Weight:0.5"
2935584,8MPCC144062,"UPC:698672913539|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):62|Number Of Teeth:180|Pitch Length (Metric):1,440|Pitch:8M|Weight:1.0"
2935596,14MPCC313668,"UPC:698672912846|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:224|Pitch Length (Metric):3,136|Pitch:14M|Weight:3.6"
2935600,14MPCC119090,"UPC:698672912006|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):90|Number Of Teeth:85|Pitch Length (Metric):1,190|Pitch:14M|Weight:1.8"
2935628,8MPCC120021,"UPC:698672913393|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):21|Number Of Teeth:150|Pitch Length (Metric):1,200|Pitch:8M|Weight:0.3"
2935644,8MPCC144012,"UPC:698672913508|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):12|Number Of Teeth:180|Pitch Length (Metric):1,440|Pitch:8M|Weight:0.2"
2935680,8MPCC360036,"UPC:698672914123|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):36|Number Of Teeth:450|Pitch Length (Metric):3,600|Pitch:8M|Weight:1.4"
2935688,8MPCC128062,"UPC:698672913492|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):62|Number Of Teeth:160|Pitch Length (Metric):1,280|Pitch:8M|Weight:0.9"
2935712,8MPCC112012,"UPC:698672913348|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):12|Number Of Teeth:140|Pitch Length (Metric):1,120|Pitch:8M|Weight:0.2"
2935716,14MPCC280037,"UPC:698672912785|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):37|Number Of Teeth:200|Pitch Length (Metric):2,800|Pitch:14M|Weight:1.7"
2935724,14MPCC1190125,"UPC:698672911962|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):125|Number Of Teeth:85|Pitch Length (Metric):1,190|Pitch:14M|Weight:2.5"
2935764,14MPCC252037,"UPC:698672912631|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):37|Number Of Teeth:180|Pitch Length (Metric):2,520|Pitch:14M|Weight:1.6"
2935780,14MPCC140068,"UPC:698672912099|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:100|Pitch Length (Metric):1,400|Pitch:14M|Weight:1.6"
2935788,SS07514NK,"UPC:698672223997|Material Type:Stainless Steel|Coupling Size:SS075|Bore Size (English):0.250000|Bore Tolerance:+.0005 to +.0015|Component Weight:0.5|Keyseat:No Keyseat|L Dimension:1.26|LTB Dimension:1.26|Max RPM:9,000|OD, Dimension:1.75|Product Family:L-Jaw  Hub|S Dimension:0.310|Product Description:SS075 X 1/4 No KW|Setscrew Length:0.375000|Setscrew Size:1/4-20NC"
2935812,14MPCC385020,"UPC:698672913027|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):20|Number Of Teeth:275|Pitch Length (Metric):3,850|Pitch:14M|Weight:1.3"
2935836,14MPCC224020,"UPC:698672912426|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):20|Number Of Teeth:160|Pitch Length (Metric):2,240|Pitch:14M|Weight:0.8"
2935852,14MPCC1960125,"UPC:698672912310|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):125|Number Of Teeth:140|Pitch Length (Metric):1,960|Pitch:14M|Weight:4.1"
2935940,8MPCC200062,"UPC:698672913690|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):62|Number Of Teeth:250|Pitch Length (Metric):2,000|Pitch:8M|Weight:1.4"
2935936,14MPCC112068,"UPC:698672911948|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):68|Number Of Teeth:80|Pitch Length (Metric):1,120|Pitch:14M|Weight:1.3"
2935944,14MPCC140090,"UPC:698672912105|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):90|Number Of Teeth:100|Pitch Length (Metric):1,400|Pitch:14M|Weight:2.1"
2935992,14MPCC196090,"UPC:698672912358|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):90|Number Of Teeth:140|Pitch Length (Metric):1,960|Pitch:14M|Weight:3.0"
2936024,14MPCC1568125,"UPC:698672912112|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):125|Number Of Teeth:112|Pitch Length (Metric):1,568|Pitch:14M|Weight:3.3"
2936028,8MPCC260012,"UPC:698672913867|Belt Type:QT Power Chain II Carbon|Belt Width (Metric):12|Number Of Teeth:325|Pitch Length (Metric):2,600|Pitch:8M|Weight:0.3"
