id,catalog_number,add_descr
5053816,GFK35,nan
1616217,5370-271-201,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
401790,5371-273-031,"The Enclosed UniModule (EUM) packages the hardworking components from EM and UM products into a totally enclosed housing. This rugged housing keeps wear particles in and contaminants out and provides quiet operation. Pre-aligned at the factory, and pre-burnished for rated torque directly out-of-box."
399924,5371-273-033,"The Enclosed UniModule (EUM) packages the hardworking components from EM and UM products into a totally enclosed housing. This rugged housing keeps wear particles in and contaminants out and provides quiet operation. Pre-aligned at the factory, and pre-burnished for rated torque directly out-of-box."
1616300,5370-169-234,Warner Electric Electrically Released Electro Modules are available in three styles. The EM-FBB Brake Module is used in brake only applications and mounts between a C-face motor and a gear box or reducer. The EM-MBFB Motor Brake Module mounts to the back of a double shafted motor. The EM-FBC Brake Module is combined with a motor clutch (EM-10) or an input clutch (EM-30) for clutch/electrically released brake applications.
2266531,5370-273-214,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
401777,5371-4,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
399732,5371-271-003,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
401337,5371-273-084,"The Enclosed UniModule (EUM) packages the hardworking components from EM and UM products into a totally enclosed housing. This rugged housing keeps wear particles in and contaminants out and provides quiet operation. Pre-aligned at the factory, and pre-burnished for rated torque directly out-of-box."
1616244,5370-273-232,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
2079750,497.32.564,Shaft Assemblies - Niflor Coated Tubes Materials & finishes Joints: Huco-Pol plastic universal joints. Tubes: Niflor coated brass. Niflor is a proprietary PTFE impregnated electroless nickel plating process. 
2266531,5370-273-214,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
402976,5130-273-034,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
402683,5131-273-010,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
403486,5230-273-011,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
401970,5370-169-204,"Electro Modules are individual clutch or brake units which are assembled together to comprise a clutch, brake, or clutch/brake combination. Electro Modules can be bolted directly to a NEMA C-face motor or reducer or they can be base mounted for stand alone operation. Electro Modules offer the ultimate in clutch/brake convenience. They are easy and quick to install and require no lubrication or maintenance for life."
404926,6910-448-014,"The completely solid state MCS-203 Dancer Control Module is designed for automatic web tensioning through the use of a dancer roll. The MCS-203 can control two 24 VDC tension brakes in parallel. It works on the concept of a P-I-D controller and has internal P, I & D adjustments for optimum performance regardless of brake size."
405838,6004-448-001,"The CBC-100 and CBC-150 series are UL listed, conduit box mounted controls for 90 volt clutches and brakes. Models are available for either 120 VAC or 220/240 VAC input."
670515,5370-273-229,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
405844,6003-448-101,"The CBC-100 and CBC-150 series are UL listed, conduit box mounted controls for 90 volt clutches and brakes. Models are available for either 120 VAC or 220/240 VAC input."
1616225,5370-271-214,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
400535,5232-273-005,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
404461,5231-273-004,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
398674,5371-273-077,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
401989,5370-270-204,"Electro Modules are individual clutch or brake units which are assembled together to comprise a clutch, brake, or clutch/brake combination. Electro Modules can be bolted directly to a NEMA C-face motor or reducer or they can be base mounted for stand alone operation. Electro Modules offer the ultimate in clutch/brake convenience. They are easy and quick to install and require no lubrication or maintenance for life."
403465,5232-273-002,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
2266531,5370-273-214,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
403229,5633-273-005,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
31935,5370-273-204,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
402129,5370-273-213,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
402605,5633-273-003,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
402833,5370-271-204,"UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box."
402981,5130-273-032,"Warner Electric\'s EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives."
405446,6010-448-002,"The MCS-103-1 is an enclosed control complete with a cover and mounting provisions. A brake and clutch may be operated separately with this control — or up to four units, two at a time. The external wiring is connected to the terminal strip located behind the cover."
