id,catalog_number,description
5053816,GFK35,"Part Number(s):GFK35|Product Series:GFK|Bearing Series:5,907|Max. Inner Race RPM:4,600|Ball Bearing Rating Dynamic:1,912.50|Max. Outer Race RPM:3,200|Ball Bearing Rating Static:1,282.50|Bore:1.380|Keyway in Bore:None|Keyway on Outer Race:None|Lubrication Type:Grease|Roller Bearing Rating Dynamic:1,845.00|Roller Bearing Rating Static:1,170.00|Shipping Weight:0.440|Torque Capacity:151|Indexing Application Caution:Formsprag Clutch recommends the use of our HPI series for indexing rates in excess of 150 strokes per minute or indexing angles in excess of 90 degrees.|Product Mounting:Contact Formsprag Clutch Application Engineering for Vertical Mounting."
32170,J37B,"Altra Master No.:30214732|UPC:781711084267|Overall Length:1.750000|Material:Alloy Steel|Hub Diameter:0.375000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, J/Series, Pin & Block Type, Alloy Steel|Weight:0.051|Bore Length:43/64""|Bore Diameter (both ends):3/16""|Bore Diameter (both ends):3/16 (in)"
32186,JS75,"Altra Master No.:30214748|UPC:781711084588|Overall Length:2.687500|Material:Stainless Steel|Hub Diameter:0.750000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, JS/Series, Pin & Block Type, Stainless Steel|Weight:0.301|Bore Length:Solid|Bore Diameter (both ends):Solid|Bore Diameter (both ends):Solid"
32198,JS100B,"Altra Master No.:30214760|UPC:781711084823|Overall Length:3.375000|Material:Stainless Steel|Hub Diameter:1.000000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, JS/Series, Pin & Block Type, Stainless Steel|Weight:0.501|Bore Length:1-11/64""|Bore Diameter (both ends):1/2""|Bore Diameter (both ends):1/2 (in)"
32182,J400B,"Altra Master No.:30214744|UPC:781711084502|Overall Length:10.625000|Material:Alloy Steel|Hub Diameter:4.000000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, J/Series, Pin & Block Type, Alloy Steel|Weight:26.501|Bore Length:3-21/64""|Bore Diameter (both ends):2""|Bore Diameter (both ends):2 (in)"
35945,G692,"Altra Master No.:30216884|UPC:781711120422|Inside Diameter:3.960000|Diametrical Pitch:16|Outside Diameter:4.750|Material:Brass|Face Width:0.317|Product Family:Internal Spur Gears|Pitch Diameter:4.000|Product Description:Internal Gear, 14 1/2 PA, 16 DP, 64 Teeth, Brass|Weight:0.601|Pressure Angle:14-1/2 Degree Pressure Angle"
35949,G679,"Altra Master No.:30216888|UPC:781711120507|Inside Diameter:2.970000|Diametrical Pitch:24|Outside Diameter:3.750|Material:Brass|Face Width:0.255|Product Family:Internal Spur Gears|Pitch Diameter:3.000|Product Description:Internal Gear, 14 1/2 PA, 24 DP, 72 Teeth, Brass|Weight:0.331|Pressure Angle:14-1/2 Degree Pressure Angle"
35953,G666,"Altra Master No.:30216892|UPC:781711120583|Inside Diameter:1.980000|Diametrical Pitch:32|Outside Diameter:2.750|Material:Brass|Face Width:0.192|Product Family:Internal Spur Gears|Pitch Diameter:2.000|Product Description:Internal Gear, 14 1/2 PA, 32 DP, 64 Teeth, Brass|Weight:0.201|Pressure Angle:14-1/2 Degree Pressure Angle"
35957,G632,"Altra Master No.:30216896|UPC:781711120668|Inside Diameter:0.990000|Diametrical Pitch:48|Outside Diameter:1.500|Material:Brass|Face Width:0.130|Product Family:Internal Spur Gears|Pitch Diameter:1.000|Product Description:Internal Gear, 14 1/2 PA, 48 DP, 48 Teeth, Brass|Weight:0.101|Pressure Angle:14-1/2 Degree Pressure Angle"
38406,GP1019,"Altra Master No.:30235652|UPC:781711541074|Ratio:30:1|Diametrical Pitch:48|Center Distance:0.875|Material:Acetal|Mating Worm (Hard):48 DP, Single Thread|Hub Diameter:0.440|Bore Size:0.187|Product Family:Worm Gears|O/P Rating:Not Rated|Product Description:Worm Gear, 48 DP, 14.5 PA, 30 Teeth, RH, Acetal|Weight:0.011"
38410,GP1027,"Altra Master No.:30235657|UPC:781711541111|Ratio:30:1|Diametrical Pitch:32|Center Distance:0.875|Material:Acetal|Mating Worm (Hard):32 DP, Single Thread|Hub Diameter:0.630|Bore Size:0.187|Product Family:Worm Gears|O/P Rating:Not Rated|Product Description:Worm Gear, 32 DP, 14.5 PA, 30 Teeth, RH, Acetal|Weight:0.011"
38414,GP1035,"Altra Master No.:30235661|UPC:781711541159|Ratio:30:1|Diametrical Pitch:24|Center Distance:0.875|Material:Minlon|Mating Worm (Hard):24 DP, Single Thread|Hub Diameter:0.630|Bore Size:0.187|Product Family:Worm Gears|O/P Rating:Not Rated|Product Description:Worm Gear, 24 DP, 14.5 PA, 30 Teeth, RH, Minlon|Weight:0.011"
38777,XFCBB15,"Altra Master No.:30214543|UPC:781711080665|Material:Bost-Bronz|Use With Coupling:FC15|Product Family:FC Series Coupling Insert|Product Description:Coupling Insert, FC Series, Bost-Bronz|Weight:0.101"
