main_image,description,brand,ids,additional_description,attributes,catalog_number
https://dpk3n3gg92jwt.cloudfront.net/domains/altra.formspragclutch/images/GFK.jpg,Formsprag GFK35 OVERRUNNING CLUTCH ASSEMBLY,Formsprag,5053816,,"Part Number(s):GFK35|Product Series:GFK|Bearing Series:5,907|Max. Inner Race RPM:4,600|Ball Bearing Rating Dynamic:1,912.50|Max. Outer Race RPM:3,200|Ball Bearing Rating Static:1,282.50|Bore:1.380|Keyway in Bore:None|Keyway on Outer Race:None|Lubrication Type:Grease|Roller Bearing Rating Dynamic:1,845.00|Roller Bearing Rating Static:1,170.00|Shipping Weight:0.440|Torque Capacity:151|Indexing Application Caution:Formsprag Clutch recommends the use of our HPI series for indexing rates in excess of 150 strokes per minute or indexing angles in excess of 90 degrees.|Product Mounting:Contact Formsprag Clutch Application Engineering for Vertical Mounting.",GFK35
product_images/32/170/BG20J100b20Universal20Joint.jpg,Boston Gear 08426 J37B STEEL UNIVERSAL JOINTS BORE: 3/16 INCH,Boston Gear,32170,"<p>Boston Gear precision-machined J and JS Series universal joints, commonly referred to as ""pin and block"" type, are designed for connecting shafts at angles up to 30° for speeds up to 2000 RPM. All 14 sizes are stocked in solid, plain, and finished bores in both steel (J) and stainless steel (JS). And all are available through Boston Gear Guaranteed Same Day Shipment Program for the timeliest delivery possible.</p><br><table><tr><th>Product Family</th><th>J/JS Series Universal Joints</th></tr><tr><th>Weight</th><th>0.051</th></tr><tr><th>Product Description</th><th>Universal Joint, J/Series, Pin & Block Type, Alloy Steel</th></tr><tr><th>Altra Master No.</th><th>30214732</th></tr><tr><th>Material</th><th>Alloy Steel</th></tr><tr><th>UPC</th><th>781711084267</th></tr><tr><th>Family Id</th><th>30,026</th></tr><tr><th>Overall Length</th><th>1.750000</th></tr><tr><th>Hub Diameter</th><th>0.375000</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr><tr><th>Bore Length</th><th>43/64""</th></tr></table>","Altra Master No.:30214732|UPC:781711084267|Overall Length:1.750000|Material:Alloy Steel|Hub Diameter:0.375000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, J/Series, Pin & Block Type, Alloy Steel|Weight:0.051|Bore Length:43/64""|Bore Diameter (both ends):3/16""|Bore Diameter (both ends):3/16 (in)",J37B
product_images/32/186/BG20J100b20Universal20Joint.jpg,Boston Gear 08458 JS75 STAINLESS STEEL UNIVERSAL JOIN BORE: 3/8 INCH,Boston Gear,32186,"<p>Boston Gear precision-machined J and JS Series universal joints, commonly referred to as ""pin and block"" type, are designed for connecting shafts at angles up to 30° for speeds up to 2000 RPM. All 14 sizes are stocked in solid, plain, and finished bores in both steel (J) and stainless steel (JS). And all are available through Boston Gear Guaranteed Same Day Shipment Program for the timeliest delivery possible.</p><br><table><tr><th>Product Family</th><th>J/JS Series Universal Joints</th></tr><tr><th>Weight</th><th>0.301</th></tr><tr><th>Product Description</th><th>Universal Joint, JS/Series, Pin & Block Type, Stainless Steel</th></tr><tr><th>Altra Master No.</th><th>30214748</th></tr><tr><th>Material</th><th>Stainless Steel</th></tr><tr><th>UPC</th><th>781711084588</th></tr><tr><th>Family Id</th><th>30,026</th></tr><tr><th>Overall Length</th><th>2.687500</th></tr><tr><th>Hub Diameter</th><th>0.750000</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr><tr><th>Bore Length</th><th>Solid</th></tr></table>","Altra Master No.:30214748|UPC:781711084588|Overall Length:2.687500|Material:Stainless Steel|Hub Diameter:0.750000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, JS/Series, Pin & Block Type, Stainless Steel|Weight:0.301|Bore Length:Solid|Bore Diameter (both ends):Solid|Bore Diameter (both ends):Solid",JS75
product_images/32/198/BG20J100b20Universal20Joint.jpg,Boston Gear 08482 JS100B STAINLESS STEEL UNIVERSAL JO BORE: 1/2 INCH,Boston Gear,32198,"<p>Boston Gear precision-machined J and JS Series universal joints, commonly referred to as ""pin and block"" type, are designed for connecting shafts at angles up to 30° for speeds up to 2000 RPM. All 14 sizes are stocked in solid, plain, and finished bores in both steel (J) and stainless steel (JS). And all are available through Boston Gear Guaranteed Same Day Shipment Program for the timeliest delivery possible.</p><br><table><tr><th>Product Family</th><th>J/JS Series Universal Joints</th></tr><tr><th>Weight</th><th>0.501</th></tr><tr><th>Product Description</th><th>Universal Joint, JS/Series, Pin & Block Type, Stainless Steel</th></tr><tr><th>Altra Master No.</th><th>30214760</th></tr><tr><th>Material</th><th>Stainless Steel</th></tr><tr><th>UPC</th><th>781711084823</th></tr><tr><th>Family Id</th><th>30,026</th></tr><tr><th>Overall Length</th><th>3.375000</th></tr><tr><th>Hub Diameter</th><th>1.000000</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr><tr><th>Bore Length</th><th>1-11/64""</th></tr></table>","Altra Master No.:30214760|UPC:781711084823|Overall Length:3.375000|Material:Stainless Steel|Hub Diameter:1.000000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, JS/Series, Pin & Block Type, Stainless Steel|Weight:0.501|Bore Length:1-11/64""|Bore Diameter (both ends):1/2""|Bore Diameter (both ends):1/2 (in)",JS100B
product_images/32/182/BG20J100b20Universal20Joint.jpg,Boston Gear 08450 J400B STEEL UNIVERSAL JOINTS BORE: 2 INCH,Boston Gear,32182,"<p>Boston Gear precision-machined J and JS Series universal joints, commonly referred to as ""pin and block"" type, are designed for connecting shafts at angles up to 30° for speeds up to 2000 RPM. All 14 sizes are stocked in solid, plain, and finished bores in both steel (J) and stainless steel (JS). And all are available through Boston Gear Guaranteed Same Day Shipment Program for the timeliest delivery possible.</p><br><table><tr><th>Product Family</th><th>J/JS Series Universal Joints</th></tr><tr><th>Weight</th><th>26.501</th></tr><tr><th>Product Description</th><th>Universal Joint, J/Series, Pin & Block Type, Alloy Steel</th></tr><tr><th>Altra Master No.</th><th>30214744</th></tr><tr><th>Material</th><th>Alloy Steel</th></tr><tr><th>UPC</th><th>781711084502</th></tr><tr><th>Family Id</th><th>30,026</th></tr><tr><th>Overall Length</th><th>10.625000</th></tr><tr><th>Hub Diameter</th><th>4.000000</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr><tr><th>Bore Length</th><th>3-21/64""</th></tr></table>","Altra Master No.:30214744|UPC:781711084502|Overall Length:10.625000|Material:Alloy Steel|Hub Diameter:4.000000|Product Family:J/JS Series Universal Joints|Product Description:Universal Joint, J/Series, Pin & Block Type, Alloy Steel|Weight:26.501|Bore Length:3-21/64""|Bore Diameter (both ends):2""|Bore Diameter (both ends):2 (in)",J400B
product_images/35/945/BG20G66920Internal20Gear.jpg,BOSTON 12042 G692 BRASS INTERNAL GR,Boston Gear,35945,"<p>Boston Gear internal gears are spur gears turned ""inside out."" In other words, the teeth are cut into the inside diameter while the outside diameter is kept smooth. This design allows for the driving pinion to rotate internal to the gear, which, in turn, allows for clean operation.  Intended for light duty applications, these gears are available only in brass. When choosing a mating spur gear, always remember that the difference in the number of teeth between the internal gear and pinion should not be less than 15 (14 1/2° PA) or 12 (20° PA).</p><br><table><tr><th>Product Family</th><th>Internal Spur Gears</th></tr><tr><th>Diametrical Pitch</th><th>16</th></tr><tr><th>Product Description</th><th>Internal Gear, 14 1/2 PA, 16 DP, 64 Teeth, Brass</th></tr><tr><th>Altra Master No.</th><th>30216884</th></tr><tr><th>Inside Diameter</th><th>3.960000</th></tr><tr><th>Material</th><th>Brass</th></tr><tr><th>UPC</th><th>781711120422</th></tr><tr><th>Face Width</th><th>0.317</th></tr><tr><th>Family Id</th><th>30,060</th></tr><tr><th>Weight</th><th>0.601</th></tr><tr><th>Pitch Diameter</th><th>4.000</th></tr><tr><th>Outside Diameter</th><th>4.750</th></tr><tr><th>No Of Teeth</th><th>64</th></tr><tr><th>Pressure Angle</th><th>14.5</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr></table>","Altra Master No.:30216884|UPC:781711120422|Inside Diameter:3.960000|Diametrical Pitch:16|Outside Diameter:4.750|Material:Brass|Face Width:0.317|Product Family:Internal Spur Gears|Pitch Diameter:4.000|Product Description:Internal Gear, 14 1/2 PA, 16 DP, 64 Teeth, Brass|Weight:0.601|Pressure Angle:14-1/2 Degree Pressure Angle",G692
product_images/35/949/BG20G66920Internal20Gear.jpg,BOSTON 12050 G679 BRASS INTERNAL GR,Boston Gear,35949,"<p>Boston Gear internal gears are spur gears turned ""inside out."" In other words, the teeth are cut into the inside diameter while the outside diameter is kept smooth. This design allows for the driving pinion to rotate internal to the gear, which, in turn, allows for clean operation.  Intended for light duty applications, these gears are available only in brass. When choosing a mating spur gear, always remember that the difference in the number of teeth between the internal gear and pinion should not be less than 15 (14 1/2° PA) or 12 (20° PA).</p><br><table><tr><th>Product Family</th><th>Internal Spur Gears</th></tr><tr><th>Diametrical Pitch</th><th>24</th></tr><tr><th>Product Description</th><th>Internal Gear, 14 1/2 PA, 24 DP, 72 Teeth, Brass</th></tr><tr><th>Altra Master No.</th><th>30216888</th></tr><tr><th>Inside Diameter</th><th>2.970000</th></tr><tr><th>Material</th><th>Brass</th></tr><tr><th>UPC</th><th>781711120507</th></tr><tr><th>Face Width</th><th>0.255</th></tr><tr><th>Family Id</th><th>30,060</th></tr><tr><th>Weight</th><th>0.331</th></tr><tr><th>Pitch Diameter</th><th>3.000</th></tr><tr><th>Outside Diameter</th><th>3.750</th></tr><tr><th>No Of Teeth</th><th>72</th></tr><tr><th>Pressure Angle</th><th>14.5</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr></table>","Altra Master No.:30216888|UPC:781711120507|Inside Diameter:2.970000|Diametrical Pitch:24|Outside Diameter:3.750|Material:Brass|Face Width:0.255|Product Family:Internal Spur Gears|Pitch Diameter:3.000|Product Description:Internal Gear, 14 1/2 PA, 24 DP, 72 Teeth, Brass|Weight:0.331|Pressure Angle:14-1/2 Degree Pressure Angle",G679
product_images/35/953/BG20G66920Internal20Gear.jpg,BOSTON 12058 G666 BRASS INTERNAL GR,Boston Gear,35953,"<p>Boston Gear internal gears are spur gears turned ""inside out."" In other words, the teeth are cut into the inside diameter while the outside diameter is kept smooth. This design allows for the driving pinion to rotate internal to the gear, which, in turn, allows for clean operation.  Intended for light duty applications, these gears are available only in brass. When choosing a mating spur gear, always remember that the difference in the number of teeth between the internal gear and pinion should not be less than 15 (14 1/2° PA) or 12 (20° PA).</p><br><table><tr><th>Product Family</th><th>Internal Spur Gears</th></tr><tr><th>Diametrical Pitch</th><th>32</th></tr><tr><th>Product Description</th><th>Internal Gear, 14 1/2 PA, 32 DP, 64 Teeth, Brass</th></tr><tr><th>Altra Master No.</th><th>30216892</th></tr><tr><th>Inside Diameter</th><th>1.980000</th></tr><tr><th>Material</th><th>Brass</th></tr><tr><th>UPC</th><th>781711120583</th></tr><tr><th>Face Width</th><th>0.192</th></tr><tr><th>Family Id</th><th>30,060</th></tr><tr><th>Weight</th><th>0.201</th></tr><tr><th>Pitch Diameter</th><th>2.000</th></tr><tr><th>Outside Diameter</th><th>2.750</th></tr><tr><th>No Of Teeth</th><th>64</th></tr><tr><th>Pressure Angle</th><th>14.5</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr></table>","Altra Master No.:30216892|UPC:781711120583|Inside Diameter:1.980000|Diametrical Pitch:32|Outside Diameter:2.750|Material:Brass|Face Width:0.192|Product Family:Internal Spur Gears|Pitch Diameter:2.000|Product Description:Internal Gear, 14 1/2 PA, 32 DP, 64 Teeth, Brass|Weight:0.201|Pressure Angle:14-1/2 Degree Pressure Angle",G666
product_images/35/957/BG20G66920Internal20Gear.jpg,BOSTON 12066 G632 BRASS INTERNAL GR,Boston Gear,35957,"<p>Boston Gear internal gears are spur gears turned ""inside out."" In other words, the teeth are cut into the inside diameter while the outside diameter is kept smooth. This design allows for the driving pinion to rotate internal to the gear, which, in turn, allows for clean operation.  Intended for light duty applications, these gears are available only in brass. When choosing a mating spur gear, always remember that the difference in the number of teeth between the internal gear and pinion should not be less than 15 (14 1/2° PA) or 12 (20° PA).</p><br><table><tr><th>Product Family</th><th>Internal Spur Gears</th></tr><tr><th>Diametrical Pitch</th><th>48</th></tr><tr><th>Product Description</th><th>Internal Gear, 14 1/2 PA, 48 DP, 48 Teeth, Brass</th></tr><tr><th>Altra Master No.</th><th>30216896</th></tr><tr><th>Inside Diameter</th><th>0.990000</th></tr><tr><th>Material</th><th>Brass</th></tr><tr><th>UPC</th><th>781711120668</th></tr><tr><th>Face Width</th><th>0.130</th></tr><tr><th>Family Id</th><th>30,060</th></tr><tr><th>Weight</th><th>0.101</th></tr><tr><th>Pitch Diameter</th><th>1.000</th></tr><tr><th>Outside Diameter</th><th>1.500</th></tr><tr><th>No Of Teeth</th><th>48</th></tr><tr><th>Pressure Angle</th><th>14.5</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr></table>","Altra Master No.:30216896|UPC:781711120668|Inside Diameter:0.990000|Diametrical Pitch:48|Outside Diameter:1.500|Material:Brass|Face Width:0.130|Product Family:Internal Spur Gears|Pitch Diameter:1.000|Product Description:Internal Gear, 14 1/2 PA, 48 DP, 48 Teeth, Brass|Weight:0.101|Pressure Angle:14-1/2 Degree Pressure Angle",G632
product_images/38/406/BG_54113_Worm_Gear_1.jpg,BOSTON 54107 GP1019 PLASTIC WORM GEAR,Boston Gear,38406,"<p>When used with Boston Gear worms, Boston Gear worm gears provide effective power transmission in applications requiring high-ratio speed reduction in a limited space using right angle (90°), non-intersecting shafts. They are also the smoothest, quietest form of gearing when properly applied.  Boston Gear offers worm gears manufactured from a variety of materials, such as acetal, minlon, bronze, and cast iron to suit your application requirements.  Note: Because the efficiency of a worm gear drive depends on the lead angle and number of starts on the worm, the ratio should be kept low. To run properly, worms and worm gears operating together must have the same diametrical pitch and threads.</p><br><table><tr><th>Mating Worm (Hard)</th><th>48 DP, Single Thread</th></tr><tr><th>Ratio</th><th>30:1</th></tr><tr><th>Product Family</th><th>Worm Gears</th></tr><tr><th>Diametrical Pitch</th><th>48</th></tr><tr><th>O/P Rating</th><th>Not Rated</th></tr><tr><th>Product Description</th><th>Worm Gear, 48 DP, 14.5 PA, 30 Teeth, RH, Acetal</th></tr><tr><th>Altra Master No.</th><th>30235652</th></tr><tr><th>Material</th><th>Acetal</th></tr><tr><th>Bore Size</th><th>0.187</th></tr><tr><th>UPC</th><th>781711541074</th></tr><tr><th>Hand</th><th>Right Hand</th></tr><tr><th>Weight</th><th>0.011</th></tr><tr><th>Center Distance</th><th>0.875</th></tr><tr><th>Family Id</th><th>30,065</th></tr><tr><th>Hub Diameter</th><th>0.440</th></tr><tr><th>Unit Of Measure</th><th>English</th></tr></table>","Altra Master No.:30235652|UPC:781711541074|Ratio:30:1|Diametrical Pitch:48|Center Distance:0.875|Material:Acetal|Mating Worm (Hard):48 DP, Single Thread|Hub Diameter:0.440|Bore Size:0.187|Product Family:Worm Gears|O/P Rating:Not Rated|Product Description:Worm Gear, 48 DP, 14.5 PA, 30 Teeth, RH, Acetal|Weight:0.011",GP1019
