id,catalog_number,cad,type
130320,128761,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128761_front.dxf,front
130320,128761,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128761_right.dxf,right
130320,128761,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128761_top.dxf,top
125060,023303,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023303_front.dxf,front
125060,023303,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023303_right.dxf,right
125060,023303,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023303_top.dxf,top
129381,131844,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131844_front.dxf,front
129381,131844,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131844_right.dxf,right
129381,131844,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131844_top.dxf,top
130913,128674,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128674_front.dxf,front
130913,128674,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128674_right.dxf,right
130913,128674,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128674_top.dxf,top
786398,071922,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071922_front.dxf,front
786398,071922,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071922_right.dxf,right
786398,071922,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071922_top.dxf,top
791569,076157,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076157_front.dxf,front
791569,076157,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076157_right.dxf,right
791569,076157,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076157_top.dxf,top
124836,033938,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033938_front.dxf,front
124836,033938,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033938_right.dxf,right
124836,033938,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033938_top.dxf,top
127385,129182,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129182_front.dxf,front
127385,129182,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129182_right.dxf,right
127385,129182,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129182_top.dxf,top
131736,124198,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124198_front.dxf,front
131736,124198,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124198_right.dxf,right
131736,124198,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124198_top.dxf,top
132219,034314,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034314_front.dxf,front
132219,034314,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034314_right.dxf,right
132219,034314,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034314_top.dxf,top
131258,071349,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071349_front.dxf,front
131258,071349,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071349_right.dxf,right
131258,071349,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071349_top.dxf,top
123075,066363,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066363_front.dxf,front
123075,066363,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066363_right.dxf,right
123075,066363,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066363_top.dxf,top
128408,069809,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069809_front.dxf,front
128408,069809,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069809_right.dxf,right
128408,069809,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069809_top.dxf,top
786627,072369,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072369_front.dxf,front
786627,072369,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072369_right.dxf,right
786627,072369,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072369_top.dxf,top
133122,136306,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136306_front.dxf,front
133122,136306,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136306_right.dxf,right
133122,136306,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136306_top.dxf,top
123047,066271,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066271_front.dxf,front
123047,066271,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066271_right.dxf,right
123047,066271,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066271_top.dxf,top
791757,136986,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136986_front.dxf,front
791757,136986,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136986_right.dxf,right
791757,136986,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136986_top.dxf,top
132163,033251,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033251_front.dxf,front
132163,033251,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033251_right.dxf,right
132163,033251,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033251_top.dxf,top
786536,072276,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072276_front.dxf,front
786536,072276,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072276_right.dxf,right
786536,072276,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072276_top.dxf,top
791526,076143,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076143_front.dxf,front
791526,076143,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076143_right.dxf,right
791526,076143,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076143_top.dxf,top
133405,125681,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125681_front.dxf,front
133405,125681,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125681_right.dxf,right
133405,125681,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125681_top.dxf,top
123080,066268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066268_front.dxf,front
123080,066268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066268_right.dxf,right
123080,066268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066268_top.dxf,top
786448,072186,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072186_front.dxf,front
786448,072186,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072186_right.dxf,right
786448,072186,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072186_top.dxf,top
