id,catalog_number,cad
130320,128761,https://mro-host.herokuapp.com/file_download/?name=baldor3d_128761.dxf
125060,023303,https://mro-host.herokuapp.com/file_download/?name=baldor3d_023303.dxf
129381,131844,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131844.dxf
130913,128674,https://mro-host.herokuapp.com/file_download/?name=baldor3d_128674.dxf
786398,071922,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071922.dxf
791569,076157,https://mro-host.herokuapp.com/file_download/?name=baldor3d_076157.dxf
124836,033938,https://mro-host.herokuapp.com/file_download/?name=baldor3d_033938.dxf
127385,129182,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129182.dxf
131736,124198,https://mro-host.herokuapp.com/file_download/?name=baldor3d_124198.dxf
132219,034314,https://mro-host.herokuapp.com/file_download/?name=baldor3d_034314.dxf
131258,071349,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071349.dxf
123075,066363,https://mro-host.herokuapp.com/file_download/?name=baldor3d_066363.dxf
128408,069809,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069809.dxf
786627,072369,https://mro-host.herokuapp.com/file_download/?name=baldor3d_072369.dxf
133122,136306,https://mro-host.herokuapp.com/file_download/?name=baldor3d_136306.dxf
123047,066271,https://mro-host.herokuapp.com/file_download/?name=baldor3d_066271.dxf
791757,136986,https://mro-host.herokuapp.com/file_download/?name=baldor3d_136986.dxf
132163,033251,https://mro-host.herokuapp.com/file_download/?name=baldor3d_033251.dxf
786536,072276,https://mro-host.herokuapp.com/file_download/?name=baldor3d_072276.dxf
791526,076143,https://mro-host.herokuapp.com/file_download/?name=baldor3d_076143.dxf
133405,125681,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125681.dxf
123080,066268,https://mro-host.herokuapp.com/file_download/?name=baldor3d_066268.dxf
786448,072186,https://mro-host.herokuapp.com/file_download/?name=baldor3d_072186.dxf
125748,019272,https://mro-host.herokuapp.com/file_download/?name=baldor3d_019272.dxf
125633,128735,https://mro-host.herokuapp.com/file_download/?name=baldor3d_128735.dxf
