ids,catalog_number,description,image,brochure,product_specs,additional_description
2986218,8MXT-4480-21,Carlisle 8MXT-4480-21 Panther XT Synchronous Belt,http://www.carlislebelts.com/cms_uploads/PowerMiser11.jpg,,,"<div><p>PowerMiser™ is a <span>powerful, but simple web based application for desktop and mobile use that</span><span> identifies estimated </span><span>annual energy costs, savings and payback that can be realized by upgrading </span><span>to Carlisle belts by Timken.</span></p><p><span>Open PowerMiser</a></span></p><p><strong>Reduce Downtime and Save</strong></p><p>With the energy efficient Gold-Ribbon, Power-Wedge, Super II, and Durapower II v-belts or Panther and Panther XT synchronous belts, you’ll gain improved system wide performance. Although initial cost may be slightly higher than ordinary belts, payback is significant - and begins immediately! Use PowerMiser to calculate the savings. For superior performance and energy savings you can count on Carlisle belts by Timken.</p><p>NOTE: PowerMiser is a free web application and is not available from the App store.</p><p><strong> </strong></p></div>"
2985117,DP101MS,Carlisle DP101MS Super Blue Ribbon V-Belt,http://www.carlislebelts.com/cms_uploads/Super_Blue_Ribbon_V_Belt1.jpg,,,"<div><p>The finest wrapped belt in the industry and workhorse of classical V-belts. Super Blue Ribbon v-belts assure dependable length stability and require less re-tensioning and take-up. The cord is coated with a special compound that produces a secure, long-lasting bond with the surrounding rubber. The heavy-duty fabric cover protects the core. Its extra flexibility permits the belt to bend more easily around the smallest pulleys with less strain on the fabric. Longer belt life results in less frequent replacement, less downtime and lower maintenance costs.</p><p><strong>Features/Advantages</strong></p><ul><li>Dependable performance on classical belt drives</li><li>Heavy duty cover is impregnated with oil and heat resistant rubber</li><li>Resists flex fatigue</li><li>Longer belt life</li><li>Smoother running</li><li>Backed by our Iron Clad Guarantee</a></li><li>Built to Chek Mate belt tolerances for a matched set</li></ul><p><strong>Applications</strong></p><ul><li>Mixers, pumps, conveyors, any and everything, and more</li></ul><p><strong>Sizes</strong></p><ul><li>AP, BP, CP, DP, EP cross-sections from 22"" to 664""<br><br></li></ul></div>"
2985363,5V1600MS,Carlisle 5V1600MS Super Power-Wedge V-Belt,http://www.carlislebelts.com/cms_uploads/Wedge_Band1.jpg,,,"<div><p>Wedge-Band is the banded version of the hard-working Super Power-Wedge v-belt. Wedge-Band is an excellent choice for virtually any application where increased horsepower capacity and output is needed, or where conventional multiple belt drives are impractical because of space or weight limitations. The specially compounded wrapped construction is ideal for clutching operations. Banded v-belts are ideally suited for pulsating or heavily shock loaded drives and drives with extremely long center distances. Wedge-Band is oil and heat resistant, static dissipating, and it won’t turn over or jump off the drive.</p><p><strong>Features/Advantages</strong></p><ul><li><p>Prevents belt whip and rollover on long center distance drives</p></li><li><p>Smoother clutching</p></li><li><p>Space and weight saver</p></li><li><p>Oversized polyester cord provides added belt strength and stability</p></li><li><p>Cord is chemically treated for resistance to belt stretch</p></li><li><p>Tie-band is highly engineered to permanently bond multiple belts together enabling the belts to function as a single unit with even load distribution and wear</p></li><li><p>Vibration is dampened</p></li><li><p>Heavy shock loads are absorbed</p></li><li></li></ul><p><strong>Applications</strong></p><ul><li>Mud pumps, rock crushers, stump grinders, and more</li></ul><p><strong>Sizes</strong></p><ul><li>R3V, R5V and R8V cross-sections from 34"" to 601""</li></ul></div>"
2984812,AP87MS,Carlisle AP87MS Super Blue Ribbon V-Belt,http://www.carlislebelts.com/cms_uploads/Super_Blue_Ribbon_V_Belt1.jpg,,,"<div><p>The finest wrapped belt in the industry and workhorse of classical V-belts. Super Blue Ribbon v-belts assure dependable length stability and require less re-tensioning and take-up. The cord is coated with a special compound that produces a secure, long-lasting bond with the surrounding rubber. The heavy-duty fabric cover protects the core. Its extra flexibility permits the belt to bend more easily around the smallest pulleys with less strain on the fabric. Longer belt life results in less frequent replacement, less downtime and lower maintenance costs.</p><p><strong>Features/Advantages</strong></p><ul><li>Dependable performance on classical belt drives</li><li>Heavy duty cover is impregnated with oil and heat resistant rubber</li><li>Resists flex fatigue</li><li>Longer belt life</li><li>Smoother running</li><li>Backed by our Iron Clad Guarantee</a></li><li>Built to Chek Mate belt tolerances for a matched set</li></ul><p><strong>Applications</strong></p><ul><li>Mixers, pumps, conveyors, any and everything, and more</li></ul><p><strong>Sizes</strong></p><ul><li>AP, BP, CP, DP, EP cross-sections from 22"" to 664""<br><br></li></ul></div>"
2985110,CP94MS,Carlisle CP94MS Super Blue Ribbon V-Belt,http://www.carlislebelts.com/cms_uploads/Super_Blue_Ribbon_V_Belt1.jpg,,,"<div><p>The finest wrapped belt in the industry and workhorse of classical V-belts. Super Blue Ribbon v-belts assure dependable length stability and require less re-tensioning and take-up. The cord is coated with a special compound that produces a secure, long-lasting bond with the surrounding rubber. The heavy-duty fabric cover protects the core. Its extra flexibility permits the belt to bend more easily around the smallest pulleys with less strain on the fabric. Longer belt life results in less frequent replacement, less downtime and lower maintenance costs.</p><p><strong>Features/Advantages</strong></p><ul><li>Dependable performance on classical belt drives</li><li>Heavy duty cover is impregnated with oil and heat resistant rubber</li><li>Resists flex fatigue</li><li>Longer belt life</li><li>Smoother running</li><li>Backed by our Iron Clad Guarantee</a></li><li>Built to Chek Mate belt tolerances for a matched set</li></ul><p><strong>Applications</strong></p><ul><li>Mixers, pumps, conveyors, any and everything, and more</li></ul><p><strong>Sizes</strong></p><ul><li>AP, BP, CP, DP, EP cross-sections from 22"" to 664""<br><br></li></ul></div>"
2984498,B124MS,Carlisle B124MS Super II V-Belt,http://www.carlislebelts.com/cms_uploads/Super_II_V_Belt1.jpg,,,"<div><p><em><img width=""298"" height=""38"" style=""vertical-align: baseline;"" src=""/cms_files/original/USA___CHEK_MATE_LOGO_298x38.jpg""></em></p><p><em>The Problem Solver!</em> Super II v-belts are the solution to the constant and costly problem of replacing ordinary v-belts on troublesome drives. Specially formulated fiber-loaded EPDM rubber compounds, engineered fabrics and high-modulus polyester cord offer greater strength, longer life, better heat dissipation and higher efficiencies than best-in-class wrapped v-belts. The unique CNA (central neutral axis) cord placement positions the strength of the belt lower on the pulleys to maintain stability and prevent roll-over. The raw edge construction results in more efficient power transmission and reduced energy loss.</p><p><strong>Features/Advantages</strong></p><ul><li>Higher performance alternative to classical wrapped v-belts</li><li>More energy efficient than wrapped v-belts</li><li>Unique design for longer life</li><li>Less maintenance and downtime</li><li>EPDM rubber compound is static conductive, resistant to hardening and glazing, and operates in a broad temperature range (-50ºF to +250ºF)</li><li>Backed by our Iron Clad Guarantee</a></li><li>Built to Chek Mate belt tolerances for a matched set</li></ul><p><strong>Applications</strong></p><ul><li>Shaker screens, debarkers, industrial washers and dryers, and more</li></ul><p><strong>Sizes</strong></p><ul><li>A, B and C cross-sections from 17"" to 144""<br><br></li></ul></div>"
2984934,BP84MS,Carlisle BP84MS Super Blue Ribbon V-Belt,http://www.carlislebelts.com/cms_uploads/Super_Blue_Ribbon_V_Belt1.jpg,,,"<div><p>The finest wrapped belt in the industry and workhorse of classical V-belts. Super Blue Ribbon v-belts assure dependable length stability and require less re-tensioning and take-up. The cord is coated with a special compound that produces a secure, long-lasting bond with the surrounding rubber. The heavy-duty fabric cover protects the core. Its extra flexibility permits the belt to bend more easily around the smallest pulleys with less strain on the fabric. Longer belt life results in less frequent replacement, less downtime and lower maintenance costs.</p><p><strong>Features/Advantages</strong></p><ul><li>Dependable performance on classical belt drives</li><li>Heavy duty cover is impregnated with oil and heat resistant rubber</li><li>Resists flex fatigue</li><li>Longer belt life</li><li>Smoother running</li><li>Backed by our Iron Clad Guarantee</a></li><li>Built to Chek Mate belt tolerances for a matched set</li></ul><p><strong>Applications</strong></p><ul><li>Mixers, pumps, conveyors, any and everything, and more</li></ul><p><strong>Sizes</strong></p><ul><li>AP, BP, CP, DP, EP cross-sections from 22"" to 664""<br><br></li></ul></div>"
2017379,A50,Carlisle A50 Super Ii V-Belt,https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/20/17379/carlisle_vbelt.jpg,,,"<table class='description-table'><caption>Replaces:</caption><tr><th>ALLEN'S AUTO PARTS</th><td>GATA50</td></tr><tr><th>ALLIS CHALMERS</th><td>71607967</td></tr><tr><th>BOSTWICK-BRAUN</th><td>382906</td></tr><tr><th>BRAMEC CORP</th><td>17929</td></tr><tr><th>CASE-IH</th><td>488082R2</td></tr><tr><th>CASE/IH</th><td>62397C1</td></tr><tr><th>DAYCO</th><td>AP50</td></tr><tr><th>FAMILY FARM &amp; HOME</th><td>886721</td></tr><tr><th>FORD / NEW HOLLAND</th><td>592711</td></tr><tr><th>GSI/GRAIN SYSTEMS, INC</th><td>MHC00740</td></tr><tr><th>ORGILL</th><td>580-8696</td></tr><tr><th>ORGILL</th><td>5808696</td></tr><tr><th>TSC CANADA</th><td>62050</td></tr><tr><th>WHITE / OLIVER</th><td>10A30140</td></tr></table>"
2017386,A57,Carlisle A57 Super Ii V-Belt,https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/20/17386/carlisle_vbelt.jpg,,,"<table class='description-table'><caption>Replaces:</caption><tr><th>ALLEN'S AUTO PARTS</th><td>GATA57</td></tr><tr><th>ALLIS CHALMERS</th><td>1197878</td></tr><tr><th>ALLIS CHALMERS</th><td>1336307</td></tr><tr><th>ALLIS CHALMERS</th><td>71197878</td></tr><tr><th>BOSTWICK-BRAUN</th><td>382973</td></tr><tr><th>BRAMEC CORP</th><td>17936</td></tr><tr><th>DAYCO</th><td>AP57</td></tr><tr><th>FAMILY FARM &amp; HOME</th><td>886796</td></tr><tr><th>HESSTON</th><td>7855216</td></tr><tr><th>GSI/GRAIN SYSTEMS, INC</th><td>CE00564</td></tr><tr><th>ORGILL</th><td>832-9989</td></tr><tr><th>ORGILL</th><td>8329989</td></tr><tr><th>POWERMATE</th><td>007-0045</td></tr><tr><th>POWERMATE</th><td>70045</td></tr><tr><th>TSC CANADA</th><td>62057</td></tr></table>"
2017384,A55,Carlisle A55 Super Ii V-Belt,https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/20/17384/carlisle_vbelt.jpg,,,"<table class='description-table'><caption>Replaces:</caption><tr><th>ALLEN'S AUTO PARTS</th><td>GATA55</td></tr><tr><th>BEAN, JOHN</th><td>1107402</td></tr><tr><th>BOSTWICK-BRAUN</th><td>382957</td></tr><tr><th>BRAMEC CORP</th><td>17934</td></tr><tr><th>DAYCO</th><td>AP55</td></tr><tr><th>FAMILY FARM &amp; HOME</th><td>886770</td></tr><tr><th>GSI/GRAIN SYSTEMS, INC</th><td>MHC00062</td></tr><tr><th>MACDON</th><td>K248791</td></tr><tr><th>NORTHERN TOOL &amp; EQ.MFG.CO.INC</th><td>34752</td></tr><tr><th>ORGILL</th><td>456-0033</td></tr><tr><th>ORGILL</th><td>4560033</td></tr><tr><th>PIX</th><td>A55PIX</td></tr><tr><th>TSC CANADA</th><td>62055</td></tr></table>"
