id,catalog_number,add_descr
2851980,WP2,"Weatherproof Nylon Covers for 15A, 20A & 30A Devices - Glass-Filled Nylon Covers. UL Listed for wet locations (cover closed) & damp locations (cover open or closed). Meets 2008 NEC 406.8 (A) and 406.8 (B)(2). Rugged, glass-filled nylon provides high strength and wide temperature range for long life in abusive environments. Easy mounting on FS/FD boxes or equipment panels. Self-closing lift lid cover with neoprene gasket and stainless steel spring provides weatherproof protection. Universal mounting holes to accept all Cooper 15 & 20A and 30A locking flanged inlets and outlets, receptacles as well as devices with similar dimensions from other manufacturers."
2851974,WM115,Industrial Grade - Wire Mesh Grips. Neoprene gasket seals cord hole opening. Back wired for easy installation. All nylon construction reduces breakage and provides excellent chemical resistance. Automatic cord grip clamps the cord during assembly.
2851973,WLRS2,"Deluxe Weatherproof Covers for FS/FD Boxes - Diecast Aluminum Receptacle Covers. UL listed for wet locations (cover closed) and damp locations (cover open or closed). Meets 2008 NEC 406.8 (A) and 406.8 (B)(2). Diecast copper free aluminum with epoxy finish provides maximum corrosion resistance. Self-closing spring door assures full protection. EPDM gasketing material on WLRD1 and WLRS1 provide excellent resistance to ozone, weathering and temperatures from -46º C to 127ºC (-50ºF to 260ºF). Single Receptacle WLRS1 (1.38"" (34.9mm) face diameter) WLRS2 (1.56"" (39.7mm) face diameter) Duplex Receptacle WLRD1 Adapter, flush mounts above covers to standard boxes WLRA1."
2851971,WLRD1,"Deluxe Weatherproof Covers for FS/FD Boxes - Diecast Aluminum Receptacle Covers. UL listed for wet locations (cover closed) and damp locations (cover open or closed). Meets 2008 NEC 406.8 (A) and 406.8 (B)(2). Diecast copper free aluminum with epoxy finish provides maximum corrosion resistance. Self-closing spring door assures full protection. EPDM gasketing material on WLRD1 and WLRS1 provide excellent resistance to ozone, weathering and temperatures from -46º C to 127ºC (-50ºF to 260ºF). Single Receptacle WLRS1 (1.38"" (34.9mm) face diameter) WLRS2 (1.56"" (39.7mm) face diameter) Duplex Receptacle WLRD1 Adapter, flush mounts above covers to standard boxes WLRA1."
2851972,WLRS1,"Deluxe Weatherproof Covers for FS/FD Boxes - Diecast Aluminum Receptacle Covers. UL listed for wet locations (cover closed) and damp locations (cover open or closed). Meets 2008 NEC 406.8 (A) and 406.8 (B)(2). Diecast copper free aluminum with epoxy finish provides maximum corrosion resistance. Self-closing spring door assures full protection. EPDM gasketing material on WLRD1 and WLRS1 provide excellent resistance to ozone, weathering and temperatures from -46º C to 127ºC (-50ºF to 260ºF). Single Receptacle WLRS1 (1.38"" (34.9mm) face diameter) WLRS2 (1.56"" (39.7mm) face diameter) Duplex Receptacle WLRD1 Adapter, flush mounts above covers to standard boxes WLRA1."
2851956,WIU-1D,"WeatherBox 1-Gang Covers Exclusive patented design protects against rain, snow and ice. Rugged UV Resistant Polycarbonate cover and back protects devices without cracking or breaking and is non-corrosive and nonconductive. Moveable hinges reposition easily for vertical or horizontal mounting. Includes 3 inserts for 16 different configurations. Exceeds UL outdoor low voltage landscape lighting requirements. Box cover includes pre-mounted gasket. Meets 1999 NEC Article 210-60 (b). Meets 2005 NEC Article 406.8 (B) (1). Meets Canadian Electrical Code rule 26-702."
2851957,WIU-1DW,"WeatherBox 1-Gang Covers Exclusive patented design protects against rain, snow and ice. Rugged UV Resistant Polycarbonate cover and back protects devices without cracking or breaking and is non-corrosive and nonconductive. Moveable hinges reposition easily for vertical or horizontal mounting. Includes 3 inserts for 16 different configurations. Exceeds UL outdoor low voltage landscape lighting requirements. Box cover includes pre-mounted gasket. Meets 1999 NEC Article 210-60 (b). Meets 2005 NEC Article 406.8 (B) (1). Meets Canadian Electrical Code rule 26-702."
2851944,WD3099,"Portable Outlet Boxes. Engineered of non-metallic, non-conductive Alcryn to provide protection against electric shock. Large internal cubic volume for ease of wiring. Provides durable, long service life and protects receptacles when not in use. Integrated strain relief ­ won’t loosen or pull out over time due to vibration (standard depth box only). Alcryn is a registered trademark of Advanced Polymer Alloys, a subsidiary of Ferro Corporation."
2851934,WD3090F,"Portable Outlet Boxes. Engineered of non-metallic, non-conductive Alcryn to provide protection against electric shock. Large internal cubic volume for ease of wiring. Provides durable, long service life and protects receptacles when not in use. Integrated strain relief ­ won’t loosen or pull out over time due to vibration (standard depth box only). Alcryn is a registered trademark of Advanced Polymer Alloys, a subsidiary of Ferro Corporation."
2851922,WD3059,"Portable Outlet Boxes. Engineered of non-metallic, non-conductive Alcryn to provide protection against electric shock. Large internal cubic volume for ease of wiring. Provides durable, long service life and protects receptacles when not in use. Integrated strain relief ­ won’t loosen or pull out over time due to vibration (standard depth box only). Alcryn is a registered trademark of Advanced Polymer Alloys, a subsidiary of Ferro Corporation."
