id,catalog_number,attributes
2851980,WP2,"Catalog Number:WP1, WP2"
2851974,WM115,"Catalog Number:WM115, WM116|Cord Diameter:WM115 0.30""-0.50"" (7.6mm-12.7mm) WM116 0.50""-0.62"" (12.7mm-15.7mm)"
2851973,WLRS2,"Catalog Number:WLRD1, WLRS1, WLRS2, WLRA1"
2851971,WLRD1,"Catalog Number:WLRD1, WLRS1, WLRS2, WLRA1"
2851972,WLRS1,"Catalog Number:WLRD1, WLRS1, WLRS2, WLRA1"
2851965,WIU-2WX,"Catalog Number:WIU-2X (Gray), WIU-2WX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851964,WIU-2W,"Catalog Number:WIU-2X (Gray), WIU-2WX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851966,WIU-2X,"Catalog Number:WIU-2X (Gray), WIU-2WX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851962,WIU-1WVX,"Catalog Number:WIU-1HX (Gray), WIU-1WHX (White), WIU-1VX (Gray), WIU-1WVX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851960,WIU-1W,"Catalog Number:WIU-1HX (Gray), WIU-1WHX (White), WIU-1VX (Gray), WIU-1WVX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851959,WIU-1VX,"Catalog Number:WIU-1HX (Gray), WIU-1WHX (White), WIU-1VX (Gray), WIU-1WVX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851956,WIU-1D,"Catalog Number:WIU-1, WIU-1W, WIU-1D, WIU-1DW|NEC Code:Meets 1999 NEC Article 210-60 (b). Meets 2005 NEC Article 406.8 (B)|Canadian Electrical Code:Meets Canadian Electrical Code rule 26-702.|Product Colors:Gray Back Standard. For ordering, include Cat No. followed by the color code: W (White)."
2851961,WIU-1WHX,"Catalog Number:WIU-1HX (Gray), WIU-1WHX (White), WIU-1VX (Gray), WIU-1WVX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851958,WIU-1HX,"Catalog Number:WIU-1HX (Gray), WIU-1WHX (White), WIU-1VX (Gray), WIU-1WVX (White)|NEC Code:Meets NEC 2014 406.9 (B)(1) extra duty requirement for any application"
2851957,WIU-1DW,"Catalog Number:WIU-1, WIU-1W, WIU-1D, WIU-1DW|NEC Code:Meets 1999 NEC Article 210-60 (b). Meets 2005 NEC Article 406.8 (B)|Canadian Electrical Code:Meets Canadian Electrical Code rule 26-702.|Product Colors:Gray Back Standard. For ordering, include Cat No. followed by the color code: W (White)."
2851944,WD3099,"Catalog Number:WD3059 (Standard Depth), WD3099 (Extra Depth), WD3090F (Extra Depth Feed-Through)|Color:Yellow |Material:Valox Alcryn for WD3059, Santoprene for WD3099 and WD3090F"
2851934,WD3090F,"Catalog Number:WD3059 (Standard Depth), WD3099 (Extra Depth), WD3090F (Extra Depth Feed-Through)|Color:Yellow |Material:Valox Alcryn for WD3059, Santoprene for WD3099 and WD3090F"
2851922,WD3059,"Catalog Number:WD3059 (Standard Depth), WD3099 (Extra Depth), WD3090F (Extra Depth Feed-Through)|Color:Yellow |Material:Valox Alcryn for WD3059, Santoprene for WD3099 and WD3090F"
2851777,U1263,"Catalog Number:Flush Receptacle 1263 (Commercial Grade, Brown) Panel Mount Receptacle U1263 (Commercial Grade, Blac|Configuration:2-Pole, 3-Wire Grounding|Rating:30A-125V, NEMA TT-30R"
2851292,TI3101L,"Catalog Number:TI3101, TI3101L|Wiring Types:Single Pole & 3-Way|Load Types:Incandescent, Halogen|Wattage:1000W|Product Colors:For ordering, include Cat No. followed by the color code: A (Almond), B (Brown), BK (Black), LA (Light Almond), V (Ivory), W (White)."
2851284,TI061L,"Catalog Number:TI061, TI061L|Wiring Types:Single-Pole & 3-Way|Load Types:Incandescent, Halogen|Wattage:600W|Product Colors:For ordering, include Cat No. followed by the color code: A (Almond), B (Brown), BK (Black), LA (Light Almond), V (Ivory), W (White)."
2851268,TCI7170,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851269,TCI7200,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851265,TCI497,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851267,TCI6150,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851266,TCI5125,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851264,TCI373,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851263,TCI254,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851259,TC497,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851262,TCI143,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851261,TCI132,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851258,TC373,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851257,TC254,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851256,TC143,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851260,TCI124,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851254,TC124,"Catalog Number:TC___ (Non-Insulated), TCI___ (Insulated ), TC124, TC132, TC143, TC254, TC373, TC497, TCI124, TCI132, TCI143, TCI254, TCI373, TCI497, TCI5125, TCI6150, TCI7170, TCI7200"
2851247,STE8W,"Catalog Number:STC8W, STE8W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851245,STE7W,"Catalog Number:STC7W, STE7W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851243,STE26W,"Catalog Number:STC26W, STE26W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851241,STE1W,"Catalog Number:STC1W, STE1W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851239,STE14W,"Catalog Number:STC14W, STE14W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851237,STC8W,"Catalog Number:STC8W, STE8W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851235,STC7W,"Catalog Number:STC7W, STE7W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851231,STC1W,"Catalog Number:STC1W, STE1W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851229,STC14W,"Catalog Number:STC14W, STE14W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851233,STC26W,"Catalog Number:STC26W, STE26W|Product Colors:Colors may vary per product. For ordering, include Cat No. followed by the color code: W (White)."
2851214,SKTL35036,"Catalog Number:SKTL7521, SKTL10021, SKTL12524, SKTL15025, SKTL20027, SKTL25030, SKTL30033, SKTL35036"
