additional_description,description,ids,item_code,ordering_number
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td></tr></table>,Flexco 76538 RMC1-LSBPP BOLT-ON PAL PAK KIT,783421,76538,RMC1-LSBPP
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td></tr></table>,Flexco 75836 RMC1-LSPP LS PAL PAK,783405,75836,RMC1-LSPP
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td></tr></table>,Flexco 76415 RMC1-BPP BOLT-ON PAL PAK KIT,783409,76415,RMC1-BPP
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >5 ''</span> </td></tr></table>,Flexco 75834 RMC1-LS LS SKIRT CLAMP,783403,75834,RMC1-LS
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td></tr></table>,Flexco 75832 RMC1-PP PAL PAK KIT,783401,75832,RMC1-PP
<table> <tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >RMC1 Skirt Clamps</span> </td> </tr><tr> <td > <span >Clearance for Clamp Plate</span> </td> <td> <span >7 ''</span> </td></tr></table>,Flexco 75817 RMC1 SKIRT CLAMP,783397,75817,RMC1
<table> <tr> <td > <span >Belt Width</span> </td> <td> <span >72-84 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td> </tr><tr> <td > <span >Belt Speed</span> </td> <td> <span >1000 FPM</span> </td> </tr><tr> <td > <span >Reversing</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >72-84 ''</span> </td> </tr><tr> <td > <span >Blade Material</span> </td> <td> <span >UHMWPE</span> </td> </tr><tr> <td > <span >BladeDurometer</span> </td> <td> <span >67-D</span> </td> </tr><tr> <td > <span >Temperature Rating</span> </td> <td> <span >-40-160 Fahrenheit</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Compatible with Mechanical Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Compatible with Vulcanized Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td></tr></table>,Flexco 74695 RDP1-XL DIAGNL PLOW XL,783333,74695,RDP1-XL
<table> <tr> <td > <span >Belt Width</span> </td> <td> <span >36-42 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td> </tr><tr> <td > <span >Belt Speed</span> </td> <td> <span >1000 FPM</span> </td> </tr><tr> <td > <span >Reversing</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >36-42 ''</span> </td> </tr><tr> <td > <span >Blade Material</span> </td> <td> <span >UHMWPE</span> </td> </tr><tr> <td > <span >BladeDurometer</span> </td> <td> <span >67-D</span> </td> </tr><tr> <td > <span >Temperature Rating</span> </td> <td> <span >-40-160 Fahrenheit</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Compatible with Mechanical Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Compatible with Vulcanized Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td></tr></table>,Flexco 74693 RDP1-M DIAGONAL PLOW M,783331,74693,RDP1-M
<table> <tr> <td > <span >Belt Width</span> </td> <td> <span >48-60 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td> </tr><tr> <td > <span >Belt Speed</span> </td> <td> <span >1000 FPM</span> </td> </tr><tr> <td > <span >Reversing</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >48-60 ''</span> </td> </tr><tr> <td > <span >Blade Material</span> </td> <td> <span >UHMWPE</span> </td> </tr><tr> <td > <span >BladeDurometer</span> </td> <td> <span >67-D</span> </td> </tr><tr> <td > <span >Temperature Rating</span> </td> <td> <span >-40-160 Fahrenheit</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Compatible with Mechanical Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Compatible with Vulcanized Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td></tr></table>,Flexco 74694 RDP1-L DIAGONAL PLOW L,783332,74694,RDP1-L
<table> <tr> <td > <span >Belt Width</span> </td> <td> <span >18-30 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td> </tr><tr> <td > <span >Belt Speed</span> </td> <td> <span >1000 FPM</span> </td> </tr><tr> <td > <span >Reversing</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >18-30 ''</span> </td> </tr><tr> <td > <span >Blade Material</span> </td> <td> <span >UHMWPE</span> </td> </tr><tr> <td > <span >BladeDurometer</span> </td> <td> <span >67-D</span> </td> </tr><tr> <td > <span >Temperature Rating</span> </td> <td> <span >-40-160 Fahrenheit</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Compatible with Mechanical Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Compatible with Vulcanized Splice</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Diagonal Plow</span> </td></tr></table>,Flexco 74692 RDP1-S DIAGONAL PLOW S,783330,74692,RDP1-S
