id,catalog_number,add_descr
2886883,030-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886871,014-95,30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886895,060-95-WFS,Wall Mountable Cabinet with Fixed Shelf 
2886867,006-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886911,1022M-50,FM Approved Manual Closing Safety Cabinet 
2886927,1060SL-50,"FM Approved, 60 Gallon, Self closing doors, Flammable Storage Cabinet with Legs "
2886931,1090ML-50,"FM Approved, 90 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2886935,1104-95,"17""(432mm) Diameter Rotabin®"
2886863,002-95,6 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886903,1012MH-50,Flammable Safety Cabinet
2886879,026-95,"90 Drawer Cabinet Systems-with 11-1/4"" Deep Extra large capacity drawers"
2886979,2210A-LU-95,nan
2886975,2203-LU-95,nan
2886983,2211A-TH-LU-95,nan
2886987,2212A-LU-95,nan
2887007,2501-BDLP-102-3S-1795,16 Gauge Cabinets with Hook-On Bins and Shelves
2887003,2500-138B-5295,16 Gauge Cabinets with Hook-On Bins
2886875,022-95,96 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2887011,2501-BDLP-126-5295,16 Gauge Cabinets with Hook-On Bins
2887031,2502M-BLP-42-5295,Mobile Cabinet with Hook-On Bins 
2887035,2504-4S-95,nan
2887015,2501M-BLP-12-2S-95,Mobile Cabinet with Hook-On Bins and Shelves
2887023,2502-186-1795,16 Gauge Cabinets with Hook-On Bins
2887043,2603-156B-95,16 Gauge Cabinets with Hook-On Bins
2887039,2601-3S-95,nan
2887027,2502M-BLP-18-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves
2887067,304-95-5.75/LEG,Rack base is available for use with models 302-95 and 303-95.
2887075,3100-95,nan
2887107,3500-138B-95,nan
2887083,314-95,36 Opening Adjustable Parts Bin
2887099,3404-95,Stationary Workstation with 4 Drawers
2887115,3501584RDR-5295,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887123,3501-BDLP-132-95,nan
2887127,3501-DLP-60DR11-96-2S5295,36 Wide Small Parts Storage & Security Cabinet with 60 Jumbo Drawers & 96 Hook-On Bins%uFFFD
2887111,3501524RDR-1795,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887119,3501-BDLP-102-3S-5295,nan
2887135,3501-HDL-50,Spill Control Cabinet with Wardrobe/Broom Storage
2887139,3501M-BLP-30-1795,Mobile Cabinet with Hook-On Bins 
2887143,3502-138-3S-1795,nan
2887095,3400-95,nan
2887151,3502M-BLP-18-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves
2887155,3502M-BLP-42-5295,Mobile Cabinet with Hook-On Bins 
2887167,3600-95,14 Gauge Cabinet with
2887184,362-95,"Base for 032, 033, 035"
2887159,350-95,72 Opening Bin 
2887147,3502-186-5295,nan
2887171,3602-BLP-14-2S-5295,nan
2887176,3602-BLP-36-95,nan
2887200,3702-132-95,nan
2887196,3700-2S-95,14 Gauge Cabinet with
2887192,366-95,"Hinged door set with padlock attachment is available for models 329-95, 330-95, 356-95, and 359-95. They are shipped separately and attached using sheet metal screws or pop rivets. Padlock not provided"
2887163,356-95,nan
2887204,3702-4S-95,14 Gauge Cabinet with
2887208,3702CXC-30B-95,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887212,3703CXC-42B-1795,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887216,3704-4S-95,nan
2887220,3704CXC-54B-95,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887228,383-95,Single Rod Rack
2887244,3SLT-2436-1.2K-95,3 Sided Low Deck Stock Truck
2887256,3ST-EX3060-1AS-95,3 Sided Mesh Stock Truck
2887264,3ST-EX3672-1AS-95,3 Sided Mesh Stock Truck
2887272,400-75,20 Pocket 
2887268,400-08,20 Pocket 
2887252,3ST-EX3048-1AS-95,3 Sided Mesh Stock Truck
2887236,3953-4S-95,* Features space-saving bi-folding doors 
2887276,401-54,23 Pocket 
2887280,402-08,11 Pocket 
2887284,402-75,11 Pocket 
