id,catalog_number,add_descr,attributes
2886883,030-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:030-95|Weight:52 lbs. / 24 kgs.|Drawers:(18)  in: 4-7/8 x 11-1/4 x 3-1/2  mm: 124 x 286 x 89|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 3/4   mm: 298 |Height:in: 12 7/8   mm: 327 |Width:in: 33 3/4   mm: 857 
2886871,014-95,30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:014-95|Weight:70 lbs. / 32 kgs.|Drawers:(30)  in: 4-7/8 x 11-1/4 x 2-3/4  mm: 124 x 286 x 70|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 5/8   mm: 295 |Height:in: 17 3/4   mm: 365 |Width:in: 33 3/4   mm: 857 
2886895,060-95-WFS,Wall Mountable Cabinet with Fixed Shelf ,Model:060-95-WFS|Weight:33 lbs.|Shelves:1|Capacity:150 lbs.|Dimensions Overall:33-3/4 x 11-7/8 x 23-7/8|Colors:Durable gray powder coat paint
2886867,006-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:006-95|Weight:45 lbs. / 21 kgs.|Drawers:(18)  in: 4-7/8 x 11-1/4 x 2-3/4  mm: 124 x 286 x 70|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 5/8   mm: 295 |Height:in: 21 1/4   mm: 539 |Width:in: 17 1/4   mm: 438 
2886911,1022M-50,FM Approved Manual Closing Safety Cabinet ,Model:1022M-50|Weight:283 lbs. / 128 kgs.|Shelves:2|Capacity:22 Gallons / 83 Liters|Dimensions Overall:in: 23-5/16 x 18-1/8 x 65  mm:  592 x 461 x 1651|Colors:Safety Yellow
2886927,1060SL-50,"FM Approved, 60 Gallon, Self closing doors, Flammable Storage Cabinet with Legs ",Model:1060SL-50|Weight:566 lbs. / 257 kgs.|Shelves:2|Capacity:60 Gallons (227 Liters)|Dimensions Overall:in: 34 x 34 x 72-3/8  mm: 864 x 864 x 1838|Colors:Safety yellow powder coat finish
2886931,1090ML-50,"FM Approved, 90 Gallon, manual closing, Flammable Storage Cabinet with Legs ",Model:1090ML-50|Weight:620 lbs. / 281 kgs.|Shelves:2|Capacity:90 Gallons (340 Liters)|Dimensions Overall:in: 43 x 34 x 71   mm: 1092 x 864 x 1803|Colors:Safety yellow powder coat finish
2886935,1104-95,"17""(432mm) Diameter Rotabin®",Model:1104-95|Weight:23 lbs. / 11 kgs.|Shelves:4|Capacity:240 lbs. / 109 kgs.|Carton Pk:1|Material:All Welded Prime Cold Rolled Steel|Colors:Gray Powder Coated Finish is Rust and Acid Resistant|Height:in: 17-3/8   mm: 441
2886863,002-95,6 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:002-95|Weight:18 lbs. / 8 kgs.|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 5/8   mm: 295 |Height:in: 4   mm: 102|Width:in: 33 3/4   mm: 857 |Drawer Dimensions:in: 4-7/8 x 11-1/4 x 2-3/4  mm: 124 x 286 x 70
2886903,1012MH-50,Flammable Safety Cabinet,Model:1012MH-50|Weight:165 lbs. / 75 kgs.|Shelves:1|Capacity:12 Gallons|Dimensions Overall:in:   43-1/8 x 18-1/8 x 18-1/8  mm: 1095 x 461 x 461|Colors:Yellow
