id,catalog_number,add_descr
1358001,308FXE2-N-SC-40,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>N-View™ Monitoring Technology</li>
<li>8 Port Industrial Ethernet Switch
<ul><li>Six 10/100BaseTX RJ-45 Ports</li>
<li>Two 100BaseFX Singlemode 40km Fiber Ports with SC Connectors</li>
</ul></li>
<li>IEEE 802.3 Compliance</li>
<li>​​-40°C to 85°C Operating Temperature</li>
<li>Autosensing 10/100BaseTX, Duplex, and MDIX</li>
<li>Redundant Power Inputs (10-30VDC)</li>
<li>Rugged Industrial DIN-Rail Enclosure</li>
</ul></div></div></section>"
1357484,302MC-SC,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>Unmanaged Operation</li>
<li>Plug and Play Operation</li>
<li>2 Port Industrial Media Converter
<ul><li>One 10/100BaseTX RJ-45 Port</li>
<li>One 100BaseFX Multimode Fiber Port with SC Connectors</li>
</ul></li>
<li>Compact Size, Small Footprint</li>
<li>Full IEEE 802.3 Compliance</li>
<li>Extended Environmental Specifications
<ul><li>-40°C to 70°C Operating Temperature</li>
</ul></li>
<li>Rugged Steel DIN-Rail or Panel Mount Enclosure</li>
<li>RJ-45 Port Supports Full/Half Duplex Operation</li>
<li>RJ-45 Port Auto Senses Speed and Flow Control</li>
<li>MDIX Auto Cable Sensing (RJ-45)</li>
<li>Redundant Power Inputs (10-30VDC)</li>
</ul></div></div></section>"
864391,RPGBSI04,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><p>1"" bore sleeve</p>
</div></div></section>"
1357485,302MC-ST,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>Unmanaged Operation</li>
<li>Plug and Play Operation</li>
<li>2 Port Industrial Media Converter
<ul><li>One 10/100BaseTX RJ-45 Port</li>
<li>One 100BaseFX Multimode Fiber Port with ST Connectors</li>
</ul></li>
<li><span style=""line-height:1.6em"">Compact Size, Small</span><span style=""line-height:1.6em""> Footprint</span></li>
<li>Full IEEE 802.3 Compliance</li>
<li>Extended Environmental Specifications
<ul><li>-40°C to 70°C Operating Temperature</li>
</ul></li>
<li>Rugged Steel DIN-Rail or Panel Mount Enclosure</li>
<li>RJ-45 Port Supports Full/Half Duplex Operation</li>
<li>RJ-45 Port Auto Senses Speed and Flow Control</li>
<li>MDIX Auto Cable Sensing (RJ-45)</li>
<li>Redundant Power Inputs (10-30VDC)</li>
</ul></div></div></section>"
1358413,716FXE2-ST-80,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>16 Port Managed Industrial Ethernet Switch
<ul><li>Fourteen 10/100BaseTX RJ-45 Ports</li>
<li>Two 100BaseFX Singlemode 80km Fiber Ports with ST Connectors</li>
</ul></li>
<li>-40°C to 70°C Operating Temperature</li>
<li>ESD and Surge Protection on all Built-in Ports</li>
<li>Auto Sensing 10/100BaseTX, Duplex, and MDIX</li>
<li>Store-and-forward Technology</li>
<li>Redundant Power Inputs (10-30 VDC)</li>
<li>8000 MAC Addresses</li>
<li>Configurable Alarm Contact</li>
<li>Configurable Bi-Color Fault Status LED</li>
<li>Rugged Industrial DIN-Rail Enclosure</li>
<li>Fully Managed Features:
<ul><li>SNMP v1, v2, v3 and Web Browser Management</li>
<li>N-Ring™ Technology with ~30ms Healing</li>
<li>N-Link™ Redundant Ring Technology</li>
<li>N-View™ Monitoring Technology</li>
<li>EtherNet/IP™ CIP Messaging</li>
<li>Web configuration</li>
<li>IGMP Auto Configuration</li>
<li>802.1Q tag VLAN and Port VLAN</li>
<li>802.1p QoS and Port QoS</li>
<li>Port Trunking</li>
<li>Port Mirroring</li>
<li>802.1d, 802.1w, 802.1D RSTP</li>
<li>DHCP Server with Option 82 Relay, Option 61, and IP Fallback</li>
<li>Local Port IP Addressing</li>
<li>802.1AB-2005 LLDP (Link Layer Discovery Protocol)</li>
<li>Port Security - MAC Address Based Filtering</li>
</ul></li>
</ul></div></div></section>"
1357614,308TX-N,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>N-View™ Monitoring Technology</li>
<li>8 Port Industrial Ethernet Switch
<ul><li>Eight 10/100BaseTX RJ-45 Ports</li>
</ul></li>
<li>IEEE 802.3 Compliance</li>
<li>​-40°C to 70°C Operating Temperature</li>
<li>Autosensing 10/100BaseTX, Duplex, and MDIX</li>
<li>Redundant Power Inputs (10-30VDC)</li>
<li>Rugged Industrial DIN-Rail Enclosure</li>
</ul></div></div></section>"
286323,ARCJ1AZ0,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>Adapter with Hess Sensor 56C Ring Kit</li>
<li>Easily Installs to NEMA Type ""C"" Face Motor Frames</li>
<li>Magnetic Pickup Versions for High Speed Applications</li>
<li>Magneto Resistive Sensor Versions for Zero or Low Speed Applications</li>
<li>Cast Aluminum Ring with .5"" NPT Conduit Junction Box</li>
</ul></div></div></section>"
1358392,710FXE2-ST-80,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>10 Port Managed Industrial Ethernet Switch
<ul><li>Eight 10/100BaseTX RJ-45 Ports</li>
<li>Two 100BaseFX Singlemode 80km Fiber Ports with ST Connectors</li>
</ul></li>
<li>-40°C to 70°C Operating Temperature</li>
<li>ESD and Surge Protection on all Built-in Ports</li>
<li>Auto Sensing 10/100BaseTX, Duplex, and MDIX</li>
<li>Store-and-forward Technology</li>
<li>Redundant Power Inputs (10-49 VDC)</li>
<li>8000 MAC Addresses</li>
<li>Configurable Alarm Contact</li>
<li>Configurable Bi-Color Fault Status LED</li>
<li>Rugged Industrial DIN-Rail Enclosure</li>
<li>Fully Managed Features:
<ul><li>SNMP v1, v2, v3 and Web Browser Management</li>
<li>N-Ring™ Technology with ~30ms Healing</li>
<li>N-Link™ Redundant Ring Technology</li>
<li>N-View™ Monitoring Technology</li>
<li>EtherNet/IP™ CIP Messaging</li>
<li>Web configuration</li>
<li>IGMP Auto Configuration</li>
<li>802.1Q tag VLAN and Port VLAN</li>
<li>802.1p QoS and Port QoS</li>
<li>Port Trunking</li>
<li>Port Mirroring</li>
<li>802.1d, 802.1w, 802.1D RSTP</li>
<li>DHCP Server with Option 82 Relay, Option 61, and IP Fallback</li>
<li>Local Port IP Addressing</li>
<li>802.1AB-2005 LLDP (Link Layer Discovery Protocol)</li>
<li>Port Security - MAC Address Based Filtering</li>
</ul></li>
</ul></div></div></section>"
1358376,526FXE2-N-ST-40,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>26 Port Industrial Ethernet Switch
<ul><li>Twenty-Four 10/100 BaseTX RJ-45 Ports</li>
<li>Two 100BaseFX Singlemode 40km Fiber Ports with ST Connectors</li>
</ul></li>
<li>IEEE 802.3 Compliance</li>
<li>-40° to 85° C Operating Temperature</li>
<li>Autosensing 10/100BaseTX, Duplex, and MDIX</li>
<li>ESD and Surge Protection on all Built-in Ports</li>
<li>Up to 2.6 Gb/s Backplane</li>
<li>Redundant Power Inputs (10-30 VDC)</li>
<li>Bi-Color LED's For Link, Speed, Activity &amp; Duplex Status</li>
<li>Rugged Industrial Rackmount Enclosure</li>
<li>N-View™ Remote Monitoring Technology</li>
</ul></div></div></section>"
1358076,SLX-8MS-5ST,"<section class=""field field-name-field-specifications field-type-text-with-summary field-label-above view-mode-full""><h2 class=""field-label"">Specifications: </h2><div class=""field-items""><div class=""field-item even""><ul><li>8 Port Managed Industrial Ethernet Switch
<ul><li>Six 10/100BaseTX RJ-45 Ports</li>
<li>Two 100BaseFX Singlemode 20km Fiber Ports with ST Connectors</li>
</ul></li>
<li>-40° to 75°C  Operating Temperature (cold startup at -40°C)</li>
<li>Auto Sensing 10/100BaseTX, Duplex and MDIX</li>
<li>Store-and-forward Technology</li>
<li>Redundant Power Inputs (10-30 VDC)</li>
<li>2048 MAC Addresses</li>
<li>Configurable Alarm Contact</li>
<li>Rugged Industrial DIN-Rail Enclosure </li>
<li>Standards: IEEE 802.3, 802.3u, 802.3x, 802.1D/w, 802.1p, 802.1Q</li>
<li>Managed Features:
<ul><li>SNMPv1/v2/v3</li>
<li>RMON</li>
<li>DHCP Server</li>
<li>SNTP</li>
<li>TFTP</li>
<li>STP</li>
<li>RSTP</li>
<li>QoS/CoS/ToS/DS</li>
<li>IGMPv1/v2</li>
<li>VLAN (tag and port based)</li>
<li>HTTP/ HTTPS (SSL and TLS)</li>
<li>Telnet</li>
<li>SSH</li>
<li>Modbus/TCP</li>
<li>CLI Interface</li>
</ul></li>
</ul></div></div></section>"
