id,catalog_number,attributes
2072790,77166,Base Code:7716|Color:Yellow|Length:15.6 in.|Width:4.7 in.|Height:3.1 in.|Weight:0.6 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072794,29583,Base Code:2958|Thread:Hygienic (Euro)|Color:Blue|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072766,69602,Base Code:6960|Color:Green|Length:0.2 in.|Width:8.3 in.|Height:5.2 in.|Weight:0.29 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco
2072806,29589,Base Code:2958|Thread:Hygienic (Euro)|Color:Black|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072846,56886,Base Code:5688|Capacity1.5 Gallons|Color:Yellow|Length:10 in.|Width:9.6 in.|Height:7.1 in.|Weight:1.2 lbs.|Material:Polypropylene|Additional Material: Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072770,65002,Base Code:6500|Capacity82 oz.|Color:Green|Length:15.1 in.|Width:5.9 in.|Height:3.3 in.|Weight:0.65 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco
2072802,29585,Base Code:2958|Thread:Hygienic (Euro)|Color:White|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072830,45891,Base Code:4589|Color:Pink|Length:13.00 in.|Width:1.30 in.|Height:3.30 in.|Weight:0.37 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072754,65004,Base Code:6500|Capacity82 oz.|Color:Red|Length:15.1 in.|Width:5.9 in.|Height:3.3 in.|Weight:0.65 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco
2072838,77541,Base Code:7754|Color:Pink|Length:23.6 in.|Width:3.7 in.|Height:4.3 in.|Weight:0.75 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072834,70601,Base Code:7060|Color:Pink|Length:11.8 in.|Width:2.8 in.|Height:4.5 in.|Weight:1.32 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072818,10161,Base Code:1016|Color:Pink|Length:3 in.|Width:0.8 in.|Height:2.4 in.|Weight:0.14 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072914,71257,"Base Code:7125|Color:Orange|Length:9.4 in.|Width:3.5 in.|Height:3.4 in.|Weight:0.45 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan"
2072850,56892,Base Code:5689|Color:Green|Length:11.3 in.|Width:9.75 in.|Height:0.5 in.|Weight:0.26 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072874,29388,Base Code:2938|Thread:Hygienic (Euro)|Color:Purple|Length:59.2 in.|Width:1.25 in.|Weight:1.16 lbs.|Material:Fiberglass|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
2072862,53916,Base Code:5391|Color:Yellow|Length:7.70 in.|Width:3.50 in.|Height:3.50 in.|Weight:0.15 lbs.|Bristle Material:Polyester|Bristle StiffnessMedium|Bristle Length3.94 in.|Material:Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan
