attributes,main_image,id,additional_description,catalog_number
Base Code:7716|Color:Yellow|Length:15.6 in.|Width:4.7 in.|Height:3.1 in.|Weight:0.6 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72790/77166_1.jpg,2072790,"<p><br>Squeegee with drain holes for effective removal of condensation from ceilings and pipes. Collection of condensation prevents moisture from dripping into food product or on costly machinery.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>SEBS Polymer</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.7</td>\n																\n															</tr>\n                        \n														</table>",77166
Base Code:2958|Thread:Hygienic (Euro)|Color:Blue|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72794/29583_1.jpg,2072794,"<p><br>This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>49.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Handle Diameter (inches):</th>\n                              <td>0.98</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.53</td>\n																\n															</tr>\n                        \n														</table>",29583
Base Code:6960|Color:Green|Length:0.2 in.|Width:8.3 in.|Height:5.2 in.|Weight:0.29 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72766/69602_1.jpg,2072766,"<p><br>This color-coded bench scraper is an excellent solution to your bench top scraping needs. It has no seams or cracks, which helps prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>8.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>5.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.3</td>\n																\n															</tr>\n                        \n														</table>",69602
Base Code:2958|Thread:Hygienic (Euro)|Color:Black|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72806/29589_1.jpg,2072806,"<p><br>This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>49.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Handle Diameter (inches):</th>\n                              <td>0.98</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.53</td>\n																\n															</tr>\n                        \n														</table>",29589
Base Code:5688|Capacity1.5 Gallons|Color:Yellow|Length:10 in.|Width:9.6 in.|Height:7.1 in.|Weight:1.2 lbs.|Material:Polypropylene|Additional Material: Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72846/56886_1.jpg,2072846,"<p><br>This is a durable 1.5 gallon pail that is suitable for cleaning or storage of ingredients and food stuff and is calibrated for a variety of measuring units. The pail has a wide drip-free spout, sturdy stainless steel hanger, hand grip at the bottom that is raised</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.69</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.12</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>10.04</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",56886
Base Code:6500|Capacity82 oz.|Color:Green|Length:15.1 in.|Width:5.9 in.|Height:3.3 in.|Weight:0.65 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72770/65002_1.jpg,2072770,"<p><br>This fully color-coded large scoop is great for handling bulk materials. Its solid construction makes it extremely durable. It has no seams or cracks to help prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",65002
Base Code:2958|Thread:Hygienic (Euro)|Color:White|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72802/29585_1.jpg,2072802,"<p><br>This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>49.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Handle Diameter (inches):</th>\n                              <td>0.98</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.53</td>\n																\n															</tr>\n                        \n														</table>",29585
Base Code:4589|Color:Pink|Length:13.00 in.|Width:1.30 in.|Height:3.30 in.|Weight:0.37 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72830/45891_1.jpg,2072830,"<p><br>This is a dusting brush with a smooth, ergonomically designed handle. The medium strength bristles remove moist or medium sized particles, such as sugar, chocolate, pastry, vegetable peelings. It is also used as a dustpan brush on floors.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>1.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>14</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>2.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Length (inches):</th>\n                              <td>2</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Type:</th>\n                              <td>Medium</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.4</td>\n																\n															</tr>\n                        \n														</table>",45891
Base Code:6500|Capacity82 oz.|Color:Red|Length:15.1 in.|Width:5.9 in.|Height:3.3 in.|Weight:0.65 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72754/65004_1.jpg,2072754,"<p><br>This fully color-coded large scoop is great for handling bulk materials. Its solid construction makes it extremely durable. It has no seams or cracks to help prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",65004
Base Code:7754|Color:Pink|Length:23.6 in.|Width:3.7 in.|Height:4.3 in.|Weight:0.75 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72838/77541_1.jpg,2072838,"<p><br>The neoprene rubber blades on this squeegee make it the most effective squeegee in the Vikan range. It is excellent on all types of floors, as the soft rubber reaches into and cleans all spaces on the floor, such as grouting between tiles. The cartridge system blades can be removed for easy cleaning and replaced when worn out, making the model a very economical option. Replacement squeegee blades 77745 or 77749. May be used with any European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>23.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Foam Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",77541
