id,catalog_number,cad
1080395,XUAH0515,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_XUAH0515.pdf
1052731,9421LG8,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9421LG8.pdf
5229102,M9XCEC10,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_M9XCEC10.pdf
1399264,NSYTBP241910,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTBP241910.pdf
5220257,NSYCCOHYT230VID,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYCCOHYT230VID.pdf
1077539,XAPG49504,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_XAPG49504.pdf
1080412,XUB0ANSNL2,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_XUB0ANSNL2.pdf
1062459,HU368,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_HU368.pdf
1060963,H82345,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_H82345.pdf
1057877,EZM1800FS,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_EZM1800FS.pdf
5220429,NSYTVR20,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTVR20.pdf
1076411,VC2GUN,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_VC2GUN.pdf
5220408,NSYTRV22MBL,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTRV22MBL.pdf
5218709,EZM31200FSNFBTR,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_EZM31200FSNFBTR.pdf
5220379,NSYTRP22TB,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTRP22TB.pdf
5220444,NSY2SP165,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSY2SP165.pdf
1047921,9001SKS42BH2,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9001SKS42BH2.pdf
1052533,9080GKY6,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9080GKY6.pdf
1051934,9070T300D20,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9070T300D20.pdf
5226787,NSYSM1812502DP,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYSM1812502DP.pdf
1051772,9070T150D19,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9070T150D19.pdf
5227020,VLS1P100D2S,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_VLS1P100D2S.pdf
1072307,RC2040M200C,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_RC2040M200C.pdf
5228425,NSYTRR43,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTRR43.pdf
1062379,HU363AWA,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_HU363AWA.pdf
1062371,HU362WA,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_HU362WA.pdf
1399658,DF81,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_DF81.pdf
1069163,P1200R,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_P1200R.pdf
1060215,GJL36075M06,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_GJL36075M06.pdf
1052487,9080GH172,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9080GH172.pdf
5220420,NSYTRV44DBL,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTRV44DBL.pdf
1067790,MPR43200,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_MPR43200.pdf
5220436,NSY2SP125,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSY2SP125.pdf
1068968,NSYMM86,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYMM86.pdf
5219432,LC1F2254G7,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_LC1F2254G7.pdf
1047400,9001SK72J1R,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9001SK72J1R.pdf
5220263,NSYCRN86300P,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYCRN86300P.pdf
5220386,NSYTRP42TB,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_NSYTRP42TB.pdf
1045478,9001KR4YH5,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9001KR4YH5.pdf
1073433,S33576MK,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_S33576MK.pdf
1052292,9070TF300D2,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_9070TF300D2.pdf
1070878,QO148L125GS,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_QO148L125GS.pdf
1070877,QO148L125GRB,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_QO148L125GRB.pdf
5227985,EX225T3HCU,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_EX225T3HCU.pdf
5227027,VLS1P125D2E,https://mro-host.herokuapp.com/file_download/?name=schneiderpdf_VLS1P125D2E.pdf
