id,catalog_number,abutment_and_fillet_dimensions
5059037,5202K,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:18.290 mm 0.720 in|Da - Outer Ring Backing Diameter:29.600 mm 1.165 in"
5058981,2MM9110WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:56.100 mm 2.210 in|Da - Outer Ring Backing Diameter:74.200 mm 2.920 in"
5058987,2MM215WI,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:85.200 mm 3.360 in|Da - Outer Ring Backing Diameter:120.800 mm 4.760 in"
5059043,5204K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:26.035 mm 1.025 in|Da - Outer Ring Backing Diameter:42.901 mm 1.689 in"
5059102,311K,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:65.000 mm 2.560 in|Da - Outer Ring Backing Diameter:110.000 mm 4.330 in"
5059108,7315WN,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:106.440 mm 4.1905 in|Da - Outer Ring Backing Diameter:129.740 mm 5.108 in"
5059263,5206W,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:35.687 mm 1.405 in|Da - Outer Ring Backing Diameter:57.099 mm 2.248 in"
5059269,5208K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:46.610 mm 1.835 in|Da - Outer Ring Backing Diameter:71.760 mm 2.825 in"
5059266,5207K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:41.275 mm 1.625 in|Da - Outer Ring Backing Diameter:63.881 mm 2.515 in"
5059038,5203K,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:21.539 mm 0.848 in|Da - Outer Ring Backing Diameter:37.160 mm 1.463 in"
5059113,7317WN,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.118 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.118 in|da - Inner Ring Backing Diameter:99.100 mm 3.900 in|Da - Outer Ring Backing Diameter:166.100 mm 6.540 in"
5059111,7316WN,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.083 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.083 in|da - Inner Ring Backing Diameter:91.900 mm 3.620 in|Da - Outer Ring Backing Diameter:158.000 mm 6.220 in"
5059162,MM9113K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:72.100 mm 2.840 in|Da - Outer Ring Backing Diameter:93.200 mm 3.670 in"
5059267,5207W,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:41.275 mm 1.625 in|Da - Outer Ring Backing Diameter:66.192 mm 2.606 in"
