id,catalog_number,basic_load_ratings
5059037,5202K,C0 - Static Radial Rating:7100 N 1600 lbf|Ce - Dynamic Radial Rating:13500 N 3050 lbf
5058981,2MM9110WI,C0 - Static Radial Rating:20800 N 4670 lbf|Ce - Dynamic Radial Rating:27900 N 6270 lbf
5058987,2MM215WI,C0 - Static Radial Rating:64900 N 14600 lbf|Ce - Dynamic Radial Rating:87900 N 19800 lbf
5059043,5204K,C0 - Static Radial Rating:12600 N 2850 lbf|Ce - Dynamic Radial Rating:22600 N 5100 lbf
5059102,311K,Ce - Dynamic Radial Rating:81200 N 18300 lbf|C0 - Static Radial Rating:44400 N 10000 lbf
5059108,7315WN,C0 - Static Radial Rating:98000 N 22000 lbf|Ce - Dynamic Radial Rating:142000 N 32000 lbf
5059263,5206W,C0 - Static Radial Rating:27000 N 6100 lbf|Ce - Dynamic Radial Rating:39000 N 8800 lbf
5059269,5208K,C0 - Static Radial Rating:33900 N 7650 lbf|Ce - Dynamic Radial Rating:51500 N 11600 lbf
5059266,5207K,C0 - Static Radial Rating:29000 N 6550 lbf|Ce - Dynamic Radial Rating:45000 N 10200 lbf
5059038,5203K,C0 - Static Radial Rating:9200 N 2080 lbf|Ce - Dynamic Radial Rating:16800 N 3800 lbf
5059113,7317WN,C0 - Static Radial Rating:122000 N 27500 lbf|Ce - Dynamic Radial Rating:166000 N 37500 lbf
5059111,7316WN,C0 - Static Radial Rating:108000 N 24500 lbf|Ce - Dynamic Radial Rating:153000 N 34500 lbf
5059162,MM9113K,Ce - Dynamic Radial Rating:33900 N 7610 lbf|C0 - Static Radial Rating:25200 N 5650 lbf
5059267,5207W,C0 - Static Radial Rating:36800 N 8300 lbf|Ce - Dynamic Radial Rating:51500 N 11600 lbf
5059272,5209K,C0 - Static Radial Rating:39000 N 8800 lbf|Ce - Dynamic Radial Rating:57000 N 12900 lbf
5059270,5208W,C0 - Static Radial Rating:47000 N 10600 lbf|Ce - Dynamic Radial Rating:62000 N 14000 lbf
5059261,5206K,C0 - Static Radial Rating:21700 N 4900 lbf|Ce - Dynamic Radial Rating:34600 N 7800 lbf
5059347,2MM201WI,C0 - Static Radial Rating:3830 N 860 lbf|Ce - Dynamic Radial Rating:8760 N 1970 lbf
5059483,5209W,C0 - Static Radial Rating:51500 N 11600 lbf|Ce - Dynamic Radial Rating:64800 N 14600 lbf
5059046,5205K,C0 - Static Radial Rating:15100 N 3400 lbf|Ce - Dynamic Radial Rating:24800 N 5600 lbf
5059335,7320WN MBR,C0 - Static Radial Rating:177000 N 40000 lbf|Ce - Dynamic Radial Rating:217000 N 49000 lbf
5059319,311W,Ce - Dynamic Radial Rating:106000 N 24000 lbf|C0 - Static Radial Rating:66000 N 15000 lbf
5059322,312K,Ce - Dynamic Radial Rating:92300 N 20800 lbf|C0 - Static Radial Rating:51500 N 11600 lbf
5059630,29468EM,Static Load Rating:22030 kN 4953000 lbf|Dynamic Load Rating:5920 kN 1331000 lbf|Thermal Speed Rating:490 rpm
5059332,7318WN,C0 - Static Radial Rating:135000 N 30500 lbf|Ce - Dynamic Radial Rating:177000 N 40000 lbf
5059647,G1210KRRB,Static Load Rating:9650 lbf 43000 N|Dynamic Load Rating:15600 lbf 69500 N
5059662,1107KRRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059345,2MM200WI,C0 - Static Radial Rating:2900 N 660 lbf|Ce - Dynamic Radial Rating:7100 N 1600 lbf
5059665,G1107KLLB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059501,2MM216WI,C0 - Static Radial Rating:77000 N 17300 lbf|Ce - Dynamic Radial Rating:102900 N 23100 lbf
5059648,G1211KRRB,Static Load Rating:9650 lbf 43000 N|Dynamic Load Rating:15600 lbf 69500 N
5059641,G1204KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059677,RAE25RRB,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
5059663,1107KRS,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059684,GRA115RRB2,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5059668,G1107KRRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059713,G1114KRRB,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5059666,G1107KPPB2,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059703,G1106KPPB2,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059682,GN106KRRB,Static Load Rating:4500 lbf 20000 N|Dynamic Load Rating:9100 lbf 40500 N
5059698,G1100KPPB3,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
5059700,G1100KRRB,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
5059702,1106KRRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059762,RA010RRB,Static Load Rating:1060 lbf 4700 N|Dynamic Load Rating:2360 lbf 10600 N
5059739,G1206KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059705,GN207KLLB,Static Load Rating:10800 lbf 48000 N|Dynamic Load Rating:20400 lbf 90000 N
5059732,G1112KPPB4,Static Load Rating:4600 lbf 20500 N|Dynamic Load Rating:8160 lbf 36300 N
5059769,GRA106RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059727,G1106KRRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059721,G1014KRRB,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
5059719,1112KRRB,Static Load Rating:4600 lbf 20500 N|Dynamic Load Rating:8160 lbf 36300 N
