id,catalog_number,factors
5058981,2MM9110WI,Limiting Speed (Grease):16300 rpm|Limiting Speed (Oil):32600 rpm
5058987,2MM215WI,Limiting Speed (Grease):10800 rpm|Limiting Speed (Oil):21600 rpm
5059102,311K,Limiting Speed (Grease):3430 rpm|Limiting Speed (Oil):4000 rpm
5059113,7317WN,Limiting Speed (Grease):2640 rpm|Limiting Speed (Oil):3020 rpm
5059111,7316WN,Limiting Speed (Grease):2800 rpm|Limiting Speed (Oil):3200 rpm
5059162,MM9113K,Limiting Speed (Grease):11600 rpm|Limiting Speed (Oil):23200 rpm
5059347,2MM201WI,Limiting Speed (Grease):56700 rpm|Limiting Speed (Oil):113400 rpm
5059319,311W,Limiting Speed (Grease):2860 rpm|Limiting Speed (Oil):3430 rpm
5059322,312K,Limiting Speed (Grease):3160 rpm|Limiting Speed (Oil):3680 rpm
5059332,7318WN,Limiting Speed (Grease):2500 rpm|Limiting Speed (Oil):2860 rpm
5059345,2MM200WI,Limiting Speed (Grease):62800 rpm|Limiting Speed (Oil):125600 rpm
5059501,2MM216WI,Limiting Speed (Grease):10100 rpm|Limiting Speed (Oil):20200 rpm
5060008,2MM9112WI,Limiting Speed (Grease):13600 rpm|Limiting Speed (Oil):27200 rpm
5060041,MM9108K,Limiting Speed (Grease):18200 rpm|Limiting Speed (Oil):36400 rpm
5060045,MM204K,Limiting Speed (Grease):32800 rpm|Limiting Speed (Oil):65600 rpm
5060044,MM203K,Limiting Speed (Grease):38500 rpm|Limiting Speed (Oil):77000 rpm
5060022,2MM206WI,Limiting Speed (Grease):25100 rpm|Limiting Speed (Oil):50200 rpm
5060111,312W,Limiting Speed (Grease):2630 rpm|Limiting Speed (Oil):3160 rpm
5060114,313K,Limiting Speed (Grease):2930 rpm|Limiting Speed (Oil):3410 rpm
5060506,2MM9118WI,Limiting Speed (Grease):9200 rpm|Limiting Speed (Oil):18400 rpm
5060490,2MM207WI,Limiting Speed (Grease):21600 rpm|Limiting Speed (Oil):43200 rpm
5060514,2MM9120WI,Limiting Speed (Grease):8300 rpm|Limiting Speed (Oil):16600 rpm
5060649,2MM9117WI,Limiting Speed (Grease):9700 rpm|Limiting Speed (Oil):19400 rpm
5060611,MM9122K,Limiting Speed (Grease):6840 rpm|Limiting Speed (Oil):13680 rpm
5060744,2MM9100WI,Limiting Speed (Grease):68500 rpm|Limiting Speed (Oil):137000 rpm
5060588,2MM9107WI,Limiting Speed (Grease):22600 rpm|Limiting Speed (Oil):45200 rpm
5060747,2MM202WI,Limiting Speed (Grease):47800 rpm|Limiting Speed (Oil):95600 rpm
5060832,2MM203WI,Limiting Speed (Grease):41900 rpm|Limiting Speed (Oil):83800 rpm
5060795,2MM9109WI,Limiting Speed (Grease):17900 rpm|Limiting Speed (Oil):35800 rpm
5060862,2MM9124WI,Limiting Speed (Grease):6900 rpm|Limiting Speed (Oil):13800 rpm
5060837,2MM204WI,Limiting Speed (Grease):35700 rpm|Limiting Speed (Oil):71400 rpm
5060816,MM205K,Limiting Speed (Grease):27400 rpm|Limiting Speed (Oil):54800 rpm
5060948,2MM219WI,Limiting Speed (Grease):8400 rpm|Limiting Speed (Oil):16800 rpm
5061084,MM208K,Limiting Speed (Grease):17700 rpm|Limiting Speed (Oil):35400 rpm
5060860,MM9124K,Limiting Speed (Grease):6320 rpm|Limiting Speed (Oil):12640 rpm
5060945,MM207K,Limiting Speed (Grease):19800 rpm|Limiting Speed (Oil):39600 rpm
5060890,3MM205WI,Limiting Speed (Grease):26800 rpm|Limiting Speed (Oil):53600 rpm
5060886,2MM205WI,Limiting Speed (Grease):29800 rpm|Limiting Speed (Oil):59600 rpm
5061130,2MM9316WI,Limiting Speed (Grease):11600 rpm|Limiting Speed (Oil):23200 rpm
5061134,MM209K,Limiting Speed (Grease):16000 rpm|Limiting Speed (Oil):32000 rpm
5060817,MM206K,Limiting Speed (Grease):23000 rpm|Limiting Speed (Oil):46000 rpm
5061158,2MM208WI,Limiting Speed (Grease):19300 rpm|Limiting Speed (Oil):38600 rpm
5061104,3MM306WI,Limiting Speed (Grease):19900 rpm|Limiting Speed (Oil):39800 rpm
5061071,MM9126K,Limiting Speed (Grease):5810 rpm|Limiting Speed (Oil):11620 rpm
5061174,MM212K,Limiting Speed (Grease):12100 rpm|Limiting Speed (Oil):24200 rpm
5061183,7207WN,Limiting Speed (Grease):5620 rpm|Limiting Speed (Oil):7490 rpm
5061199,7210WN,Limiting Speed (Grease):4300 rpm|Limiting Speed (Oil):5720 rpm
5061196,7209WN,Limiting Speed (Grease):4625 rpm|Limiting Speed (Oil):6165 rpm
5061206,7212WN,Limiting Speed (Grease):3540 rpm|Limiting Speed (Oil):4720 rpm
5061192,7208WN,Limiting Speed (Grease):5010 rpm|Limiting Speed (Oil):6680 rpm
5061135,MM210K,Limiting Speed (Grease):14600 rpm|Limiting Speed (Oil):29200 rpm
5061173,MM211K,Limiting Speed (Grease):13300 rpm|Limiting Speed (Oil):26600 rpm
5061203,7211WN,Limiting Speed (Grease):3880 rpm|Limiting Speed (Oil):5170 rpm
5061246,2MM212WI,Limiting Speed (Grease):13200 rpm|Limiting Speed (Oil):26400 rpm
5061209,7205WN,Limiting Speed (Grease):7775 rpm|Limiting Speed (Oil):10370 rpm
5061254,MM214K,Limiting Speed (Grease):10500 rpm|Limiting Speed (Oil):21000 rpm
5061302,2MM214WI,Limiting Speed (Grease):11400 rpm|Limiting Speed (Oil):22800 rpm
5061315,7307WN,Limiting Speed (Grease):6090 rpm|Limiting Speed (Oil):6960 rpm
5061307,7304WN,Limiting Speed (Grease):9760 rpm|Limiting Speed (Oil):11150 rpm
5061421,313W,Limiting Speed (Grease):2440 rpm|Limiting Speed (Oil):2930 rpm
5061318,7308WN,Limiting Speed (Grease):5400 rpm|Limiting Speed (Oil):6170 rpm
5061310,7305WN,Limiting Speed (Grease):8070 rpm|Limiting Speed (Oil):9220 rpm
5061434,9115K,Limiting Speed (Grease):3160 rpm|Limiting Speed (Oil):3680 rpm
5061466,209W,Limiting Speed (Grease):3850 rpm|Limiting Speed (Oil):4620 rpm
5061472,211W,Limiting Speed (Grease):3230 rpm|Limiting Speed (Oil):3870 rpm
5061486,314W,Limiting Speed (Grease):2270 rpm|Limiting Speed (Oil):2730 rpm
5061471,210W,Limiting Speed (Grease):3570 rpm|Limiting Speed (Oil):4290 rpm
5061488,315K,Limiting Speed (Grease):2550 rpm|Limiting Speed (Oil):2980 rpm
5061481,314K,Limiting Speed (Grease):2730 rpm|Limiting Speed (Oil):3180 rpm
5061518,9126K,Limiting Speed (Grease):1820 rpm|Limiting Speed (Oil):2120 rpm
5061514,9121K,Limiting Speed (Grease):2260 rpm|Limiting Speed (Oil):2640 rpm
5061547,317K,Limiting Speed (Grease):2260 rpm|Limiting Speed (Oil):2640 rpm
5061478,212W,Limiting Speed (Grease):2940 rpm|Limiting Speed (Oil):3530 rpm
5061460,207W,Limiting Speed (Grease):4670 rpm|Limiting Speed (Oil):5610 rpm
5061490,9117K,Limiting Speed (Grease):2790 rpm|Limiting Speed (Oil):3250 rpm
5061519,9128K,Limiting Speed (Grease):1710 rpm|Limiting Speed (Oil):2000 rpm
5061538,315W,Limiting Speed (Grease):2130 rpm|Limiting Speed (Oil):2550 rpm
5061515,9124K,Limiting Speed (Grease):2000 rpm|Limiting Speed (Oil):2330 rpm
5061594,322W,Limiting Speed (Grease):1430 rpm|Limiting Speed (Oil):1710 rpm
5061582,320K,Limiting Speed (Grease):1900 rpm|Limiting Speed (Oil):2220 rpm
5061584,320W,Limiting Speed (Grease):1590 rpm|Limiting Speed (Oil):1900 rpm
5061579,318K,Limiting Speed (Grease):2140 rpm|Limiting Speed (Oil):2500 rpm
5061544,316W,Limiting Speed (Grease):2000 rpm|Limiting Speed (Oil):2400 rpm
5061578,317W,Limiting Speed (Grease):1890 rpm|Limiting Speed (Oil):2260 rpm
5066718,23196KYMBW507C08,e - ISO Factor:0.3 |Y0 - ISO Factor:2.26 |Y1 - ISO Factor:3.36 |Y2 - ISO Factor:2.21 |Reference Thermal Speed Rating (Grease):360 |Reference Thermal Speed Rating (Oil):390 |Cg - Geometry Factor:0.1042 
5066729,239/670YMBW509C08C3,e - ISO Factor:0.16 |Y0 - ISO Factor:4.15 |Y1 - ISO Factor:6.18 |Y2 - ISO Factor:4.06 |Reference Thermal Speed Rating (Grease):350 |Reference Thermal Speed Rating (Oil):410 |Cg - Geometry Factor:0.1238 
5061581,319W,Limiting Speed (Grease):1690 rpm|Limiting Speed (Oil):2030 rpm
5066728,239/670YMBW509C08,e - ISO Factor:0.16 |Y0 - ISO Factor:4.15 |Y1 - ISO Factor:6.18 |Y2 - ISO Factor:4.06 |Reference Thermal Speed Rating (Grease):350 |Reference Thermal Speed Rating (Oil):410 |Cg - Geometry Factor:0.1238 
5066745,230/850YMBW45W805C6,e - ISO Factor:0.2 |Y0 - ISO Factor:3.37 |Y1 - ISO Factor:5.02 |Y2 - ISO Factor:3.3 |Reference Thermal Speed Rating (Grease):250 |Reference Thermal Speed Rating (Oil):280 |Cg - Geometry Factor:0.1384 
5066739,230/500KYMBW507C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066740,230/500KYMBW507C08C3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066742,230/500KYMBW906AC3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066767,240RU91R6,Reference Thermal Speed Rating (Grease):790 |Reference Thermal Speed Rating (Oil):880 |Cg - Geometry Factor:0.1756 
5066890,209K,Limiting Speed (Grease):4620 rpm|Limiting Speed (Oil):5380 rpm
