id,catalog_number,specifications
5059037,5202K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.073 Kg 0.16 lb|Design Units:METRIC 
5058981,2MM9110WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.258 Kg 0.57 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5058987,2MM215WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:1.174 Kg 2.59 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5059043,5204K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.163 Kg 0.360 lb|Design Units:METRIC 
5059102,311K,Design Units:METRIC |Ball Type:Steel |Bearing Weight:1.424 Kg 3.14 lb
5059108,7315WN,"Ball Type:Steel |Cage Type:Ball Piloted, Pressed Brass Cage |Bearing Weight:3.452 Kg 7.61 lb|Design Units:METRIC "
5059263,5206W,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.295 Kg 0.65 lb|Design Units:METRIC 
5059269,5208K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.566 Kg 1.32 lb|Design Units:METRIC 
5059266,5207K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.481 Kg 1.06 lb|Design Units:METRIC 
5059038,5203K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.104 Kg 0.23 lb|Design Units:METRIC 
5059113,7317WN,"Ball Type:Steel |Cage Type:Ball Piloted, Pressed Brass Cage |Bearing Weight:4.94 Kg 10.88 lb|Design Units:METRIC "
5059111,7316WN,"Ball Type:Steel |Cage Type:Ball Piloted, Pressed Brass Cage |Bearing Weight:4.504 Kg 9.92 lb|Design Units:METRIC "
5059162,MM9113K,Design Units:METRIC |Ball Type:Steel |Cage Type:CR - Phenolic Inner Land Riding Cage |Bearing Weight:0.450 Kg 0.99 lb|Precision Class:ISO P4S (ABEC 7/9) 
5059267,5207W,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.481 Kg 1.06 lb|Design Units:METRIC 
5059272,5209K,Ball Type:Steel |Cage Type:Snap In |Bearing Weight:0.699 Kg 1.54 lb|Design Units:METRIC 
