main_image,catalog_number,ids,additional_description,attributes,description
product_images/27/93475/9DQPQYU.png,L 4035 A 163 5,2793475,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Light Cord Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                    </ul>",<table><tr><td><font><b>Part Number</b></font></td><td><font>L 4035 A 163 5</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L4000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>25</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Incandescent Light</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>16</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>13 </font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJEOOW </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002314</font></td></tr></table>,Reelcraft L 4035 A 163 5 Cord Reel Incandescent Light 35ft 16 AWG/3 Cond 13 AMP
product_images/27/93467/PbOPI2I.png,L 5400,2793467,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Cord Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                    </ul>",<table><tr><td><font><b>Part Number</b></font></td><td><font>L 5400</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L5000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>25</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Bare Reel</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>12</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>13 </font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJEOOW </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002246</font></td></tr></table>,Reelcraft L 5400 Cord Reel Without Cord 50ft 12 AWG/3 Cond 13 AMP
product_images/27/93471/zFJnk3d.png,L 4035 163 1,2793471,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Light Cord Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                    </ul>",<table><tr><td><font><b>Part Number</b></font></td><td><font>L 4035 163 1</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>L4000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>27</font></td></tr><tr><td><font><b>Cord Ending</b></font></td><td><font>Incandescent Light</font></td></tr><tr><td><font><b>AWG</b></font></td><td><font>16</font></td></tr><tr><td><font><b>Cord/Cable Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Volts</b></font></td><td><font>125</font></td></tr><tr><td><font><b>Amps</b></font></td><td><font>10</font></td></tr><tr><td><font><b>Conductors</b></font></td><td><font>3</font></td></tr><tr><td><font><b>Cord/Cable Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Type</b></font></td><td><font>SJTOW</font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567000433</font></td></tr></table>,Reelcraft L 4035 163 1 Cord Reel Incandescent Light 35ft 16 AWG/3 Cond 13 AMP
product_images/27/93419/1y3jYQV.png,CA32122 L,2793419,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Hand Crank Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's Series 30000 reels are designed for rugged, heavy duty applications requiring long lengths of hose and large storage capacity. All-bolted unitized construction with no welds to fatigue, full flow swivel and heavy gauge steel frame, spool and drum ensure longest service life. Series 30000s vibration-proof, self-locking fasteners are ideal for industrial or field use such as turf care or pest control.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Hose replacement made easy - the goose neck can easily be removed to simplify adding long lengths of hose to the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Easy to add tension - The T-handle tensioning device allows proper tension to be applied to the spool to eliminate the free spooling of the reel.</li></span></p>
                    </ul>","<table><tr><td><font><b>Part Number</b></font></td><td><font>CA32122 L </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>65</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>400</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>CA</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002130</font></td></tr></table>",Reelcraft CA32122 L Hose Reel 1/2 x 400ft QS2 Hand Crank no Hose 1000 p
product_images/22/07996/SD14000_OVP.jpg,SD13000 OVP,2207996,"<div>\n        \n	\n		\n			 <h5>Ultimate Duty Low Profile Reel</h5>\n		\n			 Series SD10000 hose reels are designed to facilitate larger diameter 3/4"" and 1"" hose up to 50 ft. They feature a high quality external drive spring and a heavy gauge all-bolted together frame. This is the most compact reel in its class, making it ideal for mounting in truck cabinets or other areas where space is limited.\n		\n	\n\n        \n            <ul>\n                <li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance.</li>\n                <li>Containerized external drive spring is easily and safely serviced.</li>\n                <li>Ductile iron fluid path is strong and reliable.</li>\n                <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n		<tr>\n			<th>Part Number</th><td>SD13000 OVP                   </td>\n		</tr><tr>\n			<th>Series</th><td>SD             </td>\n		</tr><tr>\n			<th>Weight (lbs)</th><td>85        </td>\n		</tr><tr>\n			<th>Hose I.D. (in)</th><td>3/4""</td>\n		</tr><tr>\n			<th>Hose O.D. (in)</th><td>1.260     </td>\n		</tr><tr>\n			<th>Hose Length (ft)</th><td>35</td>\n		</tr><tr>\n			<th>Pressure (psi)</th><td>0</td>\n		</tr><tr>\n			<th>Outlet (in)</th><td> </td>\n		</tr><tr>\n			<th>Inlet (in)</th><td>1 (F)NPTF</td>\n		</tr><tr>\n			<th>Hose Included</th><td>no</td>\n		</tr><tr>\n			<th>Max Temperature (°F)</th><td>210       </td>\n		</tr><tr>\n			<th>Warehouse</th><td> </td>\n		</tr>\n	</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>18.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.125""</td>\n		</tr><tr>\n			<th>C</th><td>14""</td>\n		</tr><tr>\n			<th>D</th><td>11.25""</td>\n		</tr><tr>\n			<th>E</th><td>18.75""</td>\n		</tr><tr>\n			<th>F</th><td>8""</td>\n		</tr>\n	</table></div>","<table><tr><td><font><b>Part Number</b></font></td><td><font>SD13000 OVP </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>SD </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>85</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.260 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>210 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567008729</font></td></tr></table>",ReelCraft SD13000 OVP SERIES SD1000-LOW PROFILE W/OUT HOS 3/4 x 50ft 250psi
product_images/22/08012/7850_OHP.jpg,UR7915 OLB,2208012,"<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Heavy Duty - Steel stampings are engineered with structural forms to give added strength and rigidity.</li>\n                <li>Ease of Maintenance - Open design allows for access to any wear items, guide arm and bumper stop are adjustable using only standard tools.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>UR7915 OLB</td>\n				</tr><tr>\n					<th>Series</th><td>7000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>48        </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>3/4""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>1.13      </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>15</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>300</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td>3/4 (M)NPTF</td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>3/4 (F)NPTF</td>\n				</tr><tr>\n					<th>Hose Included</th><td>yes</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>20.25""</td>\n			</tr><tr>\n				<th>B</th><td>19.75""</td>\n			</tr><tr>\n				<th>C</th><td>7.8125""</td>\n			</tr><tr>\n				<th>D</th><td>3.875""</td>\n			</tr><tr>\n				<th>E</th><td>7""</td>\n			</tr>\n		</table></div>","<table><tr><td><font><b>Part Number</b></font></td><td><font>UR7915 OLB</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>7000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>48 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.13 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>15</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>3/4 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567012184</font></td></tr></table>",ReelCraft UR7915 OLB DEF DISPENSING HOSE REEL W/HOSE 3/4 x 15ft 300psi
https://www.reelcraft.com/catalog/catalog_images/7850_OLP.jpg,7650 OLP-HTH,5056270,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable High Temperature Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's Series 7000 is very robust and ideal for the most demanding applications. The high operating temperature hose reels (HTH) are supplied with low pressure, rubber hoses for more extreme air temperature applications. The HTH reels are rated for temperatures ranging from -40 F (-40 C) to 212 F (100 C).</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The steel guide arm and base are stamped with ribs and gussets to insure maximum strength and lightest possible weight.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                    </ul>","<table><tr><td><font><b>Part Number</b></font></td><td><font>7650 OLP-HTH</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>7000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>43</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/8""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.630</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>1/4 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>212 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567021742</font></td></tr></table>","ReelCraft  7650 OLP-HTH W/HOSE 3/8""x 50ft 300psi"
product_images/22/08052/XxVG9ys.png,5405 OHP,2208052,"<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5405 OHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5005           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>33        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.580      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>","<table><tr><td><font><b>Part Number</b></font></td><td><font>5405 OHP</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>5005 </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>33</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.580</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>5000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>210 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567001164</font></td></tr></table>",ReelCraft 5405 OHP SERIES 5005 OPEN WITHOUT HOSE & BUMPER
product_images/22/07980/5650_OLP_3ZRqu70.jpg,B5835 OLP,2207980,"<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery. The Series B5005 reels include the ratchet latch design.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Ratchet Latch Design - The latch pawl is mounted on guide arm to prevent lock out at full extension. </li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>B5835 OLP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5005</td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>39        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.750      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>300</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/2 (M)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>","<table><tr><td><font><b>Part Number</b></font></td><td><font>B5835 OLP </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>5005</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>39</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font>1/2 NPT(M)</font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/8 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/8 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>Yes</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567009245</font></td></tr></table>",ReelCraft B5835 OLP SERIES 5000 OPEN W/HOSE 1/2 x 35ft 300psi
product_images/27/93483/6rdLfFx.png,S601026-2,2793483,"<table>
		<tr>
			<td><font></font></td><td><font><b>Air/Water Inlet Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. NOTE: A flexible hose connection must be used between the hose reel inlet and the source of supply to prevent possible misalignment and binding or warranty is void. Swivel fittings are recommended to protect hose during installation.</font></td>
		</tr>
	</table>",<table><tr><td><font><b>Part Number</b></font></td><td><font>S601026-2</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>1.5 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>2</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>250</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>,Reelcraft S601026-2 HOSE PVC 3/4 X 2FT 3/4 X 3/4^ NPTF (M) 250 PSI
