id,catalog_number,chain_technical_data
824205,40A39,Pitch:0.500 in|Chain Size:40 
824209,80A18,Pitch:1.000 in|Chain Size:80 
824204,40A37,Pitch:0.500 in|Chain Size:40 
824212,80A44,Pitch:1.000 in|Chain Size:80 
824220,41B17F-1,Pitch:0.500 in|Chain Size:41 
824208,60A47,Pitch:0.750 in|Chain Size:60 
394473,40B18F-1G,Pitch:0.500 in|Chain Size:40 
394493,140A16,Pitch:1.750 in|Chain Size:140 
394506,40B19F-1D,Pitch:0.500 in|Chain Size:40 
394511,D120B21,Pitch:1.500 in|Chain Size:120-2 
394527,40B14F-1,Pitch:0.500 in|Chain Size:40 
394544,40B17F-1C,Pitch:0.500 in|Chain Size:40 
394519,160B23,Pitch:2.000 in|Chain Size:160 
394557,50B32F-1R,Pitch:0.625 in|Chain Size:50 
394569,41B15FJ,Pitch:0.500 in|Chain Size:41 
394565,40B26F-1B,Pitch:0.500 in|Chain Size:40 
394573,40B24FJ,Pitch:0.500 in|Chain Size:40 
394549,40B16F-1B,Pitch:0.500 in|Chain Size:40 
394487,80B16F-1F,Pitch:1.000 in|Chain Size:80 
394523,2042B19,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
394540,40B17F-1D,Pitch:0.500 in|Chain Size:40 
394590,40B28F-1B,Pitch:0.500 in|Chain Size:40 
394536,41A40,Pitch:0.500 in|Chain Size:41 
394586,40B27FL,Pitch:0.500 in|Chain Size:40 
394602,40B26F-1H,Pitch:0.500 in|Chain Size:40 
394532,40B26F-1C,Pitch:0.500 in|Chain Size:40 
394598,D160B14,Pitch:2.000 in|Chain Size:160-2 
394643,40B24F-1C,Pitch:0.500 in|Chain Size:40 
394632,40B20FL,Pitch:0.500 in|Chain Size:40 
394610,40B21F-1G,Pitch:0.500 in|Chain Size:40 
394627,D140B24,Pitch:1.750 in|Chain Size:140-2 
394594,40B27FP,Pitch:0.500 in|Chain Size:40 
394651,T50B23,Pitch:0.625 in|Chain Size:50-3 
394663,50B10FP,Pitch:0.625 in|Chain Size:50 
394659,40B22FL,Pitch:0.500 in|Chain Size:40 
394667,40SH27,Pitch:0.500 in|Chain Size:40 
394671,35B24FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394688,D50B42,Pitch:0.625 in|Chain Size:50-2 
394700,2042A18,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
394712,35B15FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394716,50B20F-1G,Pitch:0.625 in|Chain Size:50 
394708,80B46,Pitch:1.000 in|Chain Size:80 
394683,140B15,Pitch:1.750 in|Chain Size:140 
