id,catalog_number,locking_bolts
822896,PL070X079EF,Quantity:8 |Size:M8x40 |Tightening Torque:25.500 ft·lb
822884,PL015X019EF,Quantity:4 |Size:M4x18 |Tightening Torque:3.000 ft·lb
822916,PL022X047AD,Quantity:6 |Size:M6x28 |Tightening Torque:12.500 ft·lb
822920,PL030X055AD,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb
822908,PL085X125AE,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb
822904,PL028X032EF,Quantity:6 |Size:M5x25 |Tightening Torque:6 ft·lb
824080,PL1AE,Quantity:7 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824104,PL3AE,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824116,PL012X015EF,Quantity:3 |Size:M4x16 |Tightening Torque:3.000 ft·lb
824160,PL028X055FL,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824164,PL038X065FL,Quantity:9 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824168,PL048X080FL,Quantity:7 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824184,PL028X055AE,Quantity:8 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824196,PL095X135AE,Quantity:14 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824200,PL040X065AD,Quantity:11 |Size:M6x40 |Tightening Torque:12.500 ft·lb
824172,PL065X095FL,Quantity:9 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824176,PL085X125FL,Quantity:9 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824188,PL038X065AE,Quantity:10 |Size:M6x18 |Tightening Torque:12.500 ft·lb
822895,PL065X073EF,Quantity:8 |Size:M8x40 |Tightening Torque:25.500 ft·lb
822907,PL070X110AE,Quantity:10 |Size:M10x25 |Tightening Torque:60.000 ft·lb
822903,PL019X047AE,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb
822891,PL048X055EF,Quantity:6 |Size:M8x35 |Tightening Torque:25.500 ft·lb
822915,PL150X200AE,Quantity:18 |Size:M12x35 |Tightening Torque:105.000 ft·lb
824119,PL022X026EF,Quantity:4 |Size:M5x20 |Tightening Torque:6 ft·lb
824139,PL2FL,Quantity:7 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824123,PL032X036EF,Quantity:6 |Size:M5x25 |Tightening Torque:6 ft·lb
824171,PL060X090FL,Quantity:8 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824155,PL019X047FL,Quantity:4 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824111,PL4AE,Quantity:15 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824199,PL035X060AD,Quantity:10 |Size:M6x35 |Tightening Torque:12.500 ft·lb
