id,catalog_number,sprocket_diameters
824220,41B17F-1,Outside Diameter:2.970 in|Pitch Diameter:2.721 in|Caliper Diameter:2.403 in
394473,40B18F-1G,Outside Diameter:3.140 in|Pitch Diameter:2.879 in|Caliper Diameter:2.567 in
394493,140A16,Outside Diameter:9.850 in|Pitch Diameter:8.971 in|Caliper Diameter:7.971 in
394506,40B19F-1D,Outside Diameter:3.300 in|Pitch Diameter:3.038 in|Caliper Diameter:2.715 in
394527,40B14F-1,Outside Diameter:2.490 in|Pitch Diameter:2.247 in|Caliper Diameter:1.934 in
394544,40B17F-1C,Outside Diameter:2.970 in|Pitch Diameter:2.721 in|Caliper Diameter:2.397 in
394519,160B23,Outside Diameter:15.750 in|Pitch Diameter:14.688 in|Caliper Diameter:13.529 in
394557,50B32F-1R,Outside Diameter:6.720 in|Pitch Sprocket Diameter:6.376 in|Caliper Diameter:5.976 in
394569,41B15FJ,Outside Diameter:2.650 in|Pitch Diameter:2.405 in|Caliper Diameter:2.086 in
394565,40B26F-1B,Outside Diameter:4.420 in|Pitch Diameter:4.148 in|Caliper Diameter:3.835 in
394573,40B24FJ,Outside Diameter:4.100 in|Pitch Diameter:3.831 in|Caliper Diameter:3.518 in
394549,40B16F-1B,Outside Diameter:2.810 in|Pitch Diameter:2.563 in|Caliper Diameter:2.250 in
394487,80B16F-1F,Outside Diameter:5.630 in|Pitch Diameter:5.126 in|Caliper Diameter:4.501 in
394523,2042B19,Outside Diameter:6.590 in|Pitch Diameter:6.076 in|Caliper Diameter:5.430 in
394540,40B17F-1D,Outside Diameter:2.970 in|Pitch Diameter:2.721 in|Caliper Diameter:2.397 in
394590,40B28F-1B,Outside Diameter:4.740 in|Pitch Diameter:4.465 in|Caliper Diameter:4.153 in
394586,40B27FL,Outside Diameter:4.580 in|Pitch Diameter:4.307 in|Caliper Diameter:3.987 in
394602,40B26F-1H,Outside Diameter:4.420 in|Pitch Diameter:4.148 in|Caliper Diameter:3.835 in
394532,40B26F-1C,Outside Diameter:4.420 in|Pitch Diameter:4.148 in|Caliper Diameter:3.835 in
394643,40B24F-1C,Outside Diameter:4.100 in|Pitch Diameter:3.831 in|Caliper Diameter:3.518 in
394632,40B20FL,Outside Diameter:3.460 in|Pitch Diameter:3.196 in|Caliper Diameter:2.883 in
394610,40B21F-1G,Outside Diameter:3.620 in|Pitch Diameter:3.355 in|Caliper Diameter:3.033 in
394594,40B27FP,Outside Diameter:4.580 in|Pitch Diameter:4.307 in|Caliper Diameter:3.987 in
394663,50B10FP,Outside Diameter:2.300 in|Pitch Sprocket Diameter:2.023 in|Caliper Diameter:1.623 in
394659,40B22FL,Outside Diameter:3.780 in|Pitch Diameter:3.513 in|Caliper Diameter:3.201 in
394671,35B24FL,Outside Diameter:3.070 in|Pitch Diameter:2.873 in|Caliper Diameter:2.673 in
394700,2042A18,Outside Diameter:6.270 in|Pitch Diameter:5.759 in|Caliper Diameter:5.134 in
394712,35B15FJ,Outside Diameter:1.990 in|Pitch Diameter:1.804 in|Caliper Diameter:1.594 in
394716,50B20F-1G,Outside Diameter:4.320 in|Pitch Sprocket Diameter:3.995 in|Caliper Diameter:3.595 in
394683,140B15,Outside Diameter:9.280 in|Pitch Diameter:8.418 in|Caliper Diameter:7.371 in
394692,35B30F-1B,Outside Diameter:3.790 in|Pitch Diameter:3.588 in|Caliper Diameter:3.388 in
394720,35B16F-1,Outside Diameter:2.110 in|Pitch Diameter:1.922 in|Caliper Diameter:1.722 in
394768,60B36F-1H,Outside Diameter:9.020 in|Pitch Diameter:8.606 in|Caliper Diameter:8.137 in
394732,35B13FH,Outside Diameter:1.750 in|Pitch Diameter:1.567 in|Caliper Diameter:1.356 in
394740,40B20FP,Outside Diameter:3.460 in|Pitch Diameter:3.196 in|Caliper Diameter:2.883 in
394754,35B18FJ,Outside Diameter:2.350 in|Pitch Diameter:2.160 in|Caliper Diameter:1.960 in
394810,160A27,Outside Diameter:18.310 in|Pitch Diameter:17.228 in|Caliper Diameter:16.073 in
394762,40B40F-1H,Outside Diameter:6.650 in|Pitch Diameter:6.373 in|Caliper Diameter:6.061 in
394758,35B20FH,Outside Diameter:2.590 in|Pitch Diameter:2.397 in|Caliper Diameter:2.197 in
394837,40B21F-1H,Outside Diameter:3.620 in|Pitch Diameter:3.355 in|Caliper Diameter:3.033 in
394872,41B16FJ,Outside Diameter:2.810 in|Pitch Diameter:2.563 in|Caliper Diameter:2.257 in
394828,35B30FL,Outside Diameter:3.790 in|Pitch Diameter:3.588 in|Caliper Diameter:3.388 in
