id,catalog_number,attributes
2785118,1901,Product Name:Metric Model Linear Actuators|Shaft Diameter (mm):8|Lead (mm):1.30|Thrust Rating (N):67|A (mm):29.00|B (mm):42.20|C (mm):28.60|D (mm):14.50|E (mm):41.30|F (mm):57.20|G (mm):19.00|H Tapped Mounting Holes (mm):M3 x 0.5 x 6.35 DP
2785166,2902,Product Name:Metric Model Linear Actuators|Shaft Diameter (mm):8|Lead (mm):15.00|Thrust Rating (N):133|A (mm):38.60|B (mm):48.50|C (mm):38.10|D (mm):19.30|E (mm):50.80|F (mm):71.40|G (mm):25.40|H Tapped Mounting Holes (mm):M5 x 0.08 x 9.53 DP
2785294,4902,Product Name:Metric Model Linear Actuators|Shaft Diameter (mm):25|Lead (mm):5.00|Thrust Rating (N):444|A (mm):76.20|B (mm):88.90|C (mm):76.20|D (mm):38.10|E (mm):63.50|F (mm):90.40|G (mm):63.50|H Tapped Mounting Holes (mm):M6 x 1.0 x 12.7 DP
2785302,4910,"Product Name:ServoClass Single Flex Couplings|Operating Torque (Nm):60.0|Torsional Stiffness (in-lb/deg):10,813|Torsional Stiffness (Nm/Rad):70,000|Axial Stiffness (N/mm):76.4|Maximum Speed (RPM):10,000|Misalignments Angular (deg):1|Misalignments Parallel (mm):0.03|Misalignments Axial (mm):0.46|Moment of Inertia (lb-in²):0.49100|Weight (g):277.83|Outside Diameter D (mm):68.00|Overall Length L (mm):53.59|Hub Length LB (mm):25.20|Reduced Hub Diameter N (mm):46.00|Distance Between Shaft Ends (DBSE) (mm):3.20|Inside Diameter of the Flex Disc K (mm):30.99|Clamp Screw to Bore A1 (mm):17.50|Clamp Screw A2 (mm):26.49|Clamp Screw to End of Hub C  (mm):7.75|Clamp Screw Size M:M6|Tightening Torque (Nm):14.010|Coupling Size for Drawing References:60|Material Map:servo|Style:A"
2785330,5902,Product Name:Metric Model Linear Actuators|Shaft Diameter (mm):50|Lead (mm):5.00|Thrust Rating (N):889|A (mm):114.30|B (mm):118.90|C (mm):114.30|D (mm):57.20|E (mm):69.90|F (mm):118.90|G (mm):101.60|H Tapped Mounting Holes (mm):M6 x 1.0 x 12.7 DP
2785366,650-15S,Product Name:SAE B Mount Overhung Load Adaptors
2785390,6A37QD,"Product Name:Single QD Bushing Hubs|Continuous Rated Torque (Nm):180.8|Peak Rated Torque (Nm):361.6|Torsional Stiffness (in-lb/deg):10,374|Torsional Stiffness (Nm/Rad):67,167|Maximum Speed (RPM):7,400|Misalignments Angular (deg):3|Misalignments Parallel (mm):0.33|Misalignments Axial (mm):1.78|QD Hubs Unit Weight W/ Bushing (kg):1.68|Diameter A (mm):95.25|B (mm):36.58|C (mm):13.21|Length L (mm):86.36|X (mm):17.27|LB (mm):45.21|T (mm):16.00|QD Bushing Type:JA"
2785406,6A60-AC,"Product Name:Single Clamp Aluminum Hubs|Continuous Rated Torque (Nm):717.5|Peak Rated Torque (Nm):1,434.9|Torsional Stiffness (in-lb/deg):41,485|Torsional Stiffness (Nm/Rad):268,595|Maximum Speed Clamp Style Hub (RPM):5,200|Misalignments Angular (deg):3|Misalignments Parallel (mm):0.51|Misalignments Axial (mm):3.30|Clamped Hub Unit Weight At Max Bore (kg):4.42|Clamped Hub Unit inertia At Max Bore (lb-in²):40.30|Clamped Hub Unit Weight At  1/2 Max Bore (kg):3.47|Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):28.30|Diameter A (mm):152.40|B (mm):61.98|C (mm):19.56|D (mm):34.01|F (mm):145.03|Length L (mm):143.26|Coupling Size for Drawing References:60|Material Map:aluminum"
2785394,6A45-AC,"Product Name:Single Clamp Aluminum Hubs|Continuous Rated Torque (Nm):282.5|Peak Rated Torque (Nm):564.9|Torsional Stiffness (in-lb/deg):19,138|Torsional Stiffness (Nm/Rad):123,909|Maximum Speed Clamp Style Hub (RPM):6,700|Misalignments Angular (deg):3|Misalignments Parallel (mm):0.38|Misalignments Axial (mm):2.29|Clamped Hub Unit Weight At Max Bore (kg):2.04|Clamped Hub Unit inertia At Max Bore (lb-in²):10.00|Clamped Hub Unit Weight At  1/2 Max Bore (kg):1.47|Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):7.26|Diameter A (mm):114.30|B (mm):42.93|C (mm):14.73|D (mm):22.00|F (mm):108.97|Length L (mm):100.58|Coupling Size for Drawing References:45|Material Map:aluminum"
2785398,6A45-SS,"Product Name:Single Set Screw Stainless Steel Hubs|Continuous Rated Torque (Nm):282.5|Peak Rated Torque (Nm):564.9|Torsional Stiffness (in-lb/deg):19,138|Torsional Stiffness (Nm/Rad):123,909|Maximum Speed A & B Hub (RPM):6,100|Misalignments Angular (deg):3|Misalignments Parallel (mm):0.38|Misalignments Axial (mm):2.29|A Hub Unit Weight At Max Bore (kg):2.90|A Hub Unit inertia At Max Bore (lb-in²):14.60|Diameter A (mm):114.30|B (mm):42.93|C (mm):14.73|Ga A Hub (mm):68.33|H (mm):45.97|Length L (mm):100.58|X (mm):23.11|Coupling Size for Drawing References:45|Material Map:always"
