id,catalog_number,description
130985,127599,DODGE 127599 F4B-DLEZ-108-PCR
130984,127526,Dodge 127526 F2B-SCEZ-103-PCR BORE DIAMETER: 1-3/16 INCH HOUSING: 2-BOLT FLANGE HOUSING MATERIAL: POLYMER
130983,49380,Dodge 049380 F2B-SCEZ-105-PCR BORE DIAMETER: 1-5/16 INCH HOUSING: 2-BOLT FLANGE HOUSING MATERIAL: POLYMER
130979,123588,DODGE 123588 P2B-VSC-203 2 3/16^ BORE
130978,123600,DODGE 123600 P2B-VSCB-108 1 1/2^ BORE
130977,125518,DODGE 125518 F2B-VSC-014 7/8^ BORE
130976,123581,DODGE 123581 P2B-VSC-100 1^ BORE
130975,123632,DODGE 123632 F4B-VSC-200 2^ BORE
130974,125529,DODGE 125529 F4B-VSC-106 1 3/8^ BORE
130973,123617,DODGE 123617 F2B-VSC-200 2^ BORE
130972,58989,Dodge 058989 INS-SC-102-CR BORE DIAMETER: 1-1/8 INCH BEARING INSERT LOCKING: SET SCREW
130971,52620,DODGE 052620 INS-SC-25M-FF
130970,131908,Dodge 131908 INS-SXR-100 BORE DIAMETER: 1 INCH BEARING INSERT LOCKING: ECCENTRIC COLLAR
130969,125638,DODGE 125638 INS-VSC-25M
130968,389925,DODGE 389925 INS-VSC-012
130967,123360,Dodge 123360 INS-SCM-204 BORE DIAMETER: 2-1/4 INCH BEARING INSERT LOCKING: SET SCREW
130966,131442,DODGE 131442 INS-SXV-104S
130965,131440,DODGE 131440 INS-SXV-102
130964,125633,Dodge 125633 INS-SXR-55M BORE DIAMETER: 55 MILLIMETER BEARING INSERT LOCKING: ECCENTRIC COLLAR
130963,123419,Dodge 123419 INS-SCM-100 BORE DIAMETER: 1 INCH BEARING INSERT LOCKING: SET SCREW
130962,123345,Dodge 123345 INS-SC-112 BORE DIAMETER: 1-3/4 INCH BEARING INSERT LOCKING: SET SCREW
130961,45604,Dodge 045604 INS-SC-107-CR BORE DIAMETER: 1-7/16 INCH BEARING INSERT LOCKING: SET SCREW
130960,123330,Dodge 123330 INS-SC-008L BORE DIAMETER: 1/2 INCH BEARING INSERT LOCKING: SET SCREW
130941,34712,DODGE 034712 TB-PSEZ-103-P
130940,34735,DODGE 034735 F2B-PSEZ-115-P
130939,34721,DODGE 034721 F4B-PSEZ-107-P
130934,23415,DODGE 023415 P4B-DI-507RE 5 7/16^ BORE
130933,23041,DODGE 023041 P4B-E-515R 5 15/16^ BORE
130922,19261,DODGE 019261 CP-810X18-TUFR
130921,19253,DODGE 019253 CP-613X30-TUFR
130920,19241,DODGE 019241 CP-515X18-TUFR
130919,19230,DODGE 019230 CP-502X12-TUFR
