id,catalog_number
5211764,BB883CN140TC
5123208,37AD2001B01
5123207,36AD2004A01
5123178,435013
5122863,EJMM3218T-8
5122821,37F667T891G1
5122668,P2B-SCUED-215
5122555,061167
5122177,G6FH1802A01
5122104,BB1083LN140TC
5122073,069283
5121971,HB483GH80G4
5058599,EM3218TA
5058281,14C051X993G1
5005841,229250
2832011,226879
5057795,TPLED1027
5057458,060916
5057374,Z28G7001
5057298,36EP3300A03
5057243,065601
5056822,RS9001A10
5056710,36G684R712G1
5056708,BG6206C03
5056707,BG6205C03
5056617,SP5051A58
5056502,075535
5056486,SP5066A01
5056291,WDGPP12501
5056266,KEL11205A
5054789,XY3816A12
5054786,HW1001A38
5054785,10XN3816K48
5054784,12FH1500A01
27213,nan
5054553,34K841W771G1
5054193,SCXT309B
5053552,34C063-5506G9
5029748,435005
5027830,06F617W569G1
5027786,150986-21-1SP
5022924,028207
5022692,25E865W435G3
5022565,BB883CN180TC
5022449,09C101X920G5
5015882,126280
5014018,CM3611T-57
5013992,34GS1029A01
5011794,W28TO35BASE
5011793,W21TO23BASE
5011792,W16TO17BASE
5011791,W12TO15BASE
5011790,VD35Q60L56WP
5011789,VD35Q60L56
5011788,VD35Q60L14WP
5011787,VD35Q60L14
5011786,VD35Q40L56
5011785,VD35Q40L14WP
5011784,VD35Q40L14
5011783,VD35Q30L14WP
5011782,VD35Q30L14
5011781,VD35Q15L14WP
5011780,VD35Q15L14
5011779,VD35A60L56
5011778,VD35A60L14
5011777,VD35A40L14
5011776,VD35A30L14
5011775,VD35A15L14
5011774,VD30Q60L56WP
5011773,VD30Q60L56
5011772,VD30Q60L14WP
5011771,VD30Q60L14
5011770,VD30Q40L56WP
5011769,VD30Q40L56
5011768,VD30Q40L14WP
5011767,VD30Q40L14
5011766,VD30Q30L56WP
5011765,VD30Q30L56
5011764,VD30Q30L14WP
5011763,VD30Q30L14
5011762,VD30Q15L56WP
5011761,VD30Q15L56
5011760,VD30Q15L14
5011759,VD30A60L56
5011758,VD30A60L14
5011757,VD30A40L56
5011756,VD30A40L14
5011755,VD30A30L56
5011754,VD30A30L14
5011753,VD30A15L56
5011752,VD30A15L14
5011751,VD26QZ60L56
5011750,VD26QZ30L56
5011749,VD26Q60L56WP
5011748,VD26Q60L56
5011747,VD26Q50L56
5011746,VD26Q40L56WP
5011745,VD26Q40L56
5011744,VD26Q30R56WP
5011743,VD26Q30R56
5011742,VD26Q30L56WP
5011741,VD26Q30L56
5011740,VD26Q20L56WP
5011739,VD26Q20L56
5011738,VD26Q15L56WP
5011737,VD26Q15L56
5011736,VD26Q10L56WP
5011735,VD26Q10L56
5011734,VD26A60L56
5011733,VD26A40L56
5011732,VD26A30L56
5011731,VD26A20L56
5011730,VD26A15L56
5011729,VD20QZ60L56
5011728,VD20Q60L56WP
5011727,VD20Q60L56TOP
5011726,VD20Q60L56
5011725,VD20Q40L56WP
5011724,VD20Q40L56
5011723,VD20Q30L56WP
5011722,VD20Q30L56
5011721,VD20Q25L56WP
5011720,VD20Q25L56
5011719,VD20Q20L56
5011718,VD20Q15L56WP
5011717,VD20Q15L56
5011716,VD20Q10L56WP
