id,catalog_number,additional_description
837482,2404-8-6,
837540,2404-6-4,
837607,2501-4-4,
837646,2404-6-2,
837647,2503-12-12,
837693,5404-8-6,
837697,6405-12-8,
837792,2404-12-16,
837794,2501-12-8,
837899,2404-10-12,
837900,2404-10-8,
837901,2404-12-8,
837902,2404-4-2,
837903,2404-4-8,
837904,2404-6-6,
837905,2404-6-8,
837906,2404-8-8,
837907,2405-12-16,
837909,2405-4-4,
837910,2405-6-8,
837912,2501-10-12,
837914,2501-6-2,
837915,2501-6-4,
837916,2501-6-6,
837917,2501-6-8,
837918,2501-8-12,
837919,2501-8-4,
837920,2501-8-8,
837922,2503-6-6,
837966,5000-6-4,
837969,5404-12-8,
837974,5404-6-4,
837976,5406-12-4,
837977,5406-12-8,
837982,5406-6-4,
837983,5406-8-2,
837984,5406-8-4,
837985,5406-8-6,
838001,6401-8-6,
838002,6401-8-8,
838004,6405-10-8,
838005,6405-12-16,
838009,6405-4-4,
838010,6405-4-6,
838011,6405-6-4,
838012,6405-6-6,
838013,6405-8-6,
838014,6405-8-8,
838019,6410-12-16,
838020,6410-6-8,
838021,6410-8-10,
838022,6410-8-6,
838026,6500-6-4,
838037,6901-12-12,
838038,6901-6-6,
838039,6901-8-6,
838040,6901-8-8,
838250,2404-12-12,
838251,2404-4-4,
838252,2404-4-6,
838253,2404-8-12,
838254,2405-10-8,
838255,2405-12-12,
838256,2405-4-2,
838257,2405-6-4,
838258,2405-6-6,
838259,2405-8-12,
838260,2405-8-6,
838261,2405-8-8,
838262,2501-10-8,
838263,2501-12-12,
838264,2501-4-2,
838265,2501-8-6,
838266,2503-10-8,
838267,2503-4-2,
838268,2503-4-4,
838269,2503-6-4,
838270,2503-8-6,
838271,2503-8-8,
838280,5406-6-2,
838286,6401-10-8,
838287,6401-12-12,
838288,6401-4-4,
838289,6410-10-8,
838671,2404-8-4,
838674,2501-4-6,
838675,2503-10-12,
838676,2503-8-4,
838867,5000-8-6,
838879,5406-12-2,
838880,5406-12-6,
838891,5406-4-2,
839032,6401-6-4,
839033,6401-6-6,
839034,6401-6-8,
839040,6405-10-12,
839041,6405-12-12,
839044,6405-4-2,
839045,6405-6-8,
839051,6410-10-12,
839053,6410-6-4,
839055,6500-12-10,
839057,6500-6-8,
839058,6500-8-10,
839059,6500-8-6,
839081,6506-10-8,
839082,6506-12-12,
839084,6506-4-4,
839085,6506-4-6,
839086,6506-6-4,
839087,6506-6-6,
839088,6506-8-8,
839135,6901-10-12,
839136,6901-10-8,
839137,6901-12-16,
839138,6901-12-8,
839143,6901-4-4,
839144,6901-4-6,
839145,6901-6-4,
839146,6901-6-8,
839147,6901-8-12,
2033748,2404-5-2,
2033750,2501-12-16,
2033882,6405-10-4,
2033883,6410-12-10,
2033884,6501-10-8,
2033885,6501-12-12,
2033891,6501-4-2,
2033892,6501-4-4,
2033893,6501-5-2,
2033894,6501-6-4,
2033895,6501-6-6,
2033896,6501-8-6,
2033897,6501-8-8,
2033898,6505-10-12,
2033899,6505-10-8,
2033900,6505-12-12,
2033901,6505-12-8,
2033907,6505-4-2,
2033908,6505-4-4,
2033909,6505-5-4,
2033910,6505-6-4,
2033911,6505-6-6,
2033912,6505-8-6,
