id,catalog_number,description,main_image
2874089,SBC200SSEPD,"Dixon SBC200SSEPD 2\ SS Safety Breakaway w/EPDM Seals-FNPT Both Ends""",
2874088,SBC100SSEPD,"Dixon SBC100SSEPD 1\ SS Safety Breakaway w/EPDM SEALS-FNPT BOTH ENDS""",
2072585,VMIL400,"DIXON VMIL400 4\ MNPT X 4\"" GROOVED INTERNAL LUG ADPT BR""",
2072584,VHCN008,"DIXON VHCN008 1\ DUST PLUG 1\"" DUST CAP 700099-8""",
2072583,VHCN006,"DIXON VHCN006 3/4\ DUST PLUG 3/4\"" DUST CAP 700099-6""",
2072582,VHCN004,"DIXON VHCN004 1/2\ DUST PLUG 1/2\"" DUST CAP 700100-3""",
2072581,VHCN003,"DIXON VHCN003 3/8\ DUST PLUG 3/8\"" DUST CAP 700099-3""",
2072493,STZ80,"DIXON STZ80 8\ LARGE DIAMETER STORZ COUPLINGS""",
2072492,STZ120,"DIXON STZ120 12\ LARGE DIAMETER STORZ COUPLING""",
2072491,STZ-HANDLES,DIXON STZ-HANDLES PAIR OF WRENCHES USED TO LOCK AND UNLOCK LDH STORZ ADAPTERS,
2072474,SSV625,"DIXON SSV625 6\STZ x (2) 2.5\"" Stz Siamese""",
2072473,SSV525,"DIXON SSV525 5\STZ x (2) 2.5\"" Stz Siamese""",
2072472,SSV425,"DIXON SSV425 4\STZ x (2) 2.5\"" Stz Siamese Aluminum""",
2072449,SSA30-440,"DIXON SSA30-440 4\ STORZ X 30 DEGREE 4\"" STORZ ALUM""",
2072271,QTX150-F,"DIXON QTX150-F 1-1/2\ NPSH Forestry Exp CPLG half 1-11/16 bowl with expansion ring""",
2072255,PV-KNOB,DIXON PV-KNOB RETRACTABLE KNOB FOR PISTON VALVE HANDWHEEL - NORTHLINE,
2072158,NAPRVG250-75,DIXON NAPRVG250-75 PRV 2.5 GRV X 2.5 GRV F/S PRES REDUCE STRT VLV T-75 UL,
2072157,NAPRVG250-70,DIXON NAPRVG250-70 PRV 2.5 GRV X 2.5 GRV F/S PRES REDUCE STRT VLV T-70 UL,
2072156,NAPRVG250-65,DIXON NAPRVG250-65 PRV 2.5 GRV X 2.5 GRV F/S PRES REDUCE STRT VLV T-65 UL,
2072155,NAPRVG250-60,DIXON NAPRVG250-60 PRV 2.5 GRV X 2.5 GRV F/S PRES REDUCE STRT VLV T-60 UL,
2072154,NAPRVG250-55,DIXON NAPRVG250-55 PRV 2.5 GRV X 2.5 GRV F/S PRES REDUCE STRT VLV T-55 UL,
2072091,N-FTVLST-20S,"DIXON N-FTVLST-20S 2\ FNPSH FOOT VALVE STRAINER""",
2072090,N-FTVLST-20F,"DIXON N-FTVLST-20F 2\ FNST FOOT VALVE STRAINER""",
2072089,MSSV625F,"DIXON MSSV625F 6\STZ X 2.5\""NH(X2) SIAMESE AL NULL""",
2072088,MSSV525F,"DIXON MSSV525F 5\STZ X 2.5\""NH (X2) SIAMESE AL NULL""",
2072087,MSSV425F,"DIXON MSSV425F 4\STZ X 2.5\""NH (X2) SIAMESE AL NULL""",
2072086,MSSV4-625F,"DIXON MSSV4-625F 6\STZ X 2.5\""NH(X4) SIAMESE AL NULL""",
2072085,MSSV4-525F,"DIXON MSSV4-525F 5\STZ X 2.5\""NH (X4) SIAMESE AL NULL""",
2072084,MSSV4-425F,"DIXON MSSV4-425F 4\STZ X 2.5\""NH (X4) SIAMESE AL NULL""",
2072083,MSSV3-625F,"DIXON MSSV3-625F 6\ STORZ X 2.5\"" MNST(X3) SIAMESE AL""",
2072082,MSSV3-525F,"DIXON MSSV3-525F 5\STZ X 2.5\""NH (X3) SIAMESE AL NULL""",
2072081,MSSV3-425F,"DIXON MSSV3-425F 4\STZ X 2.5\""NH (X3) SIAMESE AL NULL""",
2072057,MOCA250F-P,"DIXON MOCA250F-P 2-1/2\ FNPT X 2-1/2\"" MNH SINGLE HYDRANT ASSY - POL BRASS""",
2072023,M25100RAT,"DIXON M25100RAT 2-1/2\ X 100 SJ MILL HOSE CPLD RL ALUM MNPT X MNPT""",
2072022,M25-50RAT,"DIXON M25-50RAT 2-1/2\ X 50 SJ MILL HOSE CPLD RL ALUM MNPT X MNPT""",
2071977,KSW24,"DIXON KSW24 1-1/2\ KING SAFETY WHIPSOCK O.D. 1.969\""-2.362\""""",
2071976,KSW20,"DIXON KSW20 1-1/4\ KING SAFETY WHIPSOCK O.D. 1.575\""-1.969\""""",
2071975,KSW16,"DIXON KSW16 1\ KING SAFETY WHIPSOCK O.D.1.181\"" - 1.575\""""",
2071974,KSW12,"DIXON KSW12 3/4\ KING SAFETY WHIPSOCK O.D. .7874\"" - 1.181\""""",
2071973,KSW08,"DIXON KSW08 1/2\ KING SAFETY WHIPSOCK O.D. .5512\"" - .7874\""""",
2071972,KSW06,"DIXON KSW06 3/8\ KING SAFETY WHIPSOCK O.D. .315\"" - .5512\""""",
2071970,IXFS32-3A,"DIXON IXFS32-3A 2\ FEMALE BEVELED SEAT SHANK -3A""",
2071968,IRC4025GF,"DIXON IRC4025GF STR ROOF CON 4\ GROOVE X 2.5\"" MNST""",
2071967,IRC4025G,"DIXON IRC4025G STR ROOF CON 4\ GROOVE X 2.5\"" MNPT""",
2071966,IHC450F,"DIXON IHC450F 4-1/2\ NH PENTAGON HYD CAP PAINTED WITH CHAIN& RING-IRON""",
2071965,IHC250NYFD,"DIXON IHC250NYFD 2-1/2\ NYFD PENTAGON HYD CAP PAINTED RED W/CH & RING - IRON""",
2071964,IHC250F,"DIXON IHC250F 2-1/2\ NH PENTAGON HYD CAP PAINTED WITH CHAIN & RNG-IRON""",
2071959,HUP207400,"DIXON HUP207400 4\ FIG. 207 UNION PLUG""",
2071958,HUMF206800CS,"DIXON HUMF206800CS 8\ 206 SERIES MALE/FEM FRAC ASSEMBLY""",
2071957,HUMF206600CS,"DIXON HUMF206600CS 6\ 206 SERIES MALE/FEMALE FRAC""",
2071956,HUMF206400CS,"DIXON HUMF206400CS 4\ 206 Series Male / Female Frac Assembly""",
2071955,HUMF206300CS,"DIXON HUMF206300CS 3\ FIG 206 MALE / FEMALE""",
2071954,HUMF100800CS,"DIXON HUMF100800CS 8\ FIG 100 MALE/FEM FRAC ASSEMBLY""",
2071953,HUMF100600CS,"DIXON HUMF100600CS 6\ FIG 100 MALE/FEM FRAC ASSEMBLY""",
2071952,HUMF100400CS,"DIXON HUMF100400CS 4\ FIG 100 MALE/FEMALE FRAC ASSY""",
2071951,HUMF100300CS,"DIXON HUMF100300CS 3\ MALE/ FEMALE FIG. 100""",
2071950,HUM206800CS,"DIXON HUM206800CS 8\ 206 SERIES MALE FRAC FITTINGS ASSEMBLY""",
2071949,HUM206600CS,"DIXON HUM206600CS 6\ 206 SERIES MALE FRAC FITTING""",
2071948,HUM206400FLG-ST,"DIXON HUM206400FLG-ST 4\ FLANGE X MALE HAMMER UNION ASSEMBLY""",
2071947,HUM206400FLG,"DIXON HUM206400FLG 4\ Flange x Male Hammer Union ADAPTER""",
2071946,HUM206400CS,"DIXON HUM206400CS 4\ 206 Series Male Frac Fitting""",
2071945,HUM206300CS,"DIXON HUM206300CS 3\ FIG 206 MALE FRAC FITTING""",
2071944,HUM100800CS,"DIXON HUM100800CS 8\ FIG 100 MALE FRAC FITTING""",
2071943,HUM100600CS,"DIXON HUM100600CS 6\ FIG 100 MALE FRAC FITTING""",
2071942,HUM100400CS,"DIXON HUM100400CS 4\ FIG 100 MALE FRAC FITTING""",
2071941,HUM100300CS,"DIXON HUM100300CS 3\ FIG 100 MALE FRAC FITTING with Fig 100 Nut""",
2071940,HUFALL800CS,"DIXON HUFALL800CS 8\ STEM ONLY- FEMALE CRIMP SHANK FITTING""",
2071939,HUFALL600CS,"DIXON HUFALL600CS 6\ STEM ONLY FEM CRIMP SHANK""",
2071938,HUF206400FLG-ST,"DIXON HUF206400FLG-ST 4\ FLANGE X MALE HAMMER UNION SHORT ADAPTER""",
2071937,HUF206400FLG,"DIXON HUF206400FLG 4\ Flange x Female Hammer Union ADAPTER""",
2071935,HUF206300CS,"DIXON HUF206300CS 3\ FIG 206 FEMALE SUB""",
2071934,HUF100400CS,"DIXON HUF100400CS 4\ FIG 100 FEMALE FRAC FITTING""",
2071933,HUF100300CS,"DIXON HUF100300CS 3\ FEMALE SUB FIG 100""",
2071932,HUC207400,"DIXON HUC207400 4\ FIG 207 BLANKING CAP""",
2071931,HU602400BW,"DIXON HU602400BW 4\ FORGED STL Butt Weld Hamm. Union 602 SERIES ORANGE SUB BLACK NUT""",
2071930,HU602400,"DIXON HU602400 4\ FORGED STEEL HAMMER UNION SERIES 602 ORANGE SUB BLACK NUT""",
2071929,HU602300BW,"DIXON HU602300BW 3\ FORGED STEEL BUTTWELD HAMMER UNION 602SERIES ORANGE SUB BLK NUT""",
2071928,HU602300,"DIXON HU602300 3\ FORGED STEEL HAMMER UNION SERIES 602 ORANGE SUB BLACK NUT""",
2071927,HU602200BW,"DIXON HU602200BW 2\FORGED STEEL BUTTWELD HAMMER UNION 602SERIES ORANGE SUB BLK NUT""",
2071926,HU400400,"DIXON HU400400 4\ FORGED STEEL HAMMER UNION 400 SERIES RED SUB BLACK NUT""",
2071925,HU400300,"DIXON HU400300 3\ FORGED STEEL HAMMER UNION 400 SERIES RED SUB BLACK NUT""",
2071924,HU400200,"DIXON HU400200 2\ FORGED STEEL HAMMER UNION 400 SERIES RED SUB BLACK NUT""",
2071923,HU206800N,"DIXON HU206800N 8\ FIG. 206 HAMMER UNION NUT""",
2071922,HU206600N,"DIXON HU206600N 6\ FORGED STEEL HAMMER UNION NUT 206 SERIES""",
2071921,HU206400N,"DIXON HU206400N 4\ Forged Steel Hammer Union Nut series 206""",
2071920,HU206300N,"DIXON HU206300N 3\ FIG 206 HAMMER UNION NUT Blue""",
2071919,HU200800RN,"DIXON HU200800RN 8\ Blue Hammer Union split Nut for 200 / 206 Series""",
2071917,HU200600RN,"DIXON HU200600RN 6\ FORGED STEEL HAMMER UNION SPLIT NUT""",
2071916,HU200400RN,"DIXON HU200400RN 4\ Blue Hammer Union Split Nut for 200 / 206 Series""",
2071909,HU100800N,"DIXON HU100800N 8\ FIG 100 HAMMER UNION NUT""",
2071908,HU100600RN,"DIXON HU100600RN 6\ FORGED STEEL HAMMER UNION SPLIT NUT""",
2071907,HU100600N,"DIXON HU100600N 6\ FORGED STEEL HAMMER UNION NUT FIG 100 NUT ONLY""",
2071906,HU100400N,"DIXON HU100400N 4\ Forged Steel Hammer Union NUT Fig 100 NUT ONLY""",
2071905,HU100300N,"DIXON HU100300N 3\ FIG 100 HAMMER UNION NUT Black""",
2071904,HU1002400BW,"DIXON HU1002400BW 4\ FORGED STEEL BUTT WELD HAMMER UNION 1002 SERIES BLUE SUB RED NUT""",
2071903,HU1002300BW,"DIXON HU1002300BW 3\ FORGED STL BUTTWELL HAMMER UNION 1002 SERIES BLUE SUB RED NUT""",
2071902,HU1002300,"DIXON HU1002300 3\ FORGED STEEL HAMMER UNION 1002 SERIES BLUE SUB RED NUT""",
2071901,HU1002200BW,"DIXON HU1002200BW 2\ FORGED STL BUTTWELD HAMMER UNION 1002 SERIES BLUE SUB RED NUT""",
2071883,HT2DC,"DIXON HT2DC 1/4\ FLUSH FACE DUST CAP 700047-2""",
2071836,HHA2576,"DIXON HHA2576 2-1/2\ HAZMAT HYDRANT ADPTR - BR""",
2071835,HHA1576,"DIXON HHA1576 1-1/2\ HAZMAT HYDRANT ADPTR - BR""",
2071834,HH30145,DIXON HH30145 HYDRANT HOUSE (FREIGHT CHARGES BILLED ADDL),
2071832,HGV-KNOB,"DIXON HGV-KNOB KNOB FOR 2-1/2\ NORTHLINE HYDRANT GATE VALVE""",
2071831,HGV-HDWHL,DIXON HGV-HDWHL COMPLETE HANDWHEEL FOR NTH HYDRANT GATE VALVE,
2071830,HFV80X80COUP,"DIXON HFV80X80COUP 8\ GRV CONNECTIONS VIC-TYPE ENDS FIELD REPAIR 2 ENDS/2 SETS COLLARS""",
2071829,HFV60X60COUP,"DIXON HFV60X60COUP 6\ GRV CONNECTIONS VIC-TYPE ENDS FIELD REPAIR 2 ENDS/2 SETS COLLARS""",
2071828,HFV12X12COUP,"DIXON HFV12X12COUP 12\ GRV CONNECTIONS VIC-TYPE ENDS FIELD REPAIR 2 ENDS/2 SETS COLLARS""",
2071827,HFV10X10COUP,"DIXON HFV10X10COUP 10\ GRV CONNECTIONS VIC-TYPE ENDS FIELD REPAIR 2 ENDS/2 SETS COLLARS""",
2071826,HFN150NYFD,"DIXON HFN150NYFD 1 1/2\ NYFD BRASS HEAVY DUTY NOZZLE""",
2071825,HFMEND80,"DIXON HFMEND80 8\ SUPPLY MENDERS COMPLETE WITH BODY AND 2 SETS SEGMENTED COLLARS""",
2071824,HFMEND120,"DIXON HFMEND120 12\ SUPPLY MENDERS COMPLETE WITH BODY AND 2 SETS SEGMENTED COLLARS""",
2071823,HFMEND100,"DIXON HFMEND100 10\ SUPPLY MENDERS COMPLETE WITH BODY AND 2 SETS SEGMENTED COLLARS""",
2071808,HAD300EZ,"DIXON HAD300EZ 3\ HASTALLOY FEM CPLR X FEM NPT EZ BOSSLOCK""",
2071807,HAC300EZ,"DIXON HAC300EZ 3\ HASTALLOY FEM. COUPLER X HOSE SHANK EZ BOSSLOCK""",
2071806,HAB300EZ,"DIXON HAB300EZ 3\ HASTALLOY FEM COUPLER X MALE NPT EZ BOSSLOCK""",
2071801,HA25NYFD76,"DIXON HA25NYFD76 2-1/2\ FNYFD X 3/4\"" MGHT HYDR ADPT BRASS P/L""",
2071800,HA25NYFD75T,"DIXON HA25NYFD75T 2-1/2\ FNYFD X 3/4\"" MNPT P/L BRASS HYDR ADPTR""",
2071799,HA25NYFD25F,"DIXON HA25NYFD25F 2-1/2\ FNYFD X 2-1/2\"" MNST P/L BRASS HYDR ADPTR""",
2071798,HA25NYFD20T,"DIXON HA25NYFD20T 2-1/2\ FNYFD X 2\"" MNPT HYDR ADPT BRASS P/L""",
2071797,HA25NYFD15T,"DIXON HA25NYFD15T 2-1/2\ FNYFD X 1-1/2\"" MNPT HYDR ADAPT BRASS P/L""",
2071796,HA25NYFD15S,"DIXON HA25NYFD15S 2.5\ FNYFD X 1.5\"" MNPSH P/L BRASS ** THIS IS A SPECIAL ORDER **""",
2071795,HA25NYFD15NYFD,"DIXON HA25NYFD15NYFD 2.5\ FNYFD x 1.5\"" MNYFD HYD ADPT BR""",
