id;catalog_number;description;add_descr;attributes
2886863;002-95;Durham 002-95 6 D CABINET#95 GRAY;nan;nan
2886867;006-95;Durham 006-95 18 DV CABINET#95 GRAY;nan;nan
2886871;014-95;Durham 014-95 30 D CAB #95 GRAY;nan;nan
2886875;022-95;Durham 022-95 96 D UNIT #95 GRAY;nan;nan
2886879;026-95;Durham 026-95 90 DR11 ASY. UNIT #95 GRAY;nan;nan
2886883;030-95;Durham 030-95 18DR11 CAB#95 GRAY;nan;nan
2886887;034-95;Durham 034-95 30DR11 CAB#95 GRAY;nan;nan
2886891;055-95;Durham 055-95 AU-2SM AERO#95 GRAY;nan;nan
2886895;060-95-WFS;Durham 060-95-WFS FIXED FLAT SHELF AEROSOL CABINET #95 GRAY;nan;nan
2886903;1012MH-50;Durham 1012MH-50 FSC 12 GAL. HOR  2 MAN DR 43^X18^X18^ #50 YEL;nan;nan
2886911;1022M-50;Durham 1022M-50 FSC 22 GAL. 1 MAN DR 23^X18^X65^ #50 YEL;nan;nan
2886923;1060-GP;Durham 1060-GP FS SH-PAN 28-1/2^ X 30^ X .055 NOM GALV FORM;nan;nan
2886927;1060SL-50;Durham 1060SL-50 FSC 60 GAL. 2 SC DR 34^X34^X72-3/8^ W/LEGS #50 YEL;nan;nan
2886931;1090ML-50;Durham 1090ML-50 FFSC 90 GAL. 2 MAN DR 43^X34^X71^ W/LEGS #50 YEL;nan;nan
2886935;1104-95;Durham 1104-95 RB17 4 SECTION #95 GRAY;nan;nan
2886939;111-95-IND;Durham 111-95-IND DL 20-C#95 GRAYIND;nan;nan
2886943;117-95-IND;Durham 117-95-IND DL 6 VERT-C#95 GRAYIND;nan;nan
2886947;124-95-06/HOR;Durham 124-95-06/HOR SCOOPDL 6 HOR#95 GRAY;nan;nan
2886951;124-95-20;Durham 124-95-20 SCOOPDL 20#95 GRAY;nan;nan
2886955;124-95-ADL;Durham 124-95-ADL SCOOP ADL#95 GRAY;nan;nan
2886959;131-95-IND;Durham 131-95-IND EXL-C#95 GRAYIND;nan;nan
2886963;186-95;Durham 186-95 BEARING RACK CRADLE 18 11/32^ X 12 1/4^ #95 GRAY;nan;nan
2886967;206-95-IND;Durham 206-95-IND DS 20-C#95 GRAYIND;nan;nan
