id;catalog_number;add_descr
153741;63DS0087;nan
153745;63DS0112;nan
153749;63DS0137;nan
153753;63JA0056;nan
153757;63SD0075;nan
153761;63SD0100;nan
153765;63SD0125;nan
153773;63SF0131;nan
153777;63SF0156;nan
153781;63SF0181;nan
153789;63SH0081;nan
153793;63SH0106;nan
153797;63SK0075;nan
153801;63SK0112;nan
153809;63SK0162;nan
153813;63SK0187;nan
153833;CB0015;nan
153837;CB0036;nan
153849;SB0013;nan
153853;SB0019;nan
153861;TLK110110140;nan
153869;TLK110120155;nan
153873;TLK1101323;nan
153877;TLK110140180;nan
153881;TLK1101524;nan
153885;TLK1101726;nan
153889;TLK1101928;nan
153893;TLK110212;nan
153897;TLK1102316;nan
153905;TLK1102839;nan
153909;TLK11034;nan
153917;TLK1105065;nan
153921;TLK1106077;nan
153925;TLK110715;nan
153929;TLK11080100;nan
153933;TLK110916;nan
153937;TLK132110155;nan
153941;TLK13211516;nan
153945;TLK1321316;nan
153949;TLK132150200;nan
153957;TLK1322;nan
153961;TLK132212;nan
153965;TLK132220285;nan
153969;TLK132238;nan
153973;TLK132278;nan
153977;TLK1323055;nan
153981;TLK1323260;nan
153989;TLK1324065;nan
153993;TLK1324575;nan
153997;TLK13251516;nan
154001;TLK13261516;nan
154005;TLK13271516;nan
154009;TLK13280120;nan
154013;TLK1331;nan
154021;TLK133120165;nan
154025;TLK133138;nan
154029;TLK133160210;nan
154033;TLK133180235;nan
154037;TLK1332047;nan
154041;TLK13321516;nan
154045;TLK1332316;nan
154049;TLK1332450;nan
154053;TLK1332855;nan
154057;TLK133312;nan
154061;TLK133334;nan
154065;TLK1333716;nan
154069;TLK13341516;nan
154073;TLK1334716;nan
154077;TLK1335585;nan
154081;TLK1336595;nan
154085;TLK13375115;nan
154089;TLK13385125;nan
154093;TLK200100145;nan
154097;TLK200114;nan
154101;TLK200130180;nan
154105;TLK200140190;nan
154109;TLK200170225;nan
154113;TLK200190250;nan
154117;TLK2002047;nan
154125;TLK200230295;nan
154129;TLK200240305;nan
154133;TLK200260325;nan
154137;TLK2002916;nan
154141;TLK200314;nan
154145;TLK200334;nan
154149;TLK200358;nan
154153;TLK2004;nan
154157;TLK20041516;nan
154161;TLK200434;nan
154165;TLK2005;nan
154169;TLK2005585;nan
154173;TLK200612;nan
154177;TLK2007;nan
154185;TLK20090130;nan
154189;TLK300110124;nan
154193;TLK300130148;nan
154197;TLK300150168;nan
154201;TLK300170191;nan
154205;TLK300190211;nan
154209;TLK3002226;nan
154213;TLK3003035;nan
154217;TLK3003844;nan
154221;TLK3004855;nan
154225;TLK30058;nan
154229;TLK30069;nan
154233;TLK3007584;nan
154237;TLK30090101;nan
154241;TLK3501122;nan
154245;TLK3501632;nan
154249;TLK3502038;nan
154253;TLK3502850;nan
154257;TLK3503865;nan
154261;TLK3504880;nan
154265;TLK350818;nan
154269;TLK450110155;nan
