id,catalog_number,attributes
2926536,8 N,nan
5012144,MSP4-SD,nan
2926472,40A32SS,nan
2926556,80R38,nan
2926560,9H 1 1/4,nan
2926564,9HS 1 1/4,nan
5012145,MSP5-SD,nan
2925923,G BLK-SF,nan
2926252,MXT-STL302 3/4,nan
2926561,9H 2,nan
2926565,9HS 1 3/8,nan
256072,D10B60,nan
255957,D06B60,nan
256013,D08B60,nan
5012146,MSP7-SD,nan
2925924,G 1,nan
2925928,G 15/16,nan
2926253,MXT-STL706 1/4,nan
2926562,9H 7/8,nan
256181,D12B60,nan
252258,MSP3-SD,nan
2926563,9HS 1 1/2,nan
256404,D24C60,nan
256433,D28C60,nan
256303,D16C60,nan
256355,D20C60,nan
256462,D32C60,nan
257004,E10B60,nan
256935,E06B60,nan
256971,E08B60,nan
257062,E12C60,nan
2983177,P328M40,"""SS""=>""2"", ""KWY""=>""6MM x 2.8MM"", ""P.D""=>""3.208"", ""Bore""=>""20MM"", ""O.D.""=>""3.156"", ""Pitch""=>""8MM"", ""Teeth""=>""105"", ""SS Size""=>""1/4-20 x 1/4"", ""Wide Belt""=>""40MM"""
257450,P16814M115-J,nan
257482,P1928M85-E,nan
2983178,P1058M40,"""SS""=>""2"", ""KWY""=>""6MM x 2.8MM"", ""Bore""=>""20MM"", ""O.D.""=>""10.473"", ""P.D.""=>""10.527"", ""Pitch""=>""8MM"", ""Teeth""=>""105"", ""SS Size""=>""1/4-20 x 1/4"", ""Wide Belt""=>""40MM"""
257456,P16814M85-F,nan
257464,P19214M115-J,nan
257492,P21614M85-F,nan
257792,P648M85-SK,nan
257861,P808M85-SF,nan
247325,E 1,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1\"""""
247329,E 1 1/8,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""4-1/16\"""""
247333,E 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
247357,E 2 5/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-5/16\"""""
247365,E 3 1/8,"""Keyway""=>""3/4\"" x 1/8\"""", ""Bore Size""=>""3-1/8\"""""
247385,E-BOLTS,nan
247330,E 1 11/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-11/16\"""""
247346,E 2 1/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/16\"""""
247434,F 1 1/4,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/4\"""""
