id;catalog_number;description;add_descr;img_url;attributes
2572410;SN-6901EB-AM;SN-6901EB-AM SN 6000 Cellular Router with 4G LTE Default Generic North American carriers 1 Ethernet port PoE;nan;product_images/25/72410/SN6701_L.jpg;nan
2572414;SN-6921-AM;SN-6921-AM SN 6000 Cellular Router with 4G LTE Default Generic North American carriers 5 Ethernet port DC conne;nan;product_images/25/72414/SN6701_L.jpg;nan
286236;AAMA3535;AAMA3535 ANALOG C/V MOD 3535;"<h5>Specifications</h5><div><ul><li>3-Way Isolation of Analog Signals</li>\n<li>Switch Selectable Inputs &amp; Outputs</li>\n<li>100 Different Input and Output Combinations</li>\n<li>18 to 30 VDC Powered</li>\n</ul></div>";product_images/28/6236/Aama-200.GIF;nan
286263;APLIT405;APLIT405 APOLLO 5A AC-I DPM 115V;nan;product_images/28/6263/default_286263.jpg;nan
286282;APLSP3A0;APLSP3A0 APOLLO SLAVE 3D 5VDC;nan;product_images/28/6282/default_286282.jpg;nan
286286;APLSP5A0;APLSP5A0 APOLLO SLAVE 5D 5VDC;nan;product_images/28/6286/default_286286.jpg;nan
286304;APLVD400;APLVD400 APOLLO DC VOLT DPM 115V;nan;product_images/28/6304/default_286304.jpg;nan
286322;ARCJ10Z0;ARCJ10Z0 ARCJ-1 W/HESS SENSOR;nan;product_images/28/6322/arcj.GIF;nan
286330;ARCJ2AZ0;ARCJ2AZ0 ARCJ2 W/HESS1.125^D GEAR;nan;product_images/28/6330/arcj.GIF;nan
286344;BMK1A000;BMK1A000 BASE MOUNT KIT  CUB 1;nan;product_images/28/6344/bmk11.gif;nan
286348;BMK50000;BMK50000 BASE MOUNT KIT  CUB3;nan;product_images/28/6348/BMK34.GIF;nan
286372;C48CB111;C48CB111 C48C DC (3PBSRC);nan;product_images/28/6372/c48_0E4sLlM.jpg;nan
286388;C48CD111;C48CD111 C48C DC (2PBSRC);nan;product_images/28/6388/c48_zVD0KS2.jpg;nan
286392;C48CD117;C48CD117 C48C DC (2PBRLYSER);"<h5>Specifications</h5><div><p>• Dual Preset Version\n• 50 mm x 50 mm\n• 2 Line, 6 Character Transmissive LCD w/Backlighting\n• Red Top Line and Green Bottom Line Display\n• Bi-Directional and Quadrature Counting\n• Dual Relay Outputs\n• RS-485 Communications\n• Up to 11 KHz\n• NEMA 4X/IP65\n </p>\n</div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC11000</th>          \n          <td>ENC11 NEMA 4/IP65 1/16 DIN Enclosure</td>    </tr>\n  <tr>\n      \n          <th>ENC11A00</th>          \n          <td>ENC11A NEMA 4X/IP65 Enclosure for one 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC11B00</th>          \n          <td>ENC11B NEMA 4X/IP65 Enclosure for two 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC30000</th>          \n          <td>ENC3 Legend/Libra/C48/P48/P16/T16/T48/PXV Enclosure NEMA 1</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK30000</th>          \n          <td>BMK3 Base Mount Kit for Legend Libra, T16, P16, T48, P48, C48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMK3C000</th>          \n          <td>PMK3C C48, T48, P16, T16 and PXU Mounting Panel</td>    </tr>\n  <tr>\n      \n          <th>PMK60000</th>          \n          <td>PMK6 Panel Mount Adapter Kit (1/8 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMK70000</th>          \n          <td>PMK7 Panel Mount Adapter Kit (1/4 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMKCC100</th>          \n          <td>PMKCC1 50 x 50 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC200</th>          \n          <td>PMKCC2 72 x 72 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC300</th>          \n          <td>PMKCC3 60 x 75 mm Panel Mount 2 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PNL3F000</th>          \n          <td>PNL3F Panel for 1/16 DIN Units</td>    </tr>\n  <tr>\n      \n          <th>PNL3G000</th>          \n          <td>PNL3G Panel for 1/16 DIN Units with Keylock</td>    </tr>\n    <tr>\n      \n          <th>RBC48001</th>          \n          <td>C48 Replacement Board 1 Preset NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48002</th>          \n          <td>C48 Replacement Board 1 Preset PNPOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48003</th>          \n          <td>C48 Replacement Board 2 Preset Relay</td>    </tr>\n  <tr>\n      \n          <th>RBC48004</th>          \n          <td>C48 Replacement Board 3 Preset Relay NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48005</th>          \n          <td>C48 Replacement Board 3 Preset Relay PNPOC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6392/c48.jpg;nan
