"id","catalog_number","description","main_image","additional_description","attributes"
"2793411","81000 OLS-S","Reelcraft 81000 OLS-S Hose Reel 3/8 x 100ft","product_images/27/93411/WBTUkWU.png","",""
"2793419","CA32122 L","Reelcraft CA32122 L Hose Reel 1/2 x 400ft QS2 Hand Crank no Hose 1000 p","product_images/27/93419/1y3jYQV.png","",""
"2793467","L 5400","Reelcraft L 5400 Cord Reel Without Cord 50ft 12 AWG/3 Cond 13 AMP","product_images/27/93467/PbOPI2I.png","",""
"2793471","L 4035 163 1","Reelcraft L 4035 163 1 Cord Reel Incandescent Light 35ft 16 AWG/3 Cond 13 AMP","product_images/27/93471/zFJnk3d.png","",""
"2793475","L 4035 A 163 5","Reelcraft L 4035 A 163 5 Cord Reel Incandescent Light 35ft 16 AWG/3 Cond 13 AMP","product_images/27/93475/9DQPQYU.png","",""
"2793483","S601026-2","Reelcraft S601026-2 HOSE PVC 3/4 X 2FT 3/4 X 3/4^ NPTF (M) 250 PSI","product_images/27/93483/6rdLfFx.png","",""
"2793487","S32-260043","Reelcraft S32-260043 HOSE 100R1T 3/8 X 2FT 3/8 X 3/8 NPTF (M) 2250 PSI","product_images/27/93487/plOKjzY.png","",""
"2793499","S601015-100","Reelcraft S601015-100 HOSE PVC 3/8 X 100 FT 3/8 X 1/2 NPTF (M) 300 PSI","product_images/27/93499/6rdLfFx.png","",""
"2793503","S601022-35","Reelcraft S601022-35 HOSE PVC 1/2 X 35FT 1/2 X 1/2 NPTF (M) 300 PSI","product_images/27/93503/6rdLfFx.png","",""
"2793507","S601026-20","Reelcraft S601026-20 HOSE PVC 3/4 X 20FT 3/4 X 3/4^ NPTF (M) 250 PSI","product_images/27/93507/6rdLfFx.png","",""
"2793511","S601026-50","Reelcraft S601026-50 HOSE PVC 3/4 X 50FT 3/4 X 3/4^ NPTF (M) 250 PSI","product_images/27/93511/6rdLfFx.png","",""
