id,catalog_number,key1,key2,description
2972177,4821.044.113.M00521,FRSG,FRSG,Ringspann 4821.044.113.M00521 FRSG400*78 CAM CLUTCH
2931332,4821.230.104.,FRHD,FRHD,Ringspann 4821.230.104. FRHD 1100*Max Bore 7 BACKSTOP AND TORQUE ARM
2931331,4821.230.101.,FRHD,FRHD,Ringspann 4821.230.101. FRHD 1000*Max Bore 7 BACKSTOP AND TORQUE ARM
2931330,4821.170.125.,FRHD,FRHD,Ringspann 4821.170.125. FRHD 900*Max Bore 5+716 BACKSTOP AND TORQUE ARM
2931329,4821.170.124.,FRHD,FRHD,Ringspann 4821.170.124. FRHD 800*Max Bore 4+12 BACKSTOP AND TORQUE ARM
2931328,4821.140.118.,FRHD,FRHD,Ringspann 4821.140.118. FRHD 775*Max Bore 3+34 BACKSTOP AND TORQUE ARM
2931327,4884.095.100.060h44,FGR60,FGR,Ringspann 4884.095.100.060h44 FGR60 OVERRUNNING CLUTCH ASSEMBLY
2931326,4884.080.100.050h38,FGR50,FGR,Ringspann 4884.080.100.050h38 FGR50 OVERRUNNING CLUTCH ASSEMBLY
2931325,4884.066.100.040h33,FGR40,FGR,Ringspann 4884.066.100.040h33 FGR40 OVERRUNNING CLUTCH ASSEMBLY
2931324,4884.055.100.030h33,FGR30,FGR,Ringspann 4884.055.100.030h33 FGR30 OVERRUNNING CLUTCH ASSEMBLY
2931323,4884.050.100.025h33,FGR25,FGR,Ringspann 4884.050.100.025h33 FGR25 OVERRUNNING CLUTCH ASSEMBLY
2931322,4879.057.103.000001,ZZ40,ZZ,Ringspann 4879.057.103.000001 ZZ40 CLUTCH BEARING
2931321,4879.047.102.000001,ZZ6207,ZZ,Ringspann 4879.047.102.000001 ZZ6207 CLUTCH BEARING
2931320,4879.019.101.000001,ZZ6201,ZZ,Ringspann 4879.019.101.000001 ZZ6201 CLUTCH BEARING
2931319,4879.012.101.000001,ZZ8,ZZ,Ringspann 4879.012.101.000001 ZZ8 CLUTCH BEARING
2931318,4873.057.701.000000,FGK50,FGK,Ringspann 4873.057.701.000000 FGK50 OVERRUNNING CLUTCH ASSEMBLY
2931317,4873.056.701.000001,ZZ402RS,ZZ,Ringspann 4873.056.701.000001 ZZ402RS CLUTCH BEARING WITH RUBBER SEALS
2931316,4873.056.102.000001,ZZ40PP,ZZ,Ringspann 4873.056.102.000001 ZZ40PP CLUTCH BEARING KEYED ID AND OD
2931315,4873.056.101.000001,ZZ40P,ZZ,Ringspann 4873.056.101.000001 ZZ40P CLUTCH BEARING KEYED ID
2931314,4873.051.701.000000,FGK45,FGK,Ringspann 4873.051.701.000000 FGK45 OVERRUNNING CLUTCH ASSEMBLY
2931313,4873.047.702.000001,ZZ352RS,ZZ,Ringspann 4873.047.702.000001 ZZ352RS CLUTCH BEARING WITH RUBBER SEALS
2931312,4873.047.701.000000,FGK40,FGK,Ringspann 4873.047.701.000000 FGK40 OVERRUNNING CLUTCH ASSEMBLY
2931311,4873.047.102.000001,ZZ6207PP,ZZ,Ringspann 4873.047.102.000001 ZZ6207PP CLUTCH BEARING KEYED ID AND OD
