id,catalog_number
5049436,CFG56L/140
5049437,DS0/32
5049438,DSP0/22
5049439,DSP0/32
5049440,DS0/34
5049441,DS0/52
5049442,G0/32
5049443,DSP0/24
5049444,DSP0/34
5049445,DSP0/52
5049446,DS0/54
5049447,GH0/22
5049448,DS0/72
5049449,SP0/22
5049450,DSP0/54
5049451,GH0/32
5049452,SP0/24
5049453,DSP0/72
5049454,G0/52
5049455,DS0/74
5049456,SP0/32
5049457,G0/34
5049458,SP0/34
5049459,SPH0/22
5049460,SPH0/32
5049461,DSP0/74
5049462,SPH0/24
5049463,G0/72
5049464,SPH0/34
5049465,DS0012
5049466,DS0014
5049467,GH0/52
5049468,SP0/52
5049469,GH0/24
5049470,DS0/36
5049471,GH0/34
5049472,L510-2P2-H1-U
5049473,DSP0012
5049474,DSP0014
5049475,DS1/52
5049476,DS1/54
5049477,SP0/54
5049478,DSP0/26
5049479,DSP0/36
5049480,GH0/72
5049481,G0/54
5049482,S0/34
5049483,L510-2P5-H1-U
5049484,L510-2P5-H3-U
5049485,DTP0012
5049486,DTP0014
5049487,SPT0/22
5049488,SP0/72
5049489,DS0/56
5049490,L510-1P2-H1-U
5049491,DSP1/52
5049492,DSP1/54
5049493,DS0/76
5049494,DS0022
5049495,DS0024
5049496,L510-201-H1-U
5049497,L510-201-H3-U
5049498,L510-1P5-H1-U
5049499,SPHT0/22
5049500,SPT0/32
5049501,G0012
5049502,SPT0/24
5049503,SPH0/52
5049504,SPT0/34
5049505,DHP0014
5049506,S0/54
5049507,G0/74
5049508,DSP0/56
5049509,GHV0/22C
5049510,GH0/22C
5049511,DS0016
5049512,DTP1/52
5049513,DSP0/76
5049514,DSP0022
5049515,DSP0024
5049516,GH0/54
5049517,SPHT0/24
5049518,SPHT0/32
5049519,NP0012
5049520,NV0012C
5049521,GHV0/32C
5049522,GH0/32C
5049523,DTP1/54
5049524,NP0014
5049525,NV0014C
5049526,G0014
5049527,S0/74
5049528,GHV0/24C
5049529,GH0/24C
5049530,L510-101-H1-U
5049531,G1/52
5049532,DSP0016
5049533,DHP1/52
5049534,GHV0/34C
5049535,GHV0/52C
5049536,GH0/34C
5049537,GH0/52C
5049538,GH0012
5049539,GP0012
5049540,GP0012G
5049541,SPT0/52
5049542,GH0014
5049543,GP0014
5049544,GP0014G
5049545,SPH0/54
5049546,SPHT0/34
5049547,SPH0/72
5049548,SPT0/54
5049549,DHP0014FP
5049550,GH0/74
5049551,SPHT0/54
5049552,DSP0034
5049553,DS0034
5049554,DHP1/54
5049555,G0/36
5049556,SPHT0/52
5049557,DTP0024
5049558,NP0012C
5049559,MP0012
5049560,MP0014
5049561,EP0012
5049562,GHV0/72C
5049563,GH0/72C
5049564,DJPP0014
5049565,DJMP0014
5049566,DJP0014
5049567,DJM0014
5049568,EP0014
5049569,S0014
5049570,DTP0022
5049571,G1/54
5049572,GHV0/54C
5049573,GH0/54C
5049574,SPT0/72
5049575,DS0032
5049576,DHP0024
5049577,DHP1/52FP
5049578,SPT0/74
5049579,NP1/52
5049580,NV1/52C
5049581,NP1/54
5049582,NV1/54C
5049583,SP0/74
5049584,N3-2P5-CS-U
5049585,N3-2P5-C-U
5049586,GH0/26
5049587,SPHT0/72
5049588,NP0014C
5049589,DTP0014G
5049590,DJPP1/52
5049591,DJMP1/52
5049592,DHP0022
5049593,G0/56
5049594,DTP0012G
5049595,G0024
5049596,SPHT0/74
5049597,GHV0/74C
5049598,GH0/74C
5049599,DHP1/54FP
5049600,GH0/36
5049601,DTP0016
5049602,DTP0034
5049603,GH1/52
5049604,GP1/52
5049605,GHV0012C
5049606,GPV0012C
5049607,GH0012C
5049608,GP0012C
5049609,GP1/52G
5049610,DJP1/52
5049611,DJP1/54
5049612,DJM1/52
5049613,DJM1/54
5049614,GH1/54
5049615,GP1/54
5049616,GP1/54G
5049617,DSP0032
5049618,GHV0014C
5049619,JPN0014
5049620,JMN0014
5049621,GPV0014C
5049622,GH0014C
5049623,GP0014C
5049624,SPH0012
5049625,NP0022
5049626,NV0022C
5049627,DJP0014FP
5049628,DJPP1/54
5049629,DJMP1/54
5049630,MP1/52
5049631,MP1/54
5049632,G0/76
5049633,DJPP0022
5049634,DJPP0024
5049635,DJMP0022
5049636,DJMP0024
5049637,DJP0022
5049638,DJP0024
5049639,DJM0022
5049640,DJM0024
5049641,NP0024
5049642,NV0024C
5049643,EP0012C
5049644,DHP0014G
5049645,SPH0/74
5049646,DTP1/52G
5049647,DTP0032
5049648,N3-201-C-U
5049649,JPN1/52
5049650,JMN1/52
5049651,DHP0016
5049652,DHP0034
5049653,DHP0024FP
5049654,SPHT0012
5049655,EP1/52
5049656,DTP1/56
5049657,G0022
5049658,GH0022
5049659,GP0022
5049660,GP0022G
