"id","catalog_number","description"
"2852029","WTM288","CPR-WDK WTM288 Grip StrnRel WT .875-1.00^ 20/30A"
"2852028","WTM275","CPR-WDK WTM275 Grip StrnRel WT .750-.875^ 20/30A"
"2852027","WTM263","CPR-WDK WTM263 Grip StrnRel WT .625-.750^ 20/30A"
"2852026","WTM250","CPR-WDK WTM250 Grip StrnRel WT .500-.625^ 20/30A"
"2852025","WTM156","CPR-WDK WTM156 Grip StrnRel WT .560-.625^ 15/20A"
"2852024","WTM150","CPR-WDK WTM150 Grip StrnRel WT .500-.562^ 15/20A"
"2852023","WTM143","CPR-WDK WTM143 Grip StrnRel WT .430-.500^ 15/20A"
"2852022","WTM138","CPR-WDK WTM138 Grip StrnRel WT .375-437^ 15/20A"
"2852021","WTM131","CPR-WDK WTM131 Grip StrnRel WT .310-370^ 15/20A"
"2852020","WSP12R","CPR-WDK WSP12R WM OccSen PIR Wide 1200ft Relay WH"
"2852019","WSP12","CPR-WDK WSP12 WM OccSen PIR Wide 1200ft WH"
"2852018","WSP01R","CPR-WDK WSP01R WM OccSen PIR Linear 90ft Relay WH"
"2852017","WSP01","CPR-WDK WSP01 WM OccSen PIR Linear 90ft WH"
"2852016","WRVGF20W","CPR-WDK WRVGF20W GFCI WR Deco Duplex 20A 125V WH"
"2852015","WRVGF20V","CPR-WDK WRVGF20V GFCI WR Deco Duplex 20A 125V IV"
"2852014","WRVGF20GYMOD","CPR-WDK WRVGF20GYMOD GFCI WR Duplex 20A 125V MOD WH NAFTA"
"2852013","WRVGF20GY","CPR-WDK WRVGF20GY GFCI WR Deco Duplex 20A 125V GY"
"2852012","WRVGF20FWMOD","CPR-WDK WRVGF20FWMOD GFCI WR Duplex 20A 125V MOD WH NAFTA"
"2852011","WRVGF20FW","CPR-WDK WRVGF20FW GFCI WR Deco Duplex 20A 125V WH NAFTA"
"2852010","WRVGF20FV","CPR-WDK WRVGF20FV GFCI WR Deco Duplex 20A 125V IV NAFTA"
"2852009","WRVGF20FGY","CPR-WDK WRVGF20FGY GFCI WR Deco Duplex 20A 125V GY NAFTA"
"2852008","WRVGF20FB","CPR-WDK WRVGF20FB GFCI WR Deco Duplex 20A 125V BR NAFTA"
"2852007","WRVGF20BK","CPR-WDK WRVGF20BK GFCI WR Deco Duplex 20A 125V BK"
"2852006","WRVGF20B","CPR-WDK WRVGF20B GFCI WR Deco Duplex 20A 125V BR"
"2852005","WRVGF15W","CPR-WDK WRVGF15W GFCI WR Deco Duplex 15A 125V WH"
"2852004","WRVGF15V","CPR-WDK WRVGF15V GFCI WR Deco Duplex 15A 125V IV"
"2852003","WRVGF15GY","CPR-WDK WRVGF15GY GFCI WR Deco Duplex 15A 125V GY"
"2852002","WRVGF15FW","CPR-WDK WRVGF15FW GFCI WR Deco Duplex 15A 125V WH NAFTA"
"2852001","WRVGF15FV","CPR-WDK WRVGF15FV GFCI WR Deco Duplex 15A 125V IV NAFTA"
"2852000","WRVGF15FGY","CPR-WDK WRVGF15FGY GFCI WR Deco Duplex 15A 125V GY NAFTA"
"2851999","WRVGF15FB","CPR-WDK WRVGF15FB GFCI WR Deco Duplex 15A 125V BR NAFTA"
"2851998","WRVGF15B","CPR-WDK WRVGF15B GFCI WR Deco Duplex 15A 125V B"
"2851997","WRSGF20W","CPR-WDK WRSGF20W GFCI WR ST Duplex 20A 125V WH"
"2851996","WRSGF20V","CPR-WDK WRSGF20V GFCI WR ST Duplex 20A 125V IV"
"2851995","WRSGF20GY","CPR-WDK WRSGF20GY GFCI WR ST Duplex 20A 125V GY"
"2851994","WRSGF20BK","CPR-WDK WRSGF20BK GFCI WR ST Duplex 20A 125V BK"
"2851993","WRSGF20B","CPR-WDK WRSGF20B GFCI WR ST Duplex 20A 125V BR"
"2851992","WRSGF15W","CPR-WDK WRSGF15W GFCI WR ST Duplex 15A 125V WH"
"2851991","WRSGF15V","CPR-WDK WRSGF15V GFCI WR ST Duplex 15A 125V IV"
"2851990","WRSGF15GY","CPR-WDK WRSGF15GY GFCI WR ST Duplex 15A 125V GY"
"2851989","WRSGF15B","CPR-WDK WRSGF15B GFCI WR ST Duplex 15A 125V B"
"2851988","WRBR20W","CPR-WDK WRBR20W Recp WR Duplex 20A 125V 2P3W Str WH"
"2851987","WRBR20V","CPR-WDK WRBR20V Recp WR Duplex 20A 125V 2P3W Str IV"
"2851986","WRBR20B","CPR-WDK WRBR20B Recp WR Duplex 20A 125V 2P3W Str BR"
"2851985","WRBR15W","CPR-WDK WRBR15W Recp WR Duplex 15A 125V 2P3W Str B&S WH"
"2851984","WRBR15V","CPR-WDK WRBR15V Recp WR Duplex 15A 125V 2P3W Str B&S IV"
"2851983","WRBR15GY","CPR-WDK WRBR15GY Recp WR Duplex 15A 125V 2P3W Str B&S GY"
"2851982","WRBR15B","CPR-WDK WRBR15B Recp WR Duplex 15A 125V 2P3W Str B&S BR"
