id,description,item_code,ordering_number
"5027711","Flexco 56184 TGB-6/152-3/3-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56184","TGB-6/152-3/3-42/1067"
"5027709","Flexco 56183 TGB-6/152-2/4-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56183","TGB-6/152-2/4-42/1067"
"5027708","Flexco 56182 TGB-5/127-2/3-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56182","TGB-5/127-2/3-42/1067"
"5027707","Flexco 56181 TGB-4/102-2/2-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56181","TGB-4/102-2/2-42/1067"
"5027706","Flexco 56149 TGB-10/254-5/5-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56149","TGB-10/254-5/5-36/914"
"5027705","Flexco 56141 TGB-9/229-4/5-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56141","TGB-9/229-4/5-36/914"
"5027704","Flexco 56133 TGB-8/203-4/4-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56133","TGB-8/203-4/4-36/914"
"5027703","Flexco 56129 TGB-8/203-3/5-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56129","TGB-8/203-3/5-36/914"
"5027702","Flexco 56121 TGB-7/178-3/4-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56121","TGB-7/178-3/4-36/914"
"5027701","Flexco 56117 TGB-7/178-2/5-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56117","TGB-7/178-2/5-36/914"
"5027699","Flexco 56113 TGB-6/152-3/3-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56113","TGB-6/152-3/3-36/914"
"5023134","Flexco 56225 TGB-6/152-5/B-60/1524 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56225","TGB-6/152-5/B-60/1524"
"5023133","Flexco 56220 TGB-5/127-4/B-60/1524 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56220","TGB-5/127-4/B-60/1524"
"5023132","Flexco 56215 TGB-4/102-3/B-60/1524 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56215","TGB-4/102-3/B-60/1524"
"5023129","Flexco 56210 TGB-3/76-2/B-60/1524 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56210","TGB-3/76-2/B-60/1524"
"5023128","Flexco 56224 TGB-6/512-5/B-48/1219 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56224","TGB-6/512-5/B-48/1219"
"5023127","Flexco 56219 TGB-5/127-4/B-48/1219 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56219","TGB-5/127-4/B-48/1219"
"5023126","Flexco 56214 TGB-4/102-3/B-48/1219 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56214","TGB-4/102-3/B-48/1219"
"5023125","Flexco 56209 TGB-3/76-2/B-48/1219 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56209","TGB-3/76-2/B-48/1219"
"5023124","Flexco 56223 TGB-6/152-5/B-42/1067 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56223","TGB-6/152-5/B-42/1067"
"5023123","Flexco 56218 TGB-5/127-4/B-42/1067 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56218","TGB-5/127-4/B-42/1067"
"5023122","Flexco 56213 TGB-4/102-3/B-42/1067 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56213","TGB-4/102-3/B-42/1067"
"5023115","Flexco 56208 TGB-3/76-2/B-42/1067 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56208","TGB-3/76-2/B-42/1067"
"5023114","Flexco 56222 TGB-6/152-5/B-36/914 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56222","TGB-6/152-5/B-36/914"
"5023113","Flexco 56212 TGB-4/102-3/B-36/914 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56212","TGB-4/102-3/B-36/914"
"5023112","Flexco 56207 TGB-3/76-2/B-36/914 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56207","TGB-3/76-2/B-36/914"
"5023111","Flexco 56221 TGB-6/152-5/B-24/610 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56221","TGB-6/152-5/B-24/610"
"5023108","Flexco 56216 TGB-5/127-4/B-24/610 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56216","TGB-5/127-4/B-24/610"
"5023107","Flexco 56211 TGB-4/102-3/B-24/610 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56211","TGB-4/102-3/B-24/610"
"5023106","Flexco 56206 TGB-3/76-2/B-24/610 Segmented Transfer Plate Kit For Belt to Chute or Slide Applications","56206","TGB-3/76-2/B-24/610"
"5023104","Flexco 56151 TGB-10/254-5/5-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56151","TGB-10/254-5/5-60/1524"
"5023103","Flexco 56143 TGB-9/229-4/5-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56143","TGB-9/229-4/5-60/1524"
"5023102","Flexco 56135 TGB-8/203-4/4-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56135","TGB-8/203-4/4-60/1524"
"5023101","Flexco 56131 TGB-8/203-3/5-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56131","TGB-8/203-3/5-60/1524"
"5023100","Flexco 56123 TGB-7/178-3/4-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56123","TGB-7/178-3/4-60/1524"
"5023098","Flexco 56119 TGB-7/178-2/5-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56119","TGB-7/178-2/5-60/1524"
"5023097","Flexco 56115 TGB-6/152-3/3-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56115","TGB-6/152-3/3-60/1524"
"5023096","Flexco 56111 TGB-6/152-2/4-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56111","TGB-6/152-2/4-60/1524"
"5023095","Flexco 56107 TGB-5/127-2/3-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56107","TGB-5/127-2/3-60/1524"
"5023094","Flexco 56103 TGB-4/102-2/2-60/1524 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56103","TGB-4/102-2/2-60/1524"
"5023093","Flexco 56150 TGB-10/254-5/5-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56150","TGB-10/254-5/5-48/1219"
"5023092","Flexco 56142 TGB-9/229-4/5-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56142","TGB-9/229-4/5-48/1219"
"5023091","Flexco 56134 TGB-8/203-4/4-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56134","TGB-8/203-4/4-48/1219"
"5023090","Flexco 56130 TGB-8/203-3/5-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56130","TGB-8/203-3/5-48/1219"
"5023089","Flexco 56122 TGB-7/178-3/4-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56122","TGB-7/178-3/4-48/1219"
"5023083","Flexco 56118 TGB-7/178-2/5-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56118","TGB-7/178-2/5-48/1219"
"5023082","Flexco 56114 TGB-6/152-3/3-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56114","TGB-6/152-3/3-48/1219"
"5023081","Flexco 56110 TGB-6/152-2/4-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56110","TGB-6/152-2/4-48/1219"
"5023080","Flexco 56106 TGB-5/127-2/3-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56106","TGB-5/127-2/3-48/1219"
"5023079","Flexco 56102 TGB-4/102-2/2-48/1219 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56102","TGB-4/102-2/2-48/1219"
"5023071","Flexco 56190 TGB-10/254-5/5-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56190","TGB-10/254-5/5-42/1067"
"5023070","Flexco 56189 TGB-9/229-4/5-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56189","TGB-9/229-4/5-42/1067"
"5023066","Flexco 56188 TGB-8/203-4/4-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56188","TGB-8/203-4/4-42/1067"
"5023065","Flexco 56187 TGB-8/203-3/5-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56187","TGB-8/203-3/5-42/1067"
"5023064","Flexco 56186 TGB-7/178-3/4-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56186","TGB-7/178-3/4-42/1067"
"5023063","Flexco 56185 TGB-7/178-2/5-42/1067 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56185","TGB-7/178-2/5-42/1067"
"5023022","Flexco 56105 TGB-5/127-2/3-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56105","TGB-5/127-2/3-36/914"
"5023021","Flexco 56101 TGB-4/102-2/2-36/914 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56101","TGB-4/102-2/2-36/914"
"5022841","Flexco 56148 TGB-10/254-5/5-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56148","TGB-10/254-5/5-24/610"
"5022840","Flexco 56140 TGB-9/229-4/5-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56140","TGB-9/229-4/5-24/610"
"5022839","Flexco 56132 TGB-8/203-4/4-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56132","TGB-8/203-4/4-24/610"
"5022837","Flexco 56128 TGB-8/203-3/5-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56128","TGB-8/203-3/5-24/610"
"5022836","Flexco 56120 TGB-7/178-3/4-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56120","TGB-7/178-3/4-24/610"
"5022816","Flexco 56116 TGB-7/178-2/5-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56116","TGB-7/178-2/5-24/610"
"5022814","Flexco 56112 TGB-6/152-3/3-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56112","TGB-6/152-3/3-24/610"
"5022813","Flexco 56108 TGB-6/152-2/4-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56108","TGB-6/152-2/4-24/610"
"5022812","Flexco 56104 TGB-5/127-2/3-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56104","TGB-5/127-2/3-24/610"
"5022811","Flexco 56100 TGB-4/102-2/2-24/610 Segmented Transfer Plate Kit For Horizontal to Horizontal or Waterfall Applications","56100","TGB-4/102-2/2-24/610"
"5022584","Flexco 56026 FGP-MDDD3-60  Food Grade Precleaner Dual Durometer Blue","56026","FGP-MDDD3-60"
"5022583","Flexco 56025 FGP-MDDD3-54  Food Grade Precleaner Dual Durometer Blue","56025","FGP-MDDD3-54"
"5022582","Flexco 56024 FGP-MDDD3-48  Food Grade Precleaner Dual Durometer Blue","56024","FGP-MDDD3-48"
"5022581","Flexco 56023 FGP-MDDD3-42  Food Grade Precleaner Dual Durometer Blue","56023","FGP-MDDD3-42"
"5022580","Flexco 56022 FGP-MDDD3-36  Food Grade Precleaner Dual Durometer Blue","56022","FGP-MDDD3-36"
"5022579","Flexco 56021 FGP-MDDD3-30  Food Grade Precleaner Dual Durometer Blue","56021","FGP-MDDD3-30"
"5022578","Flexco 56020 FGP-MDDD3-24  Food Grade Precleaner Dual Durometer Blue","56020","FGP-MDDD3-24"
"5022576","Flexco 56019 FGP-MDDD3-18  Food Grade Precleaner Dual Durometer Blue","56019","FGP-MDDD3-18"
"5022573","Flexco 56018 FGP-MDDD3-12  Food Grade Precleaner Dual Durometer Blue","56018","FGP-MDDD3-12"
"2835516","Flexco 99631 PG2S TATCH-A-PEG STAINLESS STEEL","99631","PG2S"
"2565669","Flexco 79666 PTMHD60VR PT MAXHD V RETURN 60","79666","PTMHD60VR"
"2565668","Flexco 79665 PTMHD54VR PT MAXHD V RETURN 54","79665","PTMHD54VR"
"2565667","Flexco 79571 MFASKHD F-ARM SET SCREW KIT","79571","MFASKHD"
"2565666","Flexco 79487 RMC1-BCPS BOLT-ON CLMP PIN SLT","79487","RMC1-BCPS"
"2565665","Flexco 79476 PTP-RPA PTP RETURN PIVOT ASSY","79476","PTP-RPA"
"2565664","Flexco 79473 PTPLB-HD PTP HD LINK BAR","79473","PTPLB-HD"
"2565663","Flexco 79470 PTPLB PT PRO LINK BAR","79470","PTPLB"
"2565662","Flexco 79382 MAKHD2 HD ADJ ARM KIT 2.0","79382","MAKHD2"
"2565661","Flexco 79381 MAK2 ADJ ARM KIT 2.0","79381","MAK2"
"2565660","Flexco 79380 PMSMK2 SWIVEL MOUNT KIT 2.0","79380","PMSMK2"
"2565659","Flexco 79378 MSR2 SENSOR ROLLER 2.0 KIT","79378","MSR2"
"2565658","Flexco 79291 FS-RENTAL RENTAL EQUIPMENT","79291","FS-RENTAL"
"2565657","Flexco 79281 PTPHD96R PT PRO HD RETURN 96","79281","PTPHD96R"
"2565656","Flexco 79280 PTPHD84R PT PRO HD RETURN 84","79280","PTPHD84R"
"2565655","Flexco 79279 PTPHD72R PT PRO HD RETURN 72","79279","PTPHD72R"
"2565654","Flexco 79278 PTPHD60R PT PRO HD RETURN 60","79278","PTPHD60R"
"2565653","Flexco 79277 PTPHD54R PT PRO HD RETURN 54","79277","PTPHD54R"
"2565652","Flexco 79276 PTPHD48R PT PRO HD RETURN 48","79276","PTPHD48R"
"2565651","Flexco 79275 PTP72R PT PRO RETURN 72","79275","PTP72R"
"2565650","Flexco 79274 PTP60R PT PRO RETURN 60","79274","PTP60R"
"2565649","Flexco 79273 PTP54R PT PRO RETURN 54","79273","PTP54R"
"2565648","Flexco 79272 PTP48R PT PRO RETURN 48","79272","PTP48R"
"2565647","Flexco 79271 PTP42R PT PRO RETURN 42","79271","PTP42R"
"2565646","Flexco 79270 PTP36R PT PRO RETURN 36","79270","PTP36R"
"2565645","Flexco 79269 PTP30R PT PRO RETURN 30","79269","PTP30R"
"2565644","Flexco 79268 PTP24R PT PRO RETURN 24","79268","PTP24R"
"2565643","Flexco 79267 PTP18R PT PRO RETURN 18","79267","PTP18R"
"2565642","Flexco 79067 RMC1-PP(10SET) PAL PAK KIT","79067","RMC1-PP(10SET)"
"2565641","Flexco 78852 RBP1C-M CR POSITIONER M","78852","RBP1C-M"
"2565640","Flexco 78851 RBP1C-S CR POSITIONER S","78851","RBP1C-S"
"2565639","Flexco 78767 PTSWMK PTS WIRE MOUNT KIT","78767","PTSWMK"
"2565638","Flexco 77756 PTS-LSAA LH PTS SENS ADJ ASSY","77756","PTS-LSAA"
"2565637","Flexco 77755 PTS-RSAA RH PTS SENS ADJ ASSY","77755","PTS-RSAA"
"2565636","Flexco 77729 FLCK FLEX-LIFTER CART KIT","77729","FLCK"
"2565635","Flexco 77702 PTS-EBK PTS EXTENDING BRKT KIT","77702","PTS-EBK"
"2565634","Flexco 77701 PTS-MBKUG PTS MTG BRKT KIT U/G","77701","PTS-MBKUG"
"2565633","Flexco 77700 PTS-MBK PTS MTG BRKT KIT","77700","PTS-MBK"
"2565632","Flexco 77699 PTS-PA PTS PIVOT ASSY","77699","PTS-PA"
"2565631","Flexco 77698 PTS-PS PTS PIVOT SHIELD","77698","PTS-PS"
"2565630","Flexco 77697 PTS-HIBK PTS HD IDLER BRKT KIT","77697","PTS-HIBK"
"2565629","Flexco 77696 PTS-IBK PTS IDLER BRKT KIT","77696","PTS-IBK"
"2565628","Flexco 77694 PTS-SAK PTS SENSOR ARM KIT","77694","PTS-SAK"
"2565627","Flexco 77692 PTS-HDSR PTS HD SENSOR ROLLER","77692","PTS-HDSR"
"2565626","Flexco 77691 PTS-SR PTS STD SENSOR ROLLER","77691","PTS-SR"
"2565625","Flexco 77690 PTS-RR81 PTS 81^ RET SDX ROLLR","77690","PTS-RR81"
"2565624","Flexco 77689 PTS-RR75 PTS 75^ RET ROLLER","77689","PTS-RR75"
"2565623","Flexco 77688 PTS-RR69 PTS 69^ RET ROLLER","77688","PTS-RR69"
"2565622","Flexco 77687 PTS-RR63 PTS 63^ RET ROLLER","77687","PTS-RR63"
"2565621","Flexco 77686 PTS-RR57 PTS 57^ RET ROLLER","77686","PTS-RR57"
"2565620","Flexco 77685 PTS-RR51 PTS 51^ RET ROLLER","77685","PTS-RR51"
"2565619","Flexco 77684 PTS-RR45 PTS 45^ RET ROLLER","77684","PTS-RR45"
"2565618","Flexco 77683 PTS-RR39 PTS 39^ RET ROLLER","77683","PTS-RR39"
"2565617","Flexco 77682 PTS-RR33 PTS 33^ RET ROLLER","77682","PTS-RR33"
"2565616","Flexco 77681 PTS-RR27 PTS 27^ RET ROLLER","77681","PTS-RR27"
"2565615","Flexco 77680 PTS-RR21 PTS 21^ RET ROLLER","77680","PTS-RR21"
"2565614","Flexco 77679 PTS-72R-UG PT SMART 72^ UG RET","77679","PTS-72R-UG"
"2565613","Flexco 77678 PTS-60R-UG PT SMART 60^ UG RET","77678","PTS-60R-UG"
"2565612","Flexco 77677 PTS-54R-UG PT SMART 54^ UG RET","77677","PTS-54R-UG"
"2565611","Flexco 77676 PTS-48R-UG PT SMART 48^ UG RET","77676","PTS-48R-UG"
"2565610","Flexco 77675 PTS-42R-UG PT SMART 42^ UG RET","77675","PTS-42R-UG"
"2565609","Flexco 77674 PTS-36R-UG PT SMART 36^ UG RET","77674","PTS-36R-UG"
"2565608","Flexco 77673 PTS-30R-UG PT SMART 30^ UG RET","77673","PTS-30R-UG"
"2565607","Flexco 77672 PTS-72R PT SMART 72^ RET","77672","PTS-72R"
"2565606","Flexco 77671 PTS-60R PT SMART 60^ RET","77671","PTS-60R"
"2565605","Flexco 77670 PTS-54R PT SMART 54^ RET","77670","PTS-54R"
"2565604","Flexco 77669 PTS-48R PT SMART 48^ RET","77669","PTS-48R"
"2565603","Flexco 77668 PTS-42R PT SMART 42^ RET","77668","PTS-42R"
"2565602","Flexco 77667 PTS-36R PT SMART 36^ RET","77667","PTS-36R"
"2565601","Flexco 77666 PTS-30R PT SMART 30^ RET","77666","PTS-30R"
"2565600","Flexco 77665 PTS-24R PT SMART 24^ RET","77665","PTS-24R"
"2565599","Flexco 77664 PTS-18R PT SMART 18^ RET","77664","PTS-18R"
"2565598","Flexco 77410 FLTW-XL-SP TROUGH WNG XL KT SP","77410","FLTW-XL-SP"
"2565597","Flexco 77409 FLTW-L-SP TROUGH WING L KIT SP","77409","FLTW-L-SP"
"2565596","Flexco 77408 FLTW-M-SP TROUGH WING M KIT SP","77408","FLTW-M-SP"
"2565595","Flexco 77330 RMC2 FLEXSEAL SKIRT SYSTEM BUL","77330","RMC2"
"2565594","Flexco 77249 FL-SKIT-XL XL FL SHAFT KIT","77249","FL-SKIT-XL"
"2565593","Flexco 77248 FL-SKIT-L LRG FL SHAFT KIT","77248","FL-SKIT-L"
"2565592","Flexco 77247 FL-SKIT-M MED FL SHAFT KIT","77247","FL-SKIT-M"
"2565591","Flexco 76986 FLELK-XL FL EXTEN LEG KIT-XL","76986","FLELK-XL"
"2565590","Flexco 76985 FLTW-XL FL TROUGH WING-XL","76985","FLTW-XL"
"2565589","Flexco 76956 SPEC-SKCL SPEC SKIRT CLAMP","76956","SPEC-SKCL"
"2565588","Flexco 76694 RMC1-S SKIRT CLAMP SPEC","76694","RMC1-S"
"2565587","Flexco 75818 RMC1-D SKIRT CLAMP DEMO","75818","RMC1-D"
"2565586","Flexco 74162 SPEC-POS SPEC POSITIONER","74162","SPEC-POS"
"2565585","Flexco 71104 FSC-I-3-BULK-NP SKRTCLAMP 3PLT","71104","FSC-I-3-BULK-NP"
"2565584","Flexco 71102 FLSC-I-BULK-NP SKIRTCLAMP","71102","FLSC-I-BULK-NP"
"2565583","Flexco 71100 FLSCM-I-BULK SKIRT CLAMP","71100","FLSCM-I-BULK"
"2565582","Flexco 71054 FLSC-I-BULK SKIRT CLAMP","71054","FLSC-I-BULK"
"2565581","Flexco 69999 PSG LABOR UNIT-12 Contract","69999","PSG"
"2565580","Flexco 69998 PSG LABOR UNIT-8","69998","PSG"
"2565579","Flexco 69996 PSG LABOR UNIT-6","69996","PSG"
"2565578","Flexco 69995 PSG LABOR UNIT-5","69995","PSG"
"2565577","Flexco 69992 PSG LABOR UNIT-2","69992","PSG"
"2565576","Flexco 56568 FG-C-GAUGE C DIMENSION GAUGE","56568","FG-C-GAUGE"
