catalog_number,industry_crossover_numbers,id
20052,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>6602901292</td>
    </tr>

    </table>",2530619
20053,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>6602901313</td>
    </tr>

    </table>",2530620
44188,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>105-M</td>
    </tr>

        <tr>
        <td>107RB-32</td>
    </tr>

        <tr>
        <td>83107-32</td>
    </tr>

        <tr>
        <td>C100-45 2</td>
    </tr>

    </table>",2532819
44187,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>105-K</td>
    </tr>

        <tr>
        <td>107RB-24</td>
    </tr>

        <tr>
        <td>83107-24</td>
    </tr>

        <tr>
        <td>C100-45 1 1/2</td>
    </tr>

    </table>",2532818
44186,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>105-J</td>
    </tr>

        <tr>
        <td>107RB-20</td>
    </tr>

        <tr>
        <td>83107-20</td>
    </tr>

        <tr>
        <td>C100-45 1 1/4</td>
    </tr>

    </table>",2532817
44185,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>105-F</td>
    </tr>

        <tr>
        <td>107RB-16</td>
    </tr>

        <tr>
        <td>129N</td>
    </tr>

        <tr>
        <td>83107-16</td>
    </tr>

        <tr>
        <td>C100-45 1</td>
    </tr>

    </table>",2532816
44183,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>102-8</td>
    </tr>

        <tr>
        <td>105-D</td>
    </tr>

        <tr>
        <td>107RB-8</td>
    </tr>

        <tr>
        <td>129F</td>
    </tr>

        <tr>
        <td>83107-08</td>
    </tr>

        <tr>
        <td>C100-45 1/2</td>
    </tr>

    </table>",2532814
44184,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>102-12</td>
    </tr>

        <tr>
        <td>105-E</td>
    </tr>

        <tr>
        <td>107RB-12</td>
    </tr>

        <tr>
        <td>129J</td>
    </tr>

        <tr>
        <td>83107-12</td>
    </tr>

        <tr>
        <td>C100-45 3/4</td>
    </tr>

    </table>",2532815
44182,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>102-6</td>
    </tr>

        <tr>
        <td>105-C</td>
    </tr>

        <tr>
        <td>107RB-6</td>
    </tr>

        <tr>
        <td>129E</td>
    </tr>

        <tr>
        <td>83107-06</td>
    </tr>

        <tr>
        <td>C100-45 3/8</td>
    </tr>

    </table>",2532813
44181,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>105-B</td>
    </tr>

        <tr>
        <td>107RB-4</td>
    </tr>

        <tr>
        <td>83107-04</td>
    </tr>

        <tr>
        <td>C100-45 1/4</td>
    </tr>

    </table>",2532812
