id,catalog_number,description,main_image,additional_description,attributes,Brand
2944392,BS135-85,"US Tsubaki BS135-85 CAM CLUTCH 85MM BORE, 22X5.4MM KW",product_images/29/44392/default_2944392.jpg,nan,nan,U.S.Tsubaki
822860,PL006X019RE-SS,US Tsubaki PL006X019RE-SS PL006X019RE-SS POWERLOCK,product_images/82/2860/a1729.jpg,nan,nan,U.S.Tsubaki
822864,PL014X030RE-SS,US Tsubaki PL014X030RE-SS PL014X030RE-SS POWERLOCK,product_images/82/2864/a1729.jpg,nan,nan,U.S.Tsubaki
822872,PL025X044RE-SS,US Tsubaki PL025X044RE-SS PL025X044RE-SS POWERLOCK,product_images/82/2872/a1729.jpg,nan,nan,U.S.Tsubaki
822880,PL048X072RE-SS,US Tsubaki PL048X072RE-SS PL048X072RE-SS POWERLOCK,product_images/82/2880/a1729.jpg,nan,nan,U.S.Tsubaki
822884,PL015X019EF,US Tsubaki PL015X019EF PL015X019EF POWER-LOCK,product_images/82/2884/a1752.jpg,nan,nan,U.S.Tsubaki
822896,PL070X079EF,US Tsubaki PL070X079EF PL070X079EF POWER-LOCK,product_images/82/2896/a1752.jpg,nan,nan,U.S.Tsubaki
822900,PL2JFL,"US Tsubaki PL2JFL PL 2-5/8"""" FL POWER-LOCK",product_images/82/2900/a1721.jpg,nan,nan,U.S.Tsubaki
822904,PL028X032EF,US Tsubaki PL028X032EF PL028X032EF POWER LOCK,product_images/82/2904/a1752.jpg,nan,nan,U.S.Tsubaki
822908,PL085X125AE,US Tsubaki PL085X125AE PL085X125AE POWER-LOCK,product_images/82/2908/a1713.jpg,nan,nan,U.S.Tsubaki
822916,PL022X047AD,US Tsubaki PL022X047AD PL022X047AD POWER-LOCK,product_images/82/2916/a1707.jpg,nan,nan,U.S.Tsubaki
822920,PL030X055AD,US Tsubaki PL030X055AD PL030X055AD POWER-LOCK,product_images/82/2920/a1707.jpg,nan,nan,U.S.Tsubaki
822924,PL068X115SL,US Tsubaki PL068X115SL PL068X115SL POWER-LOCK,product_images/82/2924/a1746.jpg,nan,nan,U.S.Tsubaki
